"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.806813202E0,5.851182404E0,7.198380890E0
4.016110000E-1,-1.573827209E0,5.731431427E0,7.516619110E0
8.032124167E-1,-7.095245361E-2,5.438340912E0,9.420509949E0
1.204793417E0,3.341201935E0,2.671943665E-1,8.406518555E-1
1.606352667E0,1.028136978E1,-9.763147430E0,4.016447754E0
2.007964667E0,9.418414307E0,-9.315877533E0,5.882766724E-2
2.409575667E0,4.910388794E0,-5.396727448E0,6.212081909E-2
2.811172042E0,7.785310364E0,-9.170679474E0,-8.726852417E-1
3.212753042E0,7.139553223E0,-8.283175049E0,7.572752380E-1
3.614300500E0,5.899531860E0,-9.783056030E0,1.600172424E-1
4.015942500E0,7.172634430E0,-6.404431915E0,2.112107849E-1
4.417554500E0,9.031169586E0,-1.034064651E1,1.892514496E0
4.819108875E0,3.094963989E0,-1.246053818E1,3.432362366E-1
5.220689875E0,8.408913574E0,-9.325158234E0,1.689985657E-1
5.622319000E0,5.925577698E0,-9.410929871E0,5.909710693E-1
6.023930000E0,7.920778656E0,-1.152558243E1,1.622925110E0
6.425541000E0,5.766009521E0,-6.562952271E0,1.470991058E0
6.827129500E0,1.086755081E1,-8.693471832E0,1.267863464E-1
7.228740500E0,4.102668457E0,-6.043083344E0,-1.059047699E0
7.630397042E0,5.449417877E0,-6.776109009E0,1.205293579E0
8.032009042E0,1.022209305E1,-6.314169617E0,8.421487427E-1
8.433620042E0,5.006488953E0,-8.112529907E0,-1.104403381E0
8.835178875E0,6.648873596E0,-6.472689972E0,4.938230896E-1
9.236789875E0,7.884104919E0,-9.042994995E0,6.718029785E-1
9.638417375E0,2.577789459E0,-1.116722763E1,1.332828369E0
1.004002937E1,9.046138458E0,-9.177864532E0,1.194066925E0
1.044164038E1,5.278323669E0,-8.448281708E0,1.636696472E0
1.084316562E1,6.178701324E0,-8.617879028E0,8.382568359E-3
1.124474663E1,7.849077759E0,-7.938142548E0,2.869532776E-1
1.164634038E1,1.289418640E0,-1.399873947E1,9.307644653E-1
1.204795137E1,9.730814667E0,-6.859485626E0,9.831555176E-1
1.244959338E1,7.944579163E0,-1.040186920E1,3.212469635E0
1.285119250E1,4.263134766E0,-7.601193237E0,6.560856628E-1
1.325280450E1,8.532107391E0,-9.320368195E0,1.826950836E0
1.365439917E1,5.602848816E0,-9.112300873E0,6.665638733E-1
1.405597917E1,7.608078918E0,-1.096305222E1,2.207609253E0
1.445756017E1,5.771098938E0,-6.836732941E0,1.445094910E0
1.485912312E1,8.327183533E0,-9.410031738E0,-7.949967957E-1
1.526064313E1,4.049678650E0,-7.477550354E0,4.400848389E-2
1.566214025E1,5.903274078E0,-6.919660492E0,2.182760925E0
1.606369025E1,7.256011047E0,-7.255412292E0,-6.915618896E-2
1.646524125E1,3.384761353E0,-1.105406296E1,1.360071716E0
1.686682475E1,8.480764160E0,-8.762478333E0,1.563648376E0
1.726834475E1,6.934779053E0,-8.680149536E0,1.662143555E0
1.766990100E1,5.910309448E0,-1.027792694E1,9.569599915E-1
1.807142100E1,7.992778931E0,-8.234825592E0,6.520440674E-1
1.847291000E1,6.845115509E0,-1.284074753E1,3.459755402E0
1.887442279E1,9.534722443E0,-7.964338074E0,-6.819818115E-1
1.927597379E1,7.992180176E0,-9.374705200E0,9.008267212E-1
1.967752775E1,4.479584656E0,-7.234605560E0,-1.902543640E-1
2.007904775E1,1.079764618E1,-1.124341919E1,1.741478577E0
2.048062775E1,6.356531525E0,-8.093669128E0,1.436412964E0
2.088214179E1,9.572444000E0,-1.087503525E1,2.650238800E0
2.128372279E1,7.073241119E0,-5.711971893E0,3.355272675E0
2.168530667E1,9.109905853E0,-6.231242065E0,2.040257263E-1
2.208688767E1,5.146747284E0,-6.021827545E0,3.094065857E-1
2.248843767E1,8.956025848E0,-7.144942017E0,1.717977448E0
2.288999525E1,1.181567917E1,-7.932005310E0,1.028511200E0
2.329151525E1,5.652545471E0,-5.598956909E0,1.084644470E0
2.369306350E1,6.325545959E0,-8.361013184E0,1.591340790E0
2.409464450E1,6.914122009E0,-8.072113953E0,5.269042969E-2
2.449619450E1,4.564158783E0,-1.129925308E1,1.958078156E0
2.489772912E1,8.335266724E0,-9.497749329E0,1.953737183E0
2.529927912E1,8.088879089E0,-8.880283356E0,1.084345093E0
2.570082913E1,4.518803101E0,-9.598190460E0,1.884431305E0
2.610238012E1,1.070918015E1,-8.980275421E0,2.224973145E0
2.650393012E1,5.541476440E0,-8.349636841E0,2.498903503E0
2.690551317E1,5.748945007E0,-7.756420441E0,1.410067749E-1
2.730706317E1,7.714657288E0,-9.993518372E0,9.373507690E-1
