"Time (s)","X (hPa)"
0.000000000E0,1.009766998E3
1.036782000E0,1.009772797E3
2.074457000E0,1.009772339E3
3.111564000E0,1.009772339E3
4.147518000E0,1.009747391E3
5.184278000E0,1.009713211E3
6.220816000E0,1.009677582E3
7.258580000E0,1.009651718E3
7.346098000E0,1.009636230E3
8.382950000E0,1.009630814E3
9.421316000E0,1.009607315E3
1.045745000E1,1.009581070E3
1.149527400E1,1.009548721E3
1.253126700E1,1.009514694E3
1.356972700E1,1.009485779E3
1.460732900E1,1.009466629E3
1.564374200E1,1.009451904E3
1.668264500E1,1.009438400E3
1.772067400E1,1.009419098E3
1.875756400E1,1.009387665E3
1.979568300E1,1.009349747E3
2.083173200E1,1.009311752E3
2.187128100E1,1.009278717E3
2.290971600E1,1.009250717E3
2.394758900E1,1.009219971E3
2.498659200E1,1.009191513E3
2.602509500E1,1.009164124E3
2.706238100E1,1.009130783E3
2.809958600E1,1.009095688E3
2.913766700E1,1.009070206E3
3.017539600E1,1.009053192E3
3.121211200E1,1.009023895E3
3.225009800E1,1.008987961E3
3.328794100E1,1.008948135E3
3.432533100E1,1.008903503E3
3.536329700E1,1.008849335E3
3.640068300E1,1.008797913E3
3.743760300E1,1.008754501E3
3.847559400E1,1.008726349E3
3.951329200E1,1.008700638E3
4.055079300E1,1.008679199E3
4.158938000E1,1.008651581E3
4.262750000E1,1.008618698E3
4.366545600E1,1.008570633E3
4.470543400E1,1.008539810E3
4.574340800E1,1.008510513E3
4.678126200E1,1.008484802E3
4.782169700E1,1.008460312E3
4.885995000E1,1.008445816E3
4.989932600E1,1.008419037E3
5.093837500E1,1.008389206E3
5.197650200E1,1.008361969E3
5.301465900E1,1.008337860E3
5.405344000E1,1.008310089E3
5.509285300E1,1.008279495E3
5.613116300E1,1.008241730E3
5.716955000E1,1.008197403E3
5.820923400E1,1.008153915E3
5.924767700E1,1.008121338E3
6.028690400E1,1.008090591E3
6.132432700E1,1.008063889E3
6.236318700E1,1.008047943E3
6.340221000E1,1.008028488E3
6.444112600E1,1.008003006E3
6.547943700E1,1.007976532E3
6.651935800E1,1.007956924E3
6.755765000E1,1.007931595E3
6.859629400E1,1.007904053E3
6.963506400E1,1.007879181E3
7.067276200E1,1.007848892E3
7.171144800E1,1.007811127E3
7.274998500E1,1.007774124E3
7.378792600E1,1.007746201E3
7.482657700E1,1.007720947E3
7.586524900E1,1.007697983E3
7.690386200E1,1.007672424E3
7.794106700E1,1.007643204E3
7.897932500E1,1.007606430E3
8.001844000E1,1.007569199E3
8.105635900E1,1.007539062E3
8.209593000E1,1.007519684E3
8.313440100E1,1.007500076E3
8.417384500E1,1.007481689E3
8.521193400E1,1.007460175E3
8.625308400E1,1.007427750E3
8.729156000E1,1.007385330E3
8.832947200E1,1.007353897E3
8.936738600E1,1.007325745E3
9.040575400E1,1.007291031E3
9.144494800E1,1.007252731E3
9.248127600E1,1.007226562E3
9.352092800E1,1.007186356E3
9.455909800E1,1.007140427E3
9.559709800E1,1.007093506E3
9.663637800E1,1.007065506E3
9.767349700E1,1.007033920E3
9.871287000E1,1.007004089E3
9.975261300E1,1.006974564E3
1.007912090E2,1.006952591E3
1.018301570E2,1.006925201E3
1.028679200E2,1.006901932E3
1.039063730E2,1.006886139E3
1.049448080E2,1.006868439E3
1.059844920E2,1.006847763E3
1.070232840E2,1.006823730E3
1.080626160E2,1.006782074E3
1.091014250E2,1.006731491E3
1.101385930E2,1.006685791E3
1.111768990E2,1.006649094E3
1.122145720E2,1.006620407E3
1.132542350E2,1.006600876E3
1.142927850E2,1.006584930E3
1.153321000E2,1.006563873E3
1.163721130E2,1.006528473E3
1.174138110E2,1.006496811E3
1.184535970E2,1.006466522E3
1.194931610E2,1.006440201E3
1.205309130E2,1.006414032E3
1.215706360E2,1.006390381E3
1.226102420E2,1.006360168E3
1.236488590E2,1.006322632E3
1.246872460E2,1.006282578E3
1.257247700E2,1.006244965E3
1.267642040E2,1.006219482E3
1.278035650E2,1.006196976E3
1.288421860E2,1.006172791E3
1.298802820E2,1.006144028E3
1.309195220E2,1.006111526E3
1.319575970E2,1.006079330E3
1.329985190E2,1.006046753E3
1.340371540E2,1.006022797E3
1.350788870E2,1.006009369E3
1.361181020E2,1.005992813E3
1.371565370E2,1.005960770E3
1.381945720E2,1.005928116E3
1.392330070E2,1.005890350E3
1.402718570E2,1.005848694E3
1.413120820E2,1.005817413E3
1.423512920E2,1.005800476E3
1.433897840E2,1.005776443E3
1.444284010E2,1.005751419E3
1.454678650E2,1.005733795E3
1.465053620E2,1.005714417E3
1.475437050E2,1.005682449E3
1.485826020E2,1.005655136E3
1.496212530E2,1.005633621E3
1.506590220E2,1.005601425E3
1.516976670E2,1.005568390E3
1.527357530E2,1.005543365E3
1.537737590E2,1.005514374E3
1.548121250E2,1.005481567E3
1.558501730E2,1.005441589E3
1.568897110E2,1.005404205E3
1.579283250E2,1.005355377E3
1.589670930E2,1.005309525E3
1.600061340E2,1.005278244E3
1.610464290E2,1.005262451E3
1.620842100E2,1.005242462E3
1.631227920E2,1.005228500E3
1.641606680E2,1.005217514E3
1.651988110E2,1.005194244E3
1.662375210E2,1.005159531E3
1.672763120E2,1.005132599E3
1.683148130E2,1.005102997E3
1.693540350E2,1.005074844E3
1.703923880E2,1.005049591E3
1.714313390E2,1.005033264E3
1.724696070E2,1.005017471E3
1.735087850E2,1.005000839E3
1.745472460E2,1.004981308E3
1.755885590E2,1.004959869E3
1.766266140E2,1.004932861E3
1.776655570E2,1.004888535E3
1.787047100E2,1.004842224E3
1.797428070E2,1.004800339E3
1.807809220E2,1.004763947E3
1.818187290E2,1.004730988E3
1.828560530E2,1.004700394E3
1.838959710E2,1.004673615E3
1.849339310E2,1.004644165E3
1.859739140E2,1.004609299E3
1.870117400E2,1.004575882E3
1.880520090E2,1.004549942E3
1.890903610E2,1.004536057E3
1.901280600E2,1.004527817E3
1.911666480E2,1.004508591E3
1.922048970E2,1.004480286E3
1.932429990E2,1.004450760E3
1.942831400E2,1.004406052E3
1.953232160E2,1.004366760E3
1.963610580E2,1.004345551E3
1.973994810E2,1.004333191E3
1.984376710E2,1.004316864E3
1.994762700E2,1.004302521E3
2.005160050E2,1.004276276E3
2.015563960E2,1.004235916E3
2.025937900E2,1.004189453E3
2.036316830E2,1.004148941E3
2.046694790E2,1.004116287E3
2.057083240E2,1.004090347E3
2.067469840E2,1.004075851E3
2.077869360E2,1.004062347E3
2.088246310E2,1.004037933E3
2.098631240E2,1.004001083E3
2.109004570E2,1.003964081E3
2.119391870E2,1.003925781E3
2.129778930E2,1.003891220E3
2.140160990E2,1.003855896E3
2.150573070E2,1.003828278E3
2.160956480E2,1.003801804E3
2.171338020E2,1.003783417E3
2.181732070E2,1.003760147E3
2.192121890E2,1.003745193E3
2.202518320E2,1.003737030E3
2.212904680E2,1.003724976E3
2.223280910E2,1.003689575E3
2.233657780E2,1.003645020E3
2.244040500E2,1.003593216E3
