"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,6.019255519E-2,-6.750823855E-1,-2.314029634E-2
2.495720000E-1,-1.644519903E-2,5.471279621E-1,1.698817909E-1
4.991354167E-1,-2.091252655E-1,-1.284804940E0,-2.134413645E-2
7.487084167E-1,9.100478888E-1,-1.037905931E0,5.817776322E-1
9.983114167E-1,-5.942972302E-1,-1.806921124E0,2.866942406E0
1.247884417E0,-1.618969083E0,-8.915865421E-1,2.411531448E0
1.497466667E0,-8.465381265E-1,-5.067592263E-1,1.337262869E0
1.747069667E0,9.482891113E-2,-6.806434989E-1,-6.952536106E-1
1.996642667E0,6.305081248E-1,-1.362200141E0,-2.626004934E0
2.246214667E0,-5.884888768E-1,-2.913250923E-1,-8.877919912E-1
2.495773042E0,1.564776897E0,-9.991567582E-2,3.286397457E0
2.745376042E0,-8.092544079E-1,1.878782630E0,7.646979094E-1
2.994949042E0,1.454864264E0,-2.655906200E0,-1.125527620E0
3.244522042E0,3.212725222E-1,-9.001421928E-1,-1.940639973E0
3.494122500E0,-1.986788750E0,-3.256769478E-1,3.789187670E0
3.743695500E0,2.692324817E-1,6.218109727E-1,2.578462124E0
3.993268500E0,7.840881944E-1,-9.671819210E-2,-2.883798480E-1
4.242871500E0,-5.687424541E-1,1.989198625E-1,-3.611844540E0
4.492448875E0,-3.596797585E-1,-5.571497083E-1,-6.813420653E-1
4.742051875E0,2.868688852E-2,1.514886856E0,3.866050959E0
4.991624875E0,-1.033880115E0,2.106552362E0,-2.300869077E-1
5.241197875E0,7.403322458E-1,-2.719718218E0,-2.392597914E0
5.490788000E0,1.192699075E0,-1.306390047E0,-1.524463058E0
5.740361000E0,-1.097905278E0,-1.572318077E-1,1.421464920E0
5.989933000E0,-9.298458695E-1,3.142415524E0,3.266433477E-1
6.239537000E0,-1.674842477E0,3.296749830E0,8.145828247E-1
6.489116500E0,1.149164811E-1,7.086732984E-1,1.229108214E0
6.738720500E0,-1.103707075E0,-1.202805281E0,-3.755250692E0
6.988292500E0,-6.766835600E-2,-4.449673295E-1,-3.626671731E-1
7.237865500E0,-5.452222824E-1,7.084512115E-1,1.684744954E0
7.487483042E0,-2.287812233E0,2.588374853E0,7.065730095E-1
7.737056042E0,-1.467213631E0,2.747873306E0,1.293719262E-1
7.986629042E0,1.059412241E0,-1.092573166E0,-2.716133118E0
8.236232042E0,-1.601395607E0,5.031926036E-1,-5.424404144E-1
8.485782875E0,-2.180503607E-1,1.705228925E0,2.548752546E0
8.735385875E0,-1.194773197E0,1.319441915E0,7.185663283E-2
8.984958875E0,1.065932631E0,-2.515735388E0,-1.880678177E0
9.234531875E0,-6.551879644E-1,-3.254476488E-1,-1.687934875E0
9.484151375E0,5.008323789E-1,-1.894631982E-1,3.554328918E0
9.733724375E0,-1.364579201E0,2.098760366E0,1.216965199E0
9.983327375E0,1.161203027E0,-2.015057564E0,-1.845458865E0
1.023290038E1,5.080243945E-1,-8.920204639E-1,-2.203404903E0
1.048247863E1,-7.873106003E-2,-7.880755663E-1,1.941075206E0
1.073205163E1,-4.958904684E-1,1.011142969E0,2.806048393E0
1.098162463E1,1.706761599E0,-3.314145803E0,-2.617110312E-1
1.123122763E1,-3.085698485E-1,-1.088869333E0,-2.828154564E0
1.148081338E1,-1.580711603E0,2.442726493E-2,1.483144522E0
1.173041638E1,-4.114903212E-1,1.358677030E0,3.599545479E0
1.197998938E1,1.896649480E0,-9.818575382E-1,-3.001578152E-1
1.222956138E1,-4.433008730E-1,-4.474250078E-1,-3.540016651E0
1.247915350E1,-1.881853491E-1,4.957829118E-1,1.060429811E-1
1.272872550E1,-6.947456598E-1,1.131813288E0,3.390558004E0
1.297832950E1,-1.199254751E0,2.156733274E0,-3.822439909E-1
1.322790150E1,2.515907586E-1,-1.482949615E0,-2.751441240E0
1.347748817E1,2.687044740E-1,-7.782445550E-1,-1.649544597E0
1.372709117E1,-8.006725311E-1,1.535713524E-1,1.463113904E0
1.397666417E1,-1.207549453E0,2.105955362E0,-3.449921608E-1
1.422626717E1,-1.766384125E0,2.803353310E0,7.791095972E-1
1.447585313E1,2.188763916E-1,7.833075523E-1,6.088138223E-1
1.472545613E1,-7.956964970E-1,1.286028624E-1,-2.866076231E0
1.497502913E1,-1.360842228E0,2.030543983E-1,-1.463086903E-1
1.522460213E1,-9.635422230E-1,1.420893669E0,1.357337117E0
1.547418225E1,-1.654606700E0,1.953711390E0,1.547827840E0
1.572375525E1,1.166438460E0,-2.100908756E-1,4.363854825E-1
1.597335825E1,-1.713679284E-1,3.473258615E-1,-2.267191887E0
1.622293125E1,-6.975901723E-1,1.204917431E0,6.517124772E-1
1.647253775E1,-4.015833139E-1,1.230656505E0,2.813356400E0
1.672211075E1,9.213339686E-1,1.009729654E-1,6.416936517E-1
1.697168375E1,2.264644802E-1,-1.678723931E0,-2.326483011E0
1.722128675E1,-1.866039753E0,1.068212271E0,-1.034459949E0
1.747086600E1,1.312708408E-1,1.466791749E0,3.168314695E0
1.772046900E1,-3.132486641E-1,7.281408310E-1,-2.499358803E-1
1.797004200E1,4.879440367E-1,-2.567033529E0,-2.350392103E0
1.821964500E1,-2.211969495E-1,-9.328716993E-1,-1.598839283E0
1.846921079E1,-6.112650037E-1,2.873650789E0,2.539927483E0
1.871878379E1,-3.836694658E-1,9.820673466E-1,3.033072650E-1
1.896838679E1,4.031447470E-1,-2.228363514E0,-1.941663265E0
1.921795979E1,-9.075645804E-1,-3.270412087E-1,-1.956389308E0
1.946756675E1,-4.406768382E-1,5.699843764E-1,1.249383807E0
1.971713975E1,-1.548135579E-1,6.011872292E-1,2.611349583E0
1.996674275E1,8.761238456E-1,-1.537196398E0,-8.043687344E-1
2.021631575E1,-8.320986629E-1,-6.574416161E-1,-2.838316679E0
2.046588179E1,-3.167578578E-1,1.222343966E-1,1.142746396E-2
2.071548579E1,-1.122261658E-1,1.053668022E0,4.579240382E-1
2.096505879E1,-2.269783497E0,2.660531759E0,1.635401130E0
2.121466179E1,-8.175947666E-1,1.975296140E0,6.057867408E-1
2.146423767E1,2.965601683E-1,-8.158347607E-1,-2.075215816E0
2.171384067E1,-1.177345738E-1,-6.366984248E-1,-1.041476369E0
2.196341367E1,-8.888102174E-1,5.496593714E-1,1.049577355E0
2.221298567E1,-3.088057935E-1,1.055881381E0,7.342669964E-1
2.246259725E1,-1.761352539E0,2.385373831E0,3.417696953E-1
2.271216925E1,-1.318166971E0,2.034576178E0,-1.265914798E0
2.296177325E1,1.407363892E0,-1.809311271E0,-8.139488101E-1
2.321134525E1,-2.257067204E0,2.142628670E0,2.103305757E-1
2.346094750E1,-9.040270448E-1,2.361319304E0,2.029641867E0
2.371051950E1,1.198696256E0,-3.772664368E-1,2.909322679E-1
2.396009250E1,-4.914418757E-1,-1.898039699E0,-1.540610790E0
2.420969550E1,-5.295105651E-2,-9.194524884E-1,-1.805203557E0
2.445925213E1,-7.657994032E-1,9.184012413E-1,1.661655784E0
2.470885513E1,-4.721503556E-1,1.180856228E0,2.139096975E0
2.495842812E1,1.118843794E0,-2.681555748E0,-9.234325886E-1
2.520803113E1,-1.608070135E-1,-1.050954223E0,-2.274110317E0
2.545760413E1,-6.423956752E-1,-2.943343520E-1,8.317003846E-1
2.570717713E1,-3.202160001E-1,6.415007114E-1,3.122213125E0
2.595678013E1,1.255652189E0,-9.815545082E-1,2.126845568E-1
2.620635313E1,-1.301923990E0,-8.800571561E-1,-3.805321455E0
2.645595817E1,-4.981352687E-1,6.681277752E-1,3.527247906E-1
2.670553117E1,-4.010704160E-1,1.591593862E0,1.936635494E0
2.695513417E1,-1.011148915E-1,4.225074351E-1,2.712294161E-1
2.720470717E1,8.312301636E-1,-2.793716669E0,-8.660206199E-1
2.745427013E1,-6.769164801E-1,-5.702222586E-1,-2.304817438E0
2.770387312E1,-6.470654011E-1,1.682992876E-1,1.024237394E0
2.795344613E1,1.242957823E-2,1.203164935E0,2.786589384E0
2.820304913E1,-1.640730351E-1,2.276652098E0,-4.909221232E-1
2.845261475E1,-2.747300081E-2,-2.420566082E-1,-2.857108116E0
2.870221775E1,1.890794635E-1,-6.283438802E-1,-3.087612092E-1
2.895179075E1,-1.422197700E0,7.649216056E-1,1.219277740E0
2.920136375E1,-1.645547867E0,2.333391666E0,-1.694574803E-1
2.945097050E1,2.360442281E-1,1.425371528E0,1.122916579E0
2.970054350E1,1.755343825E-1,7.010654807E-1,1.376451179E-2
2.995014650E1,-5.973601341E-1,-4.913163185E-1,-1.787284970E0
3.019971950E1,-1.509384871E0,1.337768197E0,1.448077202E0
3.044931742E1,3.991173804E-1,1.956928611E0,1.114567071E-1
3.069889042E1,-8.013295531E-1,2.310384274E0,1.105140924E0
3.094846242E1,1.606605887E0,-7.175476551E-1,3.502857983E-1
3.119806642E1,-7.433361840E-3,2.471056581E-1,-1.976048589E0
3.144764817E1,-1.869943976E0,1.121552944E0,-5.609253049E-1
3.169725217E1,-1.641439199E0,2.519534826E0,2.844623804E0
3.194682517E1,-7.233788371E-1,1.413673401E0,-3.590680361E-1
3.219642817E1,2.397673130E-1,-1.164017320E0,-2.482999563E0
3.244600438E1,-6.776136756E-1,-3.025259674E-1,-2.304696083E0
3.269557638E1,2.656261921E-1,1.182769299E0,2.366785288E0
3.294518038E1,-1.824252307E-1,2.087179899E0,2.265175104E0
3.319475237E1,-1.481158137E-1,1.345912665E-1,-6.644454002E-1
3.344434788E1,9.115581512E-1,-2.035143852E0,-2.062211275E0
3.369391988E1,-1.173866153E0,9.477777034E-2,-1.100408554E0
3.394352388E1,4.425666928E-1,1.553903371E-1,2.944491625E0
3.419309588E1,-8.379069567E-1,7.162226439E-1,1.380306959E0
3.444267113E1,8.277435303E-1,-3.721802473E0,-8.797195554E-1
3.469227413E1,2.482478917E-1,-2.443332911E0,-2.586574793E0
3.494184713E1,-5.850749016E-1,8.397532254E-2,1.728143215E0
3.519145012E1,-1.872353792E0,2.771445751E0,4.048210144E0
3.544102867E1,2.140874147E0,-1.943850398E0,1.240180731E-1
3.569063167E1,-1.486317158E0,7.534087896E-1,-3.490500689E0
3.594020467E1,-7.430318594E-1,7.288631201E-1,-1.912666410E-1
3.618977767E1,-1.958013326E-1,1.181488395E0,1.023815870E0
3.643938275E1,-1.383672118E0,2.532753944E0,7.220910192E-1
3.668895575E1,-7.322439551E-2,1.301411629E0,8.992878795E-1
3.693855875E1,-8.366041183E-1,-1.275238752E0,-2.760416269E0
3.718813175E1,-3.366571665E-1,-8.418515325E-1,-9.419704080E-1
3.743773687E1,-1.603618622E0,1.143848658E0,2.183237553E0
3.768730988E1,-1.415945053E0,2.683929682E0,1.067945719E0
3.793688288E1,8.268774748E-1,1.536280632E0,5.562067032E-1
3.818648588E1,-6.073647738E-1,-1.203678846E0,-3.103512526E0
3.843605163E1,1.785862595E-1,-1.106169939E0,-2.111622542E-1
3.868565463E1,-7.835210562E-1,8.809572458E-1,1.565270066E0
3.893522762E1,-1.943750679E-1,1.649242163E0,2.507584095E0
3.918483063E1,2.359766215E-1,-9.209220111E-2,-8.057341576E-1
3.943440454E1,-2.484083623E-1,-3.761100292E0,-2.880780697E0
3.968397754E1,6.508828998E-1,-1.596175551E0,-1.457814336E0
3.993358054E1,-1.729873776E0,2.355362415E0,3.217545033E0
4.018315354E1,-8.616005182E-1,5.809959173E-1,-1.358706951E-1
4.043275250E1,1.737510681E0,-4.443554878E0,-1.378322482E0
4.068232550E1,-4.835838079E-1,-1.748297572E0,-2.455649614E0
4.093192850E1,2.422408015E-1,9.841147661E-1,2.223505974E0
4.118150150E1,4.912677109E-1,6.159312129E-1,3.192852020E0
4.143108267E1,1.008560061E0,-1.994049549E0,-9.569015503E-1
4.168068667E1,-9.520233274E-1,-8.471371531E-1,-2.636007309E0
4.193025867E1,-2.249413282E-1,6.281083822E-1,1.910709620E0
4.217986267E1,6.341958046E-1,1.041747451E0,2.926372766E0
4.242943025E1,-7.211514749E-4,-1.680431724E0,-1.476859331E0
4.267903425E1,-1.318171978E0,-8.675562143E-1,-2.229669571E0
4.292860725E1,4.650303125E-1,7.186027765E-1,1.357295156E0
4.317817925E1,-5.657637119E-2,1.896756411E0,2.538010836E0
4.342776454E1,-1.498948783E-1,1.157016158E0,2.870110869E-1
4.367733654E1,-9.490727186E-1,-4.258244932E-1,-4.991432190E0
4.392694054E1,-2.081724815E-2,-5.398895144E-1,-1.144254446E0
4.417651254E1,-7.543824315E-1,3.168089390E-1,6.292224526E-1
4.442612050E1,1.898083687E0,-1.314115763E0,3.005412340E0
4.467569250E1,-2.939251661E0,2.763026237E0,4.352920651E-1
4.492526550E1,6.386769414E-1,1.066782594E0,1.034455538E0
4.517486850E1,5.467047095E-1,-1.647330165E0,-2.941459179E0
4.542443417E1,-6.855132580E-1,-4.575004578E-1,-2.539311886E0
4.567403717E1,-8.735100627E-1,-3.701532483E-1,8.985610008E-1
4.592361017E1,6.729800105E-1,1.580404937E-1,3.167115927E0
4.617321317E1,-1.030956864E0,3.482101440E0,1.430885434E0
4.642278550E1,6.969994903E-1,-4.027363360E-1,-1.133589000E-1
4.667235850E1,-2.773887813E-1,-8.403570056E-1,-1.965581417E0
4.692196150E1,-1.839549899E0,1.268292665E0,-9.475927949E-1
4.717153450E1,-6.382631660E-1,2.068632603E0,2.017225266E0
4.742114750E1,-3.759680390E-1,-3.752997816E-1,-2.707378566E-1
4.767072050E1,5.268462896E-1,-2.223670959E0,-3.461197615E0
4.792029350E1,-1.490612030E0,1.382999778E0,-1.006602049E0
