"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,5.233455537E1,4.866131602E0,3.027959585E0,-1.000000000E0,-1.000000000E0,1.312782153E2,1.312782153E2
3.605560064E-1,5.233495622E1,4.867376675E0,-1.791169405E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.154723048E0,5.233497464E1,4.867409028E0,-2.403022766E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
8.576279998E0,5.233497376E1,4.867416416E0,-2.769241095E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.500806701E1,5.233496721E1,4.867398309E0,-2.968626976E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.143956697E1,5.233499121E1,4.867445326E0,-2.994656563E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.839915395E1,5.233496424E1,4.867638816E0,-2.998321056E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.800342631E1,5.233495810E1,4.867730567E0,-1.819630504E0,7.281757356E-1,-1.000000000E0,2.000000000E2,2.000000000E2
3.900341678E1,5.233496175E1,4.867692816E0,-1.203055501E0,7.045472887E-1,-1.000000000E0,2.000000000E2,2.000000000E2
4.000340569E1,5.233496609E1,4.867657428E0,-8.186451197E-1,6.816525044E-1,-1.000000000E0,2.000000000E2,2.000000000E2
4.100339568E1,5.233497101E1,4.867624354E0,-5.540026426E-1,6.595143301E-1,-1.000000000E0,2.000000000E2,2.000000000E2
4.200338650E1,5.233497634E1,4.867593440E0,-3.604711294E-1,6.381278766E-1,-1.000000000E0,2.000000000E2,2.000000000E2
4.300337589E1,5.233498180E1,4.867564628E0,-2.133729309E-1,6.175147742E-1,-1.000000000E0,2.000000000E2,2.000000000E2
4.400336540E1,5.233498896E1,4.867536492E0,-9.881699085E-2,5.972249769E-1,-1.000000000E0,2.000000000E2,2.000000000E2
