"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.000000000E0,-1.891346741E1,-2.026633453E1,-1.821795654E1
2.495720000E-1,-2.154638672E1,-1.856656647E1,-1.832202148E1
4.991354167E-1,-2.348335266E1,-1.776062775E1,-1.954486084E1
7.487084167E-1,-2.953842163E1,-1.429322052E1,-1.239471436E1
9.983114167E-1,-3.359445190E1,4.737472534E-1,6.990295410E0
1.247884417E0,-3.039772034E1,1.750009918E1,1.108624268E1
1.497466667E0,-1.689125061E1,2.115367889E1,2.858660889E1
1.747069667E0,-1.021202087E1,2.100019073E1,3.019598389E1
1.996642667E0,-4.125244141E0,2.824459076E1,1.874176025E1
2.246214667E0,-1.353137207E1,2.232077789E1,1.547857666E1
2.495773042E0,-5.352722168E0,2.586782074E1,1.606719971E1
2.745376042E0,6.870651245E0,2.551444244E1,1.924078369E1
2.994949042E0,1.106826782E0,2.495847321E1,1.903778076E1
3.244522042E0,-1.002638245E1,2.588170624E1,1.327862549E1
3.494122500E0,-1.693560791E1,1.877178192E1,1.577636719E1
3.743695500E0,2.913024902E0,2.999662018E1,1.437225342E1
3.993268500E0,5.233566284E0,2.907044220E1,1.683850098E1
4.242871500E0,-3.530212402E0,2.974185944E1,1.168652344E1
4.492448875E0,-1.445755005E1,2.444004059E1,1.492614746E1
4.742051875E0,-3.521774292E0,2.914078522E1,1.455584717E1
4.991624875E0,1.581878662E-1,2.645781708E1,2.247894287E1
5.241197875E0,-6.912231445E-1,2.975643158E1,1.707116699E1
5.490788000E0,-2.125692749E1,1.996552277E1,1.726824951E1
5.740361000E0,-2.029904175E1,2.074303436E1,1.962878418E1
5.989933000E0,-1.901916504E1,2.260987091E1,2.072271729E1
6.239537000E0,-2.589791870E1,2.168073273E1,1.303192139E1
6.489116500E0,-2.669515991E1,2.467963409E1,8.283691406E-1
6.738720500E0,-3.316844177E1,1.734549713E1,8.061340332E0
6.988292500E0,-3.089900208E1,3.275276184E0,1.496844482E1
7.237865500E0,-3.089556885E1,9.657264709E0,1.125299072E1
7.487483042E0,-3.370957947E1,1.323938751E1,5.816650391E-2
7.737056042E0,-2.564199829E1,2.424535370E1,-1.038629150E1
7.986629042E0,-3.038359070E1,1.730507660E1,-1.146862793E1
8.236232042E0,-3.520877075E1,1.021186829E0,-6.527954102E0
8.485782875E0,-2.935852051E1,1.814069366E1,-1.038818359E1
8.735385875E0,-1.249957275E1,3.085305023E1,-1.349523926E1
8.984958875E0,-1.823628235E1,2.543553925E1,-1.630108643E1
9.234531875E0,-3.170649719E1,8.810264587E0,-1.184893799E1
9.484151375E0,-2.777507019E1,1.652382660E1,-1.354467773E1
9.733724375E0,-6.306091309E0,3.058655548E1,-1.436480713E1
9.983327375E0,-6.653686523E0,2.838552094E1,-1.753387451E1
1.023290038E1,-2.658529663E1,1.341114044E1,-1.547644043E1
1.048247863E1,-2.541192627E1,1.299953461E1,-1.723999023E1
1.073205163E1,-6.797622681E0,2.861910248E1,-1.890124512E1
1.098162463E1,-2.346984863E0,2.806475067E1,-2.181085205E1
1.123122763E1,-2.616014099E1,1.434528351E1,-1.819750977E1
1.148081338E1,-2.692903137E1,8.556449890E0,-2.156854248E1
1.173041638E1,-1.098658752E1,2.787377167E1,-2.012335205E1
1.197998938E1,1.863159180E0,3.013036346E1,-2.042266846E1
1.222956138E1,-2.377906799E1,1.392571259E1,-2.621112061E1
1.247915350E1,-2.946545410E1,-4.179481506E0,-2.530340576E1
1.272872550E1,-2.119171143E1,1.359371185E1,-3.110333252E1
1.297832950E1,5.010314941E0,2.927962494E1,-2.787939453E1
1.322790150E1,4.104171753E0,2.502571869E1,-3.448370361E1
1.347748817E1,-2.401010132E1,-4.864494324E0,-3.420141602E1
1.372709117E1,-3.138397217E1,-4.421363831E0,-1.563739014E1
1.397666417E1,-2.948133850E1,7.692649841E0,-1.750738525E1
1.422626717E1,-1.648278809E1,1.453092194E1,-2.555926514E1
1.447585313E1,-7.697784424E0,2.116538239E1,-2.231018066E1
1.472545613E1,-2.984068298E1,2.778948212E1,-9.340332031E0
1.497502913E1,-3.530883789E1,3.637760162E1,2.747314453E0
1.522460213E1,-2.385054016E1,4.602033234E1,5.759338379E0
1.547418225E1,-3.176869202E1,4.931981659E1,5.840209961E0
1.572375525E1,-2.056958008E1,5.618634796E1,1.351092529E1
1.597335825E1,-1.221643066E1,4.772713470E1,1.557708740E1
1.622293125E1,-2.320918274E1,3.327678680E1,1.750970459E1
1.647253775E1,-7.193725586E0,3.865209198E1,2.374981689E1
1.672211075E1,-2.543609619E0,3.288220978E1,3.259393311E1
1.697168375E1,-2.102172852E0,3.663690948E1,1.892681885E1
1.722128675E1,-1.662525940E1,2.510671234E1,1.812158203E1
1.747086600E1,-7.659011841E0,3.022116852E1,1.712188721E1
1.772046900E1,2.940887451E0,2.873606110E1,2.232745361E1
1.797004200E1,-3.825149536E0,2.999408722E1,6.871948242E0
1.821964500E1,-1.896704102E1,2.120803070E1,1.421148682E1
1.846921079E1,-1.574598694E1,2.860558319E1,1.218310547E1
1.871878379E1,-6.521301270E-1,3.582936859E1,1.387701416E1
1.896838679E1,-4.627563477E0,3.563871002E1,7.178100586E0
1.921795979E1,-1.556552124E1,2.354123688E1,1.039111328E1
1.946756675E1,-2.349415588E1,2.162873077E1,8.463195801E0
1.971713975E1,-2.651367188E0,3.446846771E1,4.518127441E0
1.996674275E1,5.116729736E-1,3.621932220E1,3.225891113E0
2.021631575E1,-2.247338867E1,2.974774933E1,3.523254395E0
2.046588179E1,-3.048242188E1,1.457685089E1,1.796429443E1
2.071548579E1,-2.174281311E1,2.748490143E1,1.674005127E1
2.096505879E1,-3.288464355E1,2.149263763E1,8.576599121E0
2.121466179E1,-3.275682068E1,2.503752899E1,-7.190368652E0
2.146423767E1,-3.638952637E1,2.190981293E1,-4.793151855E0
2.171384067E1,-4.002661133E1,1.800437927E0,9.160644531E0
2.196341367E1,-3.943914795E1,3.302207947E0,1.093688965E1
2.221298567E1,-3.614196777E1,1.761141205E1,1.265197754E0
2.246259725E1,-3.447280884E1,1.434392548E1,-1.584820557E1
2.271216925E1,-2.896913147E1,1.362590790E1,-2.572204590E1
2.296177325E1,-3.533299255E1,1.148320770E1,-1.489215088E1
2.321134525E1,-3.663337708E1,1.148700714E1,-3.302062988E0
2.346094750E1,-2.662620544E1,2.748046112E1,-1.151007080E1
2.371051950E1,-1.512045288E1,3.639136505E1,-1.106585693E1
2.396009250E1,-1.413372803E1,2.901087189E1,-4.995056152E0
2.420969550E1,-2.688079834E1,1.428675079E1,-6.945495605E0
2.445925213E1,-2.607946777E1,1.239315033E1,-1.275921631E1
2.470885513E1,-5.360717773E0,2.591822052E1,-1.286724854E1
2.495842812E1,-4.665222168E0,2.407506561E1,-1.651782227E1
2.520803113E1,-2.011166382E1,1.549240875E1,-1.897772217E1
2.545760413E1,-2.030294800E1,1.646212006E1,-2.441381836E1
2.570717713E1,-4.768692017E0,2.570543671E1,-2.475164795E1
2.595678013E1,1.413711548E0,2.794191742E1,-2.599713135E1
2.620635313E1,-2.556851196E1,1.936511993E1,-2.148944092E1
2.645595817E1,-3.026025391E1,5.897926331E0,-2.160241699E1
2.670553117E1,-2.092933655E1,1.766107941E1,-2.628930664E1
2.695513417E1,-1.638168335E0,2.532100677E1,-2.731036377E1
2.720470717E1,-6.393539429E0,2.257799530E1,-2.921990967E1
2.745427013E1,-2.635609436E1,1.187938690E1,-2.445770264E1
2.770387312E1,-3.086683655E1,7.335884094E0,-2.185424805E1
2.795344613E1,-1.412811279E1,2.350188446E1,-2.853851318E1
2.820304913E1,4.420364380E0,2.870305634E1,-2.790447998E1
2.845261475E1,-2.149606323E1,1.558463287E1,-3.685675049E1
2.870221775E1,-3.232006836E1,3.849784851E0,-1.480682373E1
2.895179075E1,-2.998377991E1,1.160903168E1,-1.125885010E1
2.920136375E1,-2.418571472E1,1.939197540E1,-1.482397461E1
2.945097050E1,-1.359138489E1,2.575534821E1,-2.046215820E1
2.970054350E1,-7.716659546E0,2.837808990E1,-1.788238525E1
2.995014650E1,-1.987443542E1,2.747696686E1,-2.368408203E0
3.019971950E1,-2.021502686E1,3.043842316E1,4.987915039E0
3.044931742E1,-8.067810059E0,3.660050201E1,4.661315918E0
3.069889042E1,-1.504316711E1,3.405571747E1,9.386657715E0
3.094846242E1,-5.106018066E0,3.827260590E1,1.236474609E1
3.119806642E1,-1.313598633E1,3.745598602E1,8.859252930E0
3.144764817E1,-2.400039673E1,2.985262299E1,1.278582764E1
3.169725217E1,-1.253089905E1,3.607506561E1,1.445111084E1
3.194682517E1,-5.714752197E0,3.451801300E1,2.165704346E1
3.219642817E1,-1.249934387E1,3.560042572E1,1.545684814E1
3.244600438E1,-2.428894043E1,2.337186432E1,1.777166748E1
3.269557638E1,-2.479364014E1,2.229468536E1,1.628234863E1
3.294518038E1,-9.016265869E0,3.511557770E1,1.421081543E1
3.319475237E1,-5.624053955E0,3.459343719E1,1.626995850E1
3.344434788E1,-1.403495789E1,3.198403168E1,1.051898193E1
3.369391988E1,-2.033555603E1,2.556719208E1,1.427703857E1
3.394352388E1,-2.215600586E1,2.487998199E1,1.438952637E1
3.419309588E1,-7.097351074E0,3.431653595E1,1.102947998E1
3.444267113E1,-4.931243896E0,3.581737518E1,6.423583984E0
3.469227413E1,-2.188879395E1,2.159078217E1,1.553814697E1
3.494184713E1,-2.819270325E1,1.011927032E1,1.588586426E1
3.519145012E1,-1.287503052E1,2.832123566E1,1.412603760E1
3.544102867E1,-9.153640747E0,3.211704254E1,6.633361816E0
3.569063167E1,-2.010263062E1,2.024529266E1,1.723455811E1
