"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,-4.958347417E-4,4.857862368E-4,2.827076241E-4
2.495420000E-1,1.906190999E-3,5.915155634E-4,-3.565009683E-4
4.990840000E-1,9.859739803E-4,-6.801960990E-4,6.370265037E-4
7.486576250E-1,1.517329365E-3,-1.302857883E-3,8.080294356E-4
9.981996250E-1,-1.115625259E-3,2.039494924E-3,-1.204768196E-3
1.247772625E0,-7.194583304E-4,1.485048793E-3,-1.412615180E-3
1.497314625E0,-5.305400118E-4,1.337728463E-3,5.213664845E-4
1.746900000E0,1.143839676E-3,-9.692832828E-5,9.864009917E-5
1.996442000E0,9.700111113E-4,-8.301166818E-4,5.083028227E-4
2.246015000E0,1.057599671E-3,-2.466487698E-3,6.686151028E-4
2.495557000E0,3.168288153E-3,-1.436851919E-3,-4.617283121E-4
2.745134083E0,-6.459406577E-4,2.248324454E-4,-3.092363477E-4
2.994676083E0,9.774728678E-4,4.543829709E-4,-6.782282144E-4
3.244249083E0,1.486509573E-3,7.962407544E-4,-1.783082262E-4
3.493791083E0,-1.186426729E-3,9.610429406E-4,-2.507632598E-4
3.743333333E0,2.065622248E-3,2.613512799E-3,-5.403924733E-4
3.992875333E0,1.261821948E-3,-2.538161352E-4,8.849333972E-4
4.242448333E0,4.441663623E-5,-8.152825758E-4,1.390158199E-3
4.491990333E0,6.497539580E-4,-4.945686087E-4,2.622893080E-4
4.741574250E0,1.445109956E-4,5.253730342E-4,5.037607625E-4
4.991116250E0,-1.994536258E-3,-4.763398319E-4,6.315950304E-4
5.240689250E0,-2.902820706E-4,-1.731319353E-4,-7.143560797E-4
5.490231250E0,2.303579822E-5,3.820741549E-4,-1.956196502E-4
5.739801958E0,-1.917514019E-4,1.757055521E-3,-8.461987600E-4
5.989343958E0,3.533838317E-4,-8.724285290E-4,3.147590905E-4
6.238916958E0,-9.816638194E-4,-4.869140685E-5,1.094526611E-3
6.488489958E0,-1.418752130E-3,-4.050051793E-4,4.357341677E-4
6.738009458E0,6.425399333E-4,2.369005233E-4,6.650071591E-4
6.987582458E0,-1.684706658E-4,-1.274373382E-3,1.645584591E-3
