"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,5.233609413E1,4.867657035E0,-3.021416187E0,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
4.221349955E-1,5.233454952E1,4.867502798E0,-3.099530220E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.920854926E0,5.233454222E1,4.867495544E0,-3.118359327E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.192327595E1,5.233454016E1,4.867493498E0,-3.120345592E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.692740703E1,5.233453966E1,4.867492995E0,-3.121104240E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
5.193204403E1,5.233453953E1,4.867492871E0,-3.121504784E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.693316793E1,5.233453950E1,4.867492840E0,-3.121752501E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
8.193810296E1,5.233453949E1,4.867492833E0,-3.121920824E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
9.694316900E1,5.233453949E1,4.867492831E0,-3.122042656E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.119480799E2,5.233453949E1,4.867492830E0,-3.122134924E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.269530660E2,5.233453949E1,4.867492830E0,-3.122207165E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.419580600E2,5.233453949E1,4.867492830E0,-3.122267723E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.569630179E2,5.233453949E1,4.867492830E0,-3.122322083E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.719694149E2,5.233453949E1,4.867492830E0,-3.122370958E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.869744040E2,5.233453949E1,4.867492830E0,-3.122414827E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.019793910E2,5.233453949E1,4.867492830E0,-3.122454166E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.169814440E2,5.233453949E1,4.867492830E0,-3.122489452E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.319821559E2,5.233453949E1,4.867492830E0,-3.122521162E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.469871789E2,5.233453949E1,4.867492830E0,-3.122549534E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.555292910E2,5.233452393E1,4.867495520E0,-3.124291658E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.700261660E2,5.233452393E1,4.867495520E0,-3.124291658E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.705342879E2,5.233452009E1,4.867496182E0,-3.125875235E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.855393040E2,5.233451915E1,4.867496345E0,-3.127317905E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.005494430E2,5.233451892E1,4.867496385E0,-3.128630161E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.155511780E2,5.233451886E1,4.867496395E0,-3.129823685E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.305562700E2,5.233451885E1,4.867496397E0,-3.130909443E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.455606290E2,5.233451884E1,4.867496398E0,-3.131896973E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
