"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,-1.727198660E-1,-3.934854865E-1,-4.977171868E-2
2.496330000E-1,-1.366498172E-1,-1.253461987E-1,-1.210359205E-2
4.992980000E-1,-2.895005941E-1,-5.833982676E-2,9.806687385E-2
7.489620000E-1,-3.095719516E-1,-3.032398410E-2,-4.194677621E-2
9.986462500E-1,-1.516024917E-1,9.253413230E-2,1.185363438E-2
1.248280250E0,-1.179356724E-1,-3.443706036E-1,1.551888227E0
1.497944250E0,3.775881529E-1,4.602776170E-1,3.378735781E0
1.747609250E0,1.577414393E0,1.612318397E0,2.014040709E0
1.997270500E0,2.804583311E-2,-1.619714126E-2,1.466326974E-2
2.246934500E0,2.713815868E-2,9.768841788E-3,4.696356133E-3
2.496568500E0,1.929219812E-2,-2.698748186E-2,1.704434864E-2
2.746232500E0,9.242735803E-3,6.119373254E-3,1.836027950E-4
2.995918875E0,1.034919918E-2,-2.018379234E-2,-1.990776509E-3
3.245582875E0,2.107886598E-3,-1.893313602E-3,6.094491109E-4
3.495216875E0,3.821407259E-2,-3.915975243E-2,-5.605989695E-2
3.744880875E0,-2.587623196E-3,-6.856123451E-3,6.747716572E-3
3.994568250E0,-5.857869051E-3,-2.253497764E-2,-6.803185679E-3
4.244233250E0,-4.160813056E-3,-4.013748839E-3,7.638654206E-3
4.493867250E0,-1.702325232E-2,1.696190797E-2,9.627276100E-3
4.743531250E0,3.885410726E-3,7.880758494E-4,3.616968170E-4
4.993204125E0,-9.828165174E-3,7.806458510E-3,9.925023653E-3
5.242868125E0,-3.159263637E-3,6.805031560E-3,9.343564510E-3
5.492502125E0,1.519192196E-2,7.020719349E-4,6.536125205E-3
5.742167125E0,7.456966676E-3,-1.255577896E-2,-1.139669679E-3
5.991833917E0,2.933130041E-2,1.176570263E-2,6.511292420E-3
6.241497917E0,2.690899745E-2,-7.633673493E-3,-6.066636182E-3
6.491131917E0,1.857846044E-3,-3.352871537E-2,-3.749887459E-3
6.740795917E0,-3.152602166E-2,-3.110546619E-3,4.731039517E-3
6.990479875E0,5.241853651E-3,-3.198608756E-3,-9.940437973E-3
7.240143875E0,1.625804231E-3,-2.535033785E-2,-4.045141861E-3
7.489777875E0,-9.698639624E-3,2.135857008E-3,4.024562426E-3
7.739441875E0,1.115079597E-2,3.907314502E-3,-9.761914611E-3
7.989108125E0,2.241658978E-2,-6.838530302E-3,-1.572654396E-2
8.238773125E0,-2.587866038E-5,4.059570841E-3,5.484325346E-3
8.488406125E0,2.257256024E-2,3.200359643E-4,-4.293113016E-3
8.738071125E0,-1.712261699E-3,-1.799416915E-2,5.481895991E-3
