"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.000000000E0,4.003245544E1,3.334802246E1,2.860388184E1
2.496330000E-1,4.072825623E1,2.935348511E1,3.054022217E1
4.992980000E-1,4.007080078E1,2.646575928E1,3.270162964E1
7.489620000E-1,4.398674011E1,2.730622864E1,3.086962891E1
9.986462500E-1,3.914329529E1,2.307946777E1,3.344082642E1
1.248280250E0,3.828480530E1,2.020162964E1,3.501751709E1
1.497944250E0,3.926249695E1,-1.659941101E1,3.819946289E1
1.747609250E0,1.052668762E1,-4.471932983E1,3.755261230E1
1.997270500E0,3.332519531E-2,-3.538973999E1,4.582839966E1
2.246934500E0,-2.700805664E-2,-3.777822876E1,4.224563599E1
2.496568500E0,6.988372803E-1,-3.267184448E1,4.629779053E1
2.746232500E0,4.658233643E0,-3.716493225E1,4.264297485E1
2.995918875E0,-5.311370850E0,-4.169430542E1,3.430725098E1
3.245582875E0,-4.426223755E0,-3.869995117E1,3.498376465E1
3.495216875E0,-2.214691162E0,-3.805143738E1,3.391629028E1
3.744880875E0,-2.202362061E0,-3.671664429E1,3.761340332E1
3.994568250E0,-9.488067627E-1,-3.382896423E1,3.826049805E1
4.244233250E0,-1.187210083E0,-3.397560120E1,3.793566895E1
4.493867250E0,4.461059570E-1,-3.137400818E1,3.954379272E1
4.743531250E0,3.330108643E0,-2.935987854E1,3.894528198E1
4.993204125E0,8.909408569E0,-2.875906372E1,4.267416382E1
5.242868125E0,7.935119629E0,-2.383491516E1,4.864056396E1
5.492502125E0,3.458587646E0,-3.234292603E1,3.617108154E1
5.742167125E0,1.618804932E0,-3.067265320E1,3.709481812E1
5.991833917E0,4.927551270E0,-2.866857910E1,3.847241211E1
6.241497917E0,1.088529968E1,-2.544866943E1,5.104379272E1
6.491131917E0,5.186386108E0,-2.262527466E1,6.811218262E1
6.740795917E0,3.424530029E0,-2.310900879E1,6.131985474E1
6.990479875E0,8.365219116E0,-2.371099854E1,6.320211792E1
7.240143875E0,9.346755981E0,-1.930963135E1,6.399234009E1
7.489777875E0,3.287536621E0,-1.409466553E1,5.924151611E1
7.739441875E0,3.644699097E0,-1.808212280E1,4.360919189E1
7.989108125E0,7.403320312E0,-1.604264832E1,4.478048706E1
8.238773125E0,7.615890503E0,-2.411241150E1,3.619665527E1
8.488406125E0,2.346786499E0,-2.625677490E1,3.725024414E1
8.738071125E0,3.396133423E0,-2.350195312E1,3.874798584E1
8.987746875E0,4.676437378E0,-2.166766357E1,3.848339844E1
9.237410875E0,5.621185303E0,-1.991717529E1,4.221447754E1
9.487044875E0,9.535202026E0,-2.473774719E1,3.963476562E1
9.736708875E0,-1.191085815E0,-2.995594788E1,3.029315186E1
9.986375625E0,-7.445678711E-1,-2.823791504E1,3.266687012E1
1.023603963E1,1.733230591E0,-2.845196533E1,3.380999756E1
1.048567363E1,-2.691055298E0,-2.936636353E1,3.496380615E1
1.073533763E1,3.151779175E0,-2.371380615E1,3.794696045E1
1.098502638E1,4.712356567E0,-2.131352234E1,3.877795410E1
1.123469138E1,6.728118896E0,-1.874578857E1,4.046978760E1
1.148435538E1,8.073806763E0,-1.725401306E1,4.154074097E1
1.173398938E1,1.707666016E1,-1.910313416E1,4.292019653E1
1.198366354E1,1.083171082E1,-9.878849792E1,2.916925049E1
1.223332754E1,-1.945109558E1,-7.453375244E1,2.750598145E1
1.248299254E1,9.814453125E-2,-2.952685547E1,3.875909424E1
1.273262654E1,-1.399894714E1,-5.924661255E1,3.208526611E1
1.298228863E1,-1.457858276E1,-5.888755798E1,3.343139648E1
1.323195262E1,-1.545523071E1,-6.108767700E1,3.346801758E1
1.348161663E1,-1.400155640E1,-5.850617981E1,3.369345093E1
1.373125063E1,-1.125256348E1,-5.459727478E1,3.638299561E1
1.398093000E1,5.860015869E0,-1.815419006E1,3.926251221E1
1.423059400E1,6.093170166E0,-1.717909241E1,3.901193237E1
1.448025800E1,7.959625244E0,-1.814129639E1,3.854229736E1
1.472989200E1,5.364379883E0,-1.810354614E1,4.068041992E1
1.497957275E1,6.172180176E-1,-2.683015442E1,2.712115479E1
1.522923775E1,-2.439239502E0,-2.931988525E1,2.537805176E1
1.547887075E1,-1.913818359E0,-3.069610596E1,2.567840576E1
1.572853575E1,-1.106002808E0,-2.772151184E1,2.741711426E1
1.597820342E1,1.384796143E0,-2.380488586E1,3.017999268E1
1.622786742E1,4.508468628E0,-2.468872070E1,3.099273682E1
1.647750142E1,3.683319092E-1,-2.222705078E1,3.360394287E1
1.672716542E1,6.088088989E0,-2.440765381E1,3.258489990E1
1.697683750E1,1.586059570E0,-2.808451843E1,2.575463867E1
1.722650150E1,3.585113525E0,-2.381298828E1,3.112719727E1
1.747613550E1,5.462570190E0,-2.076849365E1,3.343395996E1
1.772579950E1,3.034182739E1,-2.379026794E1,2.034143066E1
1.797548592E1,-1.472550964E1,-9.558963013E1,1.739233398E1
1.822511992E1,-1.389176941E1,-8.746905518E1,1.808050537E1
1.847478492E1,-1.991720581E1,-9.307940674E1,5.757324219E0
1.872444892E1,-2.058042908E1,-9.004212952E1,8.536010742E0
1.897409179E1,-2.025140381E1,-8.707897949E1,7.692932129E0
1.922375579E1,-1.786483765E1,-8.440371704E1,8.965515137E0
1.947341979E1,-1.842446899E1,-8.214718628E1,1.162109375E1
1.972308479E1,-1.804760742E1,-8.041752625E1,1.311871338E1
