"Time (s)","X (hPa)"
0.000000000E0,1.009459381E3
1.037926000E0,1.009481201E3
2.078031000E0,1.009487228E3
3.117604000E0,1.009487228E3
4.155760000E0,1.009486160E3
5.195763000E0,1.009477463E3
6.233925000E0,1.009470444E3
7.273481000E0,1.009470444E3
7.358705000E0,1.009489441E3
8.396837000E0,1.009490433E3
9.435793000E0,1.009492874E3
1.047640100E1,1.009508514E3
1.151503900E1,1.009522629E3
1.255365600E1,1.009527130E3
1.359188200E1,1.009532013E3
1.463163800E1,1.009536438E3
1.567254900E1,1.009538727E3
1.671134900E1,1.009539108E3
1.774974100E1,1.009543381E3
1.878858000E1,1.009548645E3
1.982935300E1,1.009550323E3
2.086722200E1,1.009560242E3
2.190425300E1,1.009566269E3
2.294295600E1,1.009567413E3
2.398278900E1,1.009567642E3
2.502411100E1,1.009567642E3
2.606438800E1,1.009559784E3
2.710384500E1,1.009553909E3
2.814406400E1,1.009551697E3
2.918478200E1,1.009550171E3
3.022274400E1,1.009550171E3
3.126096500E1,1.009553833E3
3.230152000E1,1.009559708E3
3.333931500E1,1.009566269E3
3.437705000E1,1.009568481E3
3.541731400E1,1.009571228E3
3.645458500E1,1.009574051E3
3.749443900E1,1.009575882E3
3.853366200E1,1.009577408E3
3.957066100E1,1.009579010E3
4.061080100E1,1.009582291E3
4.165039700E1,1.009583359E3
4.268810500E1,1.009583359E3
4.372592600E1,1.009579620E3
4.476469400E1,1.009578400E3
4.580345900E1,1.009573441E3
4.684298600E1,1.009572296E3
4.788654200E1,1.009572296E3
4.892576800E1,1.009572906E3
4.996401400E1,1.009572906E3
5.100320500E1,1.009573669E3
5.204124800E1,1.009572449E3
5.308076900E1,1.009571075E3
5.411858200E1,1.009568939E3
5.516010000E1,1.009568939E3
5.619799900E1,1.009571609E3
5.723591000E1,1.009571762E3
5.827423500E1,1.009575043E3
5.931320500E1,1.009577789E3
6.035303600E1,1.009580460E3
6.139157300E1,1.009583817E3
6.243012100E1,1.009583817E3
6.347007900E1,1.009583740E3
6.450961100E1,1.009582977E3
6.554776800E1,1.009581757E3
6.658592600E1,1.009575729E3
6.762530400E1,1.009575500E3
6.866477400E1,1.009575500E3
6.970287000E1,1.009578247E3
7.074118000E1,1.009580154E3
7.178221100E1,1.009584427E3
7.281982200E1,1.009591751E3
7.385729300E1,1.009592133E3
7.489669300E1,1.009592514E3
7.593379000E1,1.009593735E3
7.697200000E1,1.009597931E3
7.801133200E1,1.009600067E3
7.905045300E1,1.009602585E3
8.008820500E1,1.009604874E3
8.112770600E1,1.009606018E3
8.216663900E1,1.009606018E3
8.320609000E1,1.009602585E3
8.424438700E1,1.009599686E3
8.528406300E1,1.009597015E3
8.632289800E1,1.009597015E3
8.736306600E1,1.009597015E3
8.840195500E1,1.009597168E3
8.944139100E1,1.009599991E3
9.048098400E1,1.009603577E3
9.151862200E1,1.009603653E3
9.255724600E1,1.009604568E3
9.359617300E1,1.009604874E3
9.463545600E1,1.009604874E3
9.567511500E1,1.009604568E3
9.671471000E1,1.009600830E3
9.775437300E1,1.009595261E3
9.879322900E1,1.009589005E3
9.983364700E1,1.009584198E3
1.008704040E2,1.009580383E3
1.019082960E2,1.009580383E3
1.029465350E2,1.009582977E3
1.039852950E2,1.009588165E3
1.050254650E2,1.009592972E3
1.060634400E2,1.009599380E3
1.071015400E2,1.009599380E3
1.081407660E2,1.009599915E3
1.091825700E2,1.009601746E3
1.102202110E2,1.009604187E3
1.112585890E2,1.009604568E3
1.122975510E2,1.009604797E3
1.133352080E2,1.009607239E3
1.143746980E2,1.009607315E3
1.154161030E2,1.009607315E3
1.164550070E2,1.009603119E3
1.174936810E2,1.009597931E3
1.185330590E2,1.009596939E3
1.195728040E2,1.009596939E3
1.206114500E2,1.009596939E3
1.216501880E2,1.009600525E3
1.226898540E2,1.009612885E3
1.237282800E2,1.009618378E3
1.247667750E2,1.009621658E3
1.258068820E2,1.009625473E3
1.268465100E2,1.009625702E3
1.278847550E2,1.009625473E3
1.289223160E2,1.009622498E3
1.299598580E2,1.009618835E3
1.309979830E2,1.009614944E3
1.320374530E2,1.009612961E3
1.330755870E2,1.009607239E3
1.341139250E2,1.009600754E3
1.351519810E2,1.009596634E3
1.361915580E2,1.009589462E3
1.372348340E2,1.009582977E3
1.382743770E2,1.009579468E3
1.393138480E2,1.009579468E3
1.403530040E2,1.009580383E3
1.413926840E2,1.009582901E3
1.424309900E2,1.009587708E3
1.434710270E2,1.009590607E3
1.445112230E2,1.009590607E3
1.455504750E2,1.009587555E3
1.465918980E2,1.009586411E3
1.476315510E2,1.009585876E3
1.486711450E2,1.009583740E3
1.497105570E2,1.009581070E3
1.507500880E2,1.009580460E3
1.517884010E2,1.009578857E3
1.528273780E2,1.009576874E3
1.538665730E2,1.009574509E3
1.549054650E2,1.009574509E3
1.559438670E2,1.009576187E3
1.569826240E2,1.009576187E3
1.580205690E2,1.009575806E3
1.590596290E2,1.009575806E3
1.600975390E2,1.009574432E3
1.611371010E2,1.009570847E3
1.621764810E2,1.009570618E3
1.632161480E2,1.009570618E3
1.642557950E2,1.009570694E3
1.652938880E2,1.009570999E3
1.663326820E2,1.009570999E3
1.673723100E2,1.009571457E3
1.684113550E2,1.009572220E3
1.694512040E2,1.009574051E3
1.704902200E2,1.009574051E3
1.715284190E2,1.009570999E3
1.725681860E2,1.009568863E3
1.736068050E2,1.009563675E3
1.746461470E2,1.009559097E3
1.756843400E2,1.009559097E3
1.767230300E2,1.009559326E3
1.777610670E2,1.009559326E3
1.788003510E2,1.009559250E3
1.798411280E2,1.009558487E3
1.808793800E2,1.009558334E3
1.819202690E2,1.009554749E3
1.829580260E2,1.009552917E3
1.839968580E2,1.009552612E3
1.850393270E2,1.009552612E3
1.860790870E2,1.009552765E3
1.871181950E2,1.009553146E3
1.881576530E2,1.009556885E3
1.891989390E2,1.009561005E3
1.902388010E2,1.009561920E3
1.912778960E2,1.009564743E3
1.923179930E2,1.009568329E3
1.933570670E2,1.009571838E3
1.943961100E2,1.009573669E3
1.954375770E2,1.009577408E3
1.964782930E2,1.009580078E3
1.975192660E2,1.009583817E3
1.985602590E2,1.009585648E3
1.995985360E2,1.009585648E3
2.006369620E2,1.009584885E3
2.016765590E2,1.009582596E3
2.027144470E2,1.009574890E3
2.037550740E2,1.009569321E3
2.047951510E2,1.009563751E3
2.058347990E2,1.009559402E3
2.068730490E2,1.009556351E3
2.079136630E2,1.009555435E3
2.089527450E2,1.009552994E3
2.099931120E2,1.009551926E3
2.110340400E2,1.009550552E3
2.120743060E2,1.009550247E3
2.131139900E2,1.009550247E3
2.141536150E2,1.009551544E3
2.151957100E2,1.009552612E3
2.162347830E2,1.009554520E3
2.172736280E2,1.009557037E3
2.183126990E2,1.009559402E3
2.193519930E2,1.009561386E3
2.203911900E2,1.009561386E3
2.214326130E2,1.009560852E3
2.224717470E2,1.009558258E3
2.235109370E2,1.009553909E3
2.245493460E2,1.009550323E3
2.255883900E2,1.009548950E3
2.266281150E2,1.009547424E3
2.276667490E2,1.009546890E3
2.287060640E2,1.009546661E3
2.297462930E2,1.009544983E3
2.307864930E2,1.009543457E3
2.318253980E2,1.009541168E3
