"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,-7.602234483E-1,-3.456336558E-1,-3.855667710E-1
2.495720000E-1,-8.254851699E-1,-4.790450931E-1,3.985011578E-2
4.991760000E-1,3.066494465E-1,3.316176534E-1,-6.000413746E-2
7.487480000E-1,3.819732070E-1,4.886018336E-1,1.205625683E-1
9.983456250E-1,3.567381203E-1,2.511943877E-1,3.359171376E-2
1.247948625E0,-6.024873257E-2,-1.151866913E-1,2.027017772E-1
1.497521625E0,5.344599485E-1,-1.726283282E-1,-8.189668059E-1
1.747094625E0,2.980087996E-1,1.001247838E-1,-5.721508861E-1
1.996701292E0,6.002150178E-1,-5.735867843E-2,-6.283071041E-1
2.246274292E0,1.881025434E-1,4.648211896E-1,-4.044204652E-1
2.495877292E0,-5.700713396E-1,-9.978875518E-1,1.767292857E0
2.745450292E0,1.847534478E-1,2.662477493E-1,9.062515944E-2
2.995045417E0,1.277244985E-1,4.870110154E-1,3.317613304E-1
3.244618417E0,4.501680732E-1,-2.625609338E-1,1.694813371E-1
3.494191417E0,2.213636637E-1,-9.125330485E-3,-4.181466997E-1
3.743794417E0,-1.106279850E0,5.191948414E-1,-1.953961492E0
3.993348417E0,-1.211161137E0,-4.416119158E-1,-5.758957863E-1
4.242951417E0,7.796323299E-1,2.189491987E-1,1.506650090E0
4.492524417E0,-2.251456380E-1,7.362073660E-1,1.336946338E-1
4.742127417E0,3.527377844E-1,-2.267791778E-1,1.192758441E0
4.991728167E0,5.853964686E-1,-1.734737396E0,-6.492458582E-1
5.241331167E0,-3.610067964E-1,-1.322751045E-1,1.622727513E-1
5.490904167E0,-4.263499081E-1,1.107932806E0,1.244440675E0
5.740507167E0,-1.493272901E0,1.180855632E0,1.204046249E0
5.990075125E0,9.324682504E-2,2.644208670E-1,-1.422259212E-2
6.239678125E0,6.513378024E-2,-6.459626555E-2,-2.804386616E-1
6.489251125E0,1.570490956E0,4.879202843E-1,-1.016899824E0
6.738824125E0,-3.481172621E-1,-1.116772071E-1,2.870499194E-1
6.988410792E0,-2.098304182E-1,1.773090959E0,4.641030431E-1
7.237983792E0,2.061135620E-1,-4.631351233E-1,-3.940723836E-2
7.487586792E0,-7.292100787E-1,3.316397667E-1,-3.175543845E-1
7.737159792E0,-8.128141612E-2,-5.481461436E-2,2.306991220E-1
7.986768375E0,-1.907697767E-1,2.801629901E-1,5.952312797E-2
8.236341375E0,-6.746751815E-2,3.720567226E-1,-4.148251116E-1
8.485944375E0,-1.546813101E-1,-1.104624629E0,-1.417608708E-1
8.735517375E0,1.636359453E0,-2.176679373E0,-1.403802633E0
8.985119167E0,-5.449619293E-1,-1.643909693E0,8.906845450E-1
9.234722167E0,-1.637928367E0,6.976596713E-1,1.819304466E0
9.484295167E0,2.051083803E0,2.179907084E0,-9.709821343E-1
9.733898167E0,-1.767116308E0,4.344141185E-1,1.054133892E0
9.983485875E0,3.802391887E-1,8.331991434E-1,2.967814207E-1
1.023308888E1,-1.202140749E-1,1.409528255E0,-2.517681420E-1
1.048266188E1,1.233775467E-1,-6.886256486E-2,-6.223747134E-1
1.073226488E1,8.925727010E-2,9.814509153E-1,1.251272202E0
1.098182362E1,-1.821465194E-1,2.587756813E-1,1.351478547E-1
1.123142663E1,-3.814723790E-1,3.709359095E-2,7.257554531E-1
1.148099963E1,2.757318616E-1,-7.906064987E-1,-2.626021206E-2
1.173060263E1,-3.972081840E-1,4.364220798E-1,6.387931108E-1
1.198019563E1,-3.522058725E-1,1.229192317E-1,5.614686608E-1
1.222979963E1,-1.993524842E-3,1.480028331E-1,4.517332613E-1
1.247937163E1,-1.487066001E-1,3.296615183E-2,4.893450439E-1
1.272897563E1,-1.167411655E-1,1.865691692E-1,6.187108159E-1
1.297855017E1,-1.110101417E-1,5.205422640E-2,1.711417437E-1
1.322815417E1,4.787097871E-2,-1.423415542E-1,-2.225579619E-1
1.347775717E1,1.965177953E-1,-2.024033815E-1,-3.137212396E-1
1.372733017E1,1.772915870E-1,-2.746835649E-1,-3.279353678E-1
1.397691554E1,1.449860036E-1,-1.437400877E-1,-3.079530597E-1
1.422648854E1,-6.547806412E-2,-1.158518717E-1,-1.646979153E-1
1.447609154E1,2.523537166E-2,1.235211268E-3,-1.093760282E-1
1.472566454E1,5.696515366E-2,-1.137972623E-2,-1.156489253E-1
1.497528525E1,1.225425377E-1,-1.047634706E-2,-1.345557868E-1
1.522485825E1,-2.017570473E-2,-1.962407492E-2,-4.910559207E-2
1.547446125E1,5.465232208E-2,-4.515733570E-2,3.960689902E-2
1.572406425E1,-4.018043354E-2,6.733110175E-3,2.221740037E-2
1.597362775E1,1.610049047E-2,4.221081734E-3,1.859542355E-2
1.622323075E1,1.843228191E-2,-1.187366433E-3,-8.209446073E-2
1.647280375E1,-6.469133496E-2,-7.798672188E-3,-3.222954273E-2
1.672240675E1,-1.491066366E-1,3.831754625E-2,1.385332793E-1
1.697202875E1,-1.348778009E-1,1.174265742E-1,1.459911168E-1
1.722160075E1,-1.115482450E-1,1.125065982E-1,1.877026260E-1
1.747120475E1,-9.025311470E-2,1.216533780E-1,1.946437657E-1
1.772077675E1,-8.298196644E-2,1.263478100E-1,1.597838849E-1
1.797036187E1,-8.315701783E-2,4.476801306E-2,1.572651714E-1
1.821996488E1,-3.023168817E-2,8.372718096E-2,4.116949439E-2
1.846953788E1,1.234028209E-2,8.726254106E-3,-3.720746189E-2
1.871914088E1,-1.891164668E-2,1.104666479E-2,-1.366831269E-2
1.896874525E1,5.279860646E-2,-2.990244888E-2,-1.710664667E-2
1.921834825E1,1.806879491E-1,-1.170570478E-1,-4.925029352E-3
1.946792125E1,3.500752896E-2,-1.782587916E-2,3.652804717E-2
1.971752425E1,-2.600742690E-2,2.537501790E-2,6.797816604E-3
1.996714925E1,-3.296212479E-2,-2.949864976E-2,8.249279857E-2
2.021675225E1,-1.083621010E-1,1.052682549E-1,4.969862849E-2
2.046632525E1,-4.174875468E-2,-1.680349931E-3,2.385170013E-2
2.071592825E1,1.559293270E-2,3.741761297E-2,-5.233501643E-2
2.096553200E1,1.408041827E-2,-1.062250324E-2,1.841353998E-2
2.121513600E1,-4.047026392E-3,4.271353036E-2,3.485540859E-3
2.146470800E1,2.272643521E-2,2.074505016E-2,-5.695840344E-2
2.171431200E1,7.248906419E-3,-3.417471051E-2,-6.615337729E-2
2.196391175E1,-3.977550566E-2,-7.704626024E-2,-7.673220336E-2
2.221351475E1,5.465488881E-3,-6.230445579E-4,-5.795278028E-2
2.246311775E1,-2.767377719E-2,1.780616865E-2,-1.486334018E-2
2.271269075E1,-2.498544566E-2,-1.186549664E-3,2.035740763E-4
2.296227712E1,-2.087615430E-2,2.238088101E-2,-7.593744434E-3
2.321188113E1,-2.556735650E-3,1.799749210E-3,2.335895784E-3
2.346148413E1,-3.477737308E-3,-1.602843776E-2,-3.342680633E-2
2.371108713E1,-2.049785107E-4,-1.570619643E-2,-2.303621359E-2
2.396066612E1,-1.944157481E-2,2.567833103E-2,3.991930187E-2
2.421026913E1,-2.208987251E-3,-1.730152220E-2,-3.053699620E-3
2.445987313E1,8.101332188E-2,-5.502592772E-3,-1.085130721E-1
2.470947613E1,-2.543769404E-2,-3.732421622E-2,-4.374695942E-2
2.495908675E1,-3.498131782E-2,7.884467021E-3,-5.407651886E-3
2.520868975E1,-5.741237476E-2,-2.589792758E-2,9.608834982E-3
2.545829375E1,2.811434865E-2,-5.218077824E-2,-2.653620392E-2
2.570786575E1,-3.299914002E-1,-1.823473454E0,9.000303596E-2
2.595747079E1,-1.761860102E-1,-1.542030573E0,2.338132560E-1
2.620707379E1,-4.915841818E-1,3.766714633E-1,1.296325564E0
2.645667679E1,-2.605982423E-1,3.076216578E-1,2.987577021E-2
2.670627979E1,-1.438803971E-1,3.378918394E-2,-6.257450581E-2
2.695588917E1,5.952752382E-2,2.631243691E-2,-4.610649124E-2
2.720549217E1,-8.496413939E-3,3.485831246E-2,-3.835463151E-2
2.745509517E1,-4.767162725E-2,-1.770606823E-2,-4.421284422E-2
2.770466817E1,-2.770970762E-2,7.590766251E-2,1.868592761E-2
2.795425988E1,-8.130677789E-2,-6.174975540E-3,-7.208120078E-2
2.820386388E1,1.395011973E-2,-6.896932144E-3,-2.876334637E-2
2.845346688E1,-8.616408706E-2,-9.951905347E-3,4.586152267E-3
2.870306988E1,3.209028393E-3,1.748857461E-2,-6.407063454E-2
2.895267138E1,-4.135365784E-2,-3.234511614E-2,-6.820586324E-2
2.920227538E1,-9.472858906E-1,5.901466012E-1,-6.935941987E-3
2.945187838E1,-6.000141501E-1,-6.102564931E-1,-2.778230906E-1
2.970148137E1,2.306530029E-1,-4.533731341E-1,-1.854384094E-1
2.995105038E1,1.558992118E-1,-4.896921292E-2,-3.260396421E-2
3.020065338E1,1.580282487E-2,7.936479151E-2,1.856015250E-2
3.045025637E1,1.185627818E0,-5.218490362E-1,-5.640134811E-1
3.069986038E1,3.905694783E-1,-2.173319101E0,-1.244088054E0
3.094947154E1,7.304654717E-1,6.689502001E-1,-1.300939441E0
3.119907454E1,-9.427483678E-1,9.409567714E-1,4.342455566E-1
3.144864754E1,-9.702740312E-1,-2.332120895E0,-3.643609881E-1
3.169825054E1,-3.264334202E-1,3.094578385E-1,1.298324168E-1
3.194785175E1,-1.264382005E-1,-4.231324419E-4,2.656851709E-2
3.219745475E1,1.415183693E-1,8.877149969E-2,-1.699164510E-2
3.244705775E1,-5.435971543E-2,1.760589890E-2,-3.404129297E-2
3.269663075E1,4.672480002E-2,2.371581644E-2,-1.517441496E-2
3.294624725E1,-1.033134609E-1,-3.670256957E-2,-1.249196287E-2
3.319585025E1,-5.139286071E-2,1.297925599E-2,-3.700562194E-2
3.344545425E1,1.958249323E-2,-3.341478109E-2,-5.343317986E-3
3.369505725E1,3.801612929E-2,3.599017859E-2,3.255973756E-2
3.394462679E1,6.475631148E-3,-1.392361056E-2,-2.525237203E-2
3.419422979E1,3.524838947E-3,1.575510390E-2,-1.337960735E-2
3.444383279E1,2.047143690E-2,1.557309553E-2,-6.557473913E-3
3.469343679E1,5.170661490E-3,-2.029086836E-2,-2.378924936E-2
3.494299337E1,1.769660972E-2,1.653362066E-3,-2.690339833E-2
3.519259738E1,2.088384517E-2,2.174492925E-3,-1.928984001E-2
3.544220038E1,1.797039807E-2,2.012500539E-3,5.605779588E-4
3.569180338E1,-8.433409035E-3,1.559610851E-2,-4.178868607E-3
3.594142142E1,5.379317794E-3,-1.336227078E-2,-1.585044339E-2
3.619099442E1,-1.838566549E-2,6.678016856E-3,7.244489156E-3
3.644059742E1,-1.747533865E-2,2.154513076E-2,3.907436039E-3
3.669020142E1,3.372376040E-2,2.531937137E-2,2.701360732E-2
3.693981612E1,-3.379563987E-2,-1.118120365E-2,-6.495881826E-4
3.718938913E1,-3.025163338E-2,7.309062406E-3,8.377792314E-3
3.743899213E1,1.015317440E-2,-4.043931141E-3,-2.382841147E-2
3.768859513E1,1.306844596E-2,-4.127573222E-2,4.747454077E-4
3.793817737E1,-1.062098518E-2,-4.150656983E-3,-8.931715041E-3
3.818774937E1,3.022852354E-3,-5.250124633E-2,-1.615317538E-2
3.843735338E1,1.931042410E-2,-8.053047583E-3,9.883848950E-3
3.868695638E1,-1.164135709E-2,4.241607338E-2,3.382234648E-2
3.893655750E1,4.897310212E-2,2.028304897E-2,1.597150415E-2
3.918613050E1,-4.348105565E-2,4.675265402E-3,5.829453003E-3
3.943573350E1,7.421796676E-3,1.127688959E-2,-3.105574101E-2
3.968533650E1,-3.817229718E-2,9.940639138E-4,1.666359976E-2
3.993494867E1,2.297804877E-2,-1.371245459E-2,-1.064556930E-2
4.018452067E1,3.708823025E-2,-4.008933902E-2,8.094269782E-3
4.043412467E1,6.082342006E-3,-7.351682521E-3,-2.551896684E-2
4.068372767E1,1.375615969E-2,-1.460152958E-2,-1.443240233E-2
4.093331242E1,-2.861708403E-2,1.041484065E-3,5.293922033E-3
4.118291542E1,6.668036804E-4,9.819582105E-3,3.857829142E-3
4.143251842E1,3.363370430E-3,2.763104253E-2,1.330358908E-2
4.168212242E1,-2.939793281E-2,2.856436558E-2,-6.015067920E-3
4.193167325E1,-2.197250724E-2,-6.581635680E-3,-1.360241324E-2
4.218127725E1,2.225041762E-2,-2.377916127E-2,-3.009107523E-2
4.243088025E1,-4.062654823E-2,-1.322345715E-2,4.977694247E-3
4.268048325E1,-4.037992097E-3,-1.744954847E-2,-3.460707143E-3
4.293007013E1,-4.623123910E-3,3.188565373E-3,-2.371872589E-2
4.317967312E1,-3.990517929E-2,3.526319563E-2,4.397748504E-3
4.342927613E1,2.988154627E-2,2.182096988E-2,2.838732861E-2
4.367884913E1,1.475704648E-2,9.425878525E-3,2.914661542E-3
4.392844100E1,1.691309549E-2,-1.752811298E-2,-1.132528763E-2
4.417804500E1,-1.155118644E-2,3.562216461E-2,1.310128439E-2
4.442764800E1,-7.286933251E-3,9.033165872E-3,1.813412644E-2
4.467722100E1,1.044610702E-2,-1.319866348E-2,5.089222454E-3
4.492683338E1,3.705934063E-2,-2.655474469E-3,-7.192478515E-3
4.517643638E1,-9.164888412E-3,1.802095585E-2,2.602631971E-2
4.542604038E1,-3.556728363E-2,3.271475434E-2,2.246602997E-2
4.567561238E1,-1.417290419E-3,1.597139053E-3,-6.680526771E-3
4.592522692E1,-2.325127274E-2,-4.287872463E-3,2.620588243E-2
4.617482992E1,-1.098120958E-2,-4.890358075E-3,-1.744075865E-2
4.642440292E1,-3.042104887E-3,1.959955320E-3,-1.475178823E-2
4.667400592E1,-6.514933705E-2,5.463160947E-2,1.370552927E-4
4.692360892E1,-1.111451909E-2,-3.335628659E-3,1.511458121E-2
4.717322017E1,5.166082084E-2,-3.135432303E-2,3.026815131E-2
4.742279317E1,-3.151992336E-2,-2.045496181E-2,9.228996001E-3
4.767239617E1,1.374008134E-2,-4.480281845E-3,1.391062606E-2
4.792200017E1,-6.209287327E-3,-5.111295730E-3,3.190981224E-4
4.817154867E1,-9.797355160E-3,3.062335029E-2,1.911210269E-2
4.842115267E1,-1.628333144E-2,2.973906696E-3,1.376974490E-2
4.867075567E1,-6.957270205E-2,1.644377038E-2,-9.294261038E-2
4.892035867E1,-4.848252237E-2,-5.405532569E-2,-3.027893603E-2
4.916993813E1,1.581455767E-2,-2.446656674E-2,1.687143892E-1
4.941954113E1,2.547814846E-1,1.836781353E-1,-1.492069215E-1
4.966914513E1,-4.812631309E-1,5.460618064E-3,2.956982851E-1
4.991871713E1,3.730451688E-2,7.732155174E-2,8.300858736E-2
5.016833213E1,-7.909497619E-2,-2.350953035E-2,2.193080187E-1
5.041793513E1,-9.223882109E-2,6.218121946E-2,1.490440667E-1
