"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,5.233497266E1,4.868189513E0,-3.002180099E0,-1.000000000E0,-1.000000000E0,1.372825991E2,1.372825991E2
3.570789099E-1,5.233504812E1,4.868611740E0,-3.028253078E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.124085903E0,5.233494970E1,4.868501890E0,2.587514877E1,2.220000029E0,1.167187500E2,5.000000000E1,5.000000000E1
1.651546001E0,5.233494052E1,4.868531730E0,2.547274399E1,2.220000029E0,1.167187500E2,5.000000000E1,5.000000000E1
2.668198943E0,5.233497991E1,4.868394434E0,1.600075912E1,2.220000029E0,6.152343750E1,1.000000000E1,1.000000000E1
3.760930777E0,5.233498176E1,4.868388735E0,1.256984711E0,2.220000029E0,1.125000000E2,1.000000000E1,1.000000000E1
4.760945439E0,5.233497325E1,4.868401224E0,1.634548187E0,1.330000043E0,9.457031250E1,1.000000000E1,1.000000000E1
5.760957122E0,5.233496495E1,4.868414802E0,2.454921722E0,1.080000043E0,9.035156250E1,1.000000000E1,1.000000000E1
6.760966420E0,5.233496378E1,4.868432991E0,3.680934906E0,1.350000024E0,6.890625000E1,1.000000000E1,1.000000000E1
7.760980606E0,5.233496533E1,4.868444894E0,3.139247894E0,1.279999971E0,5.238281250E1,1.000000000E1,1.000000000E1
8.760992885E0,5.233497011E1,4.868452018E0,3.571926117E0,1.279999971E0,3.480468750E1,1.000000000E1,1.000000000E1
9.761004806E0,5.233497467E1,4.868452689E0,3.570034027E0,9.499999881E-1,2.882812500E1,1.000000000E1,1.000000000E1
1.076102114E1,5.233497849E1,4.868453024E0,3.662502289E0,9.499999881E-1,4.675781250E1,1.000000000E1,1.000000000E1
1.176103568E1,5.233498155E1,4.868452856E0,4.091213226E0,7.799999714E-1,4.359375000E1,1.000000000E1,1.000000000E1
1.276104796E1,5.233498247E1,4.868449755E0,4.613491058E0,1.899999976E-1,1.655859375E2,1.000000000E1,1.000000000E1
1.376105809E1,5.233498247E1,4.868449755E0,4.576747894E0,0.000000000E0,3.093750000E2,1.000000000E1,1.000000000E1
1.476106763E1,5.233498247E1,4.868449755E0,4.422756195E0,0.000000000E0,1.230468750E2,1.000000000E1,1.000000000E1
1.576107514E1,5.233498247E1,4.868449755E0,4.741664886E0,0.000000000E0,8.894531250E1,1.000000000E1,1.000000000E1
1.676108420E1,5.233497979E1,4.868437266E0,4.840908051E0,1.800000072E-1,6.046875000E1,1.000000000E1,1.000000000E1
1.776109076E1,5.233497979E1,4.868437266E0,4.630092621E0,0.000000000E0,2.710546875E2,1.000000000E1,1.000000000E1
1.876109791E1,5.233497979E1,4.868437266E0,4.522060394E0,0.000000000E0,2.598046875E2,1.000000000E1,1.000000000E1
1.976110351E1,5.233497979E1,4.868437266E0,4.558315277E0,0.000000000E0,2.598046875E2,1.000000000E1,1.000000000E1
2.076110804E1,5.233497979E1,4.868437266E0,4.564907074E0,0.000000000E0,2.598046875E2,1.000000000E1,1.000000000E1
2.176111281E1,5.233497979E1,4.868437266E0,4.822658539E0,0.000000000E0,2.598046875E2,1.000000000E1,1.000000000E1
2.276111662E1,5.233497979E1,4.868437266E0,4.831691742E0,0.000000000E0,2.598046875E2,1.000000000E1,1.000000000E1
2.376111937E1,5.233497979E1,4.868437266E0,4.832485199E0,0.000000000E0,2.598046875E2,1.000000000E1,1.000000000E1
2.476112223E1,5.233497979E1,4.868437266E0,4.830898285E0,0.000000000E0,2.598046875E2,1.000000000E1,1.000000000E1
