,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),label
0,1.5596532e+18,-2.488425293,4.738396454,8.544381866,biking
1,1.5596532004e+18,-1.679507446,4.221221924,9.128018188,biking
2,1.5596532008e+18,0.8954379272,4.549638977,8.161029053,biking
3,1.5596532012e+18,4.907095642,-2.696043549,8.842112732,biking
4,1.5596532016e+18,4.709955597,-6.807393951,4.809648285,biking
5,1.55965320201e+18,2.774181061,-6.43317215,5.375621338,biking
6,1.55965320241e+18,4.761897583,-4.253704376,5.634283447,biking
7,1.55965320266e+18,4.977299652,-5.072202301,6.539002075,biking
8,1.55965320291e+18,5.439089355,-6.150709534,6.715634766,biking
9,1.55965320316e+18,4.974156189,-5.539680176,6.707551575,biking
10,1.55965320341e+18,4.551435242,-2.893033905,6.688840485,biking
11,1.55965320366e+18,3.274590454,-5.46199173,11.53052216,biking
12,1.55965320391e+18,6.060896301,-6.430926819,9.557774506,biking
13,1.55965320416e+18,3.130440216,-5.804479523,9.117989044,biking
14,1.55965320441e+18,4.069886627,-5.426964569,7.373367004,biking
15,1.55965320466e+18,2.137554932,-3.94669281,7.592361603,biking
16,1.55965320491e+18,4.4604245,-5.095853119,5.834417267,biking
17,1.55965320517e+18,5.123246155,-6.78299469,9.747579803,biking
18,1.55965320542e+18,2.275418243,-4.797523499,8.119864655,biking
19,1.55965320567e+18,5.438640289,-4.559069366,10.39633072,biking
20,1.55965320592e+18,3.808081055,-5.62111084,10.71831116,biking
21,1.55965320617e+18,6.296356659,-4.037703552,10.10413834,biking
22,1.55965320642e+18,3.665278015,-4.527934113,8.670120392,biking
23,1.55965320667e+18,4.08246048,-4.34920578,5.954467621,biking
24,1.55965320692e+18,5.513334961,-6.590644684,11.95668594,biking
25,1.55965320717e+18,6.22136261,-5.119054871,7.585475922,biking
26,1.55965320742e+18,5.732628937,-3.135679321,5.157674561,biking
27,1.55965320767e+18,6.683451691,-5.406457214,9.378597107,biking
28,1.55965320792e+18,2.93225235,-6.740333405,13.08159668,biking
29,1.55965320817e+18,6.890471191,-6.541846161,12.45020966,biking
30,1.55965320842e+18,6.334227905,-6.071075134,10.20862106,biking
31,1.55965320867e+18,2.496209106,-3.479065247,3.611090698,biking
32,1.55965320893e+18,2.9368927,-6.211632843,7.449259186,biking
33,1.55965320918e+18,3.218307495,-5.821394348,9.608518982,biking
34,1.55965320943e+18,0.7421566772,-5.862409058,9.654772797,biking
35,1.55965320968e+18,7.40076004,-3.661386108,8.262967072,biking
36,1.55965320993e+18,3.498674469,-1.975891113,4.68031723,biking
37,1.55965321018e+18,1.972597961,-2.975213013,6.312223663,biking
