,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),label
0,1.5596532e+18,-0.09235794067,-0.1450483704,9.890083466,nothing
1,1.5596532004e+18,-0.06481521606,-0.03218307495,9.854158173,nothing
2,1.5596532008e+18,-0.06376739502,-0.04236190796,9.854906616,nothing
3,1.55965320121e+18,-0.07050338745,-0.05852828979,9.858050079,nothing
4,1.55965320161e+18,-0.08292755127,-0.06511459351,9.840835876,nothing
5,1.55965320201e+18,-0.08622070312,-0.04415817261,9.84158432,nothing
6,1.55965320241e+18,-0.05074447632,-0.04984634399,9.833201752,nothing
7,1.55965320281e+18,-0.05613327026,-0.03457809448,9.885443115,nothing
8,1.55965320322e+18,-0.06346801758,-0.04251159668,9.849218445,nothing
9,1.55965320362e+18,-0.05254074097,-0.06137237549,9.850415955,nothing
10,1.55965320402e+18,-0.07020401001,-0.05523513794,9.843380585,nothing
11,1.55965320442e+18,-0.08113128662,-0.04550537109,9.86149292,nothing
12,1.55965320482e+18,-0.06391708374,-0.04161346436,9.865684204,nothing
13,1.55965320523e+18,-0.07200027466,-0.04430786133,9.846973114,nothing
14,1.55965320563e+18,-0.07185058594,-0.0470022583,9.848170624,nothing
15,1.55965320603e+18,-0.07753875732,-0.04550537109,9.840835876,nothing
16,1.55965320643e+18,-0.09520202637,-0.06271957397,9.868977356,nothing
17,1.55965320683e+18,-0.0679586792,-0.05733078003,9.840536499,nothing
18,1.55965320724e+18,-0.06616241455,-0.06167175293,9.852511597,nothing
19,1.55965320764e+18,-0.07484436035,-0.06197113037,9.865085449,nothing
20,1.55965320804e+18,-0.08307723999,-0.04849914551,9.872120819,nothing
21,1.55965320844e+18,-0.076640625,-0.04924758911,9.859996033,nothing
22,1.55965320884e+18,-0.06810836792,-0.06077362061,9.857750702,nothing
23,1.55965320924e+18,-0.07454498291,-0.05403762817,9.850715332,nothing
24,1.55965320965e+18,-0.06182144165,-0.05972579956,9.865534515,nothing
25,1.55965321005e+18,-0.06391708374,-0.0390687561,9.859696655,nothing
26,1.55965321045e+18,-0.05254074097,-0.04415817261,9.842632141,nothing
27,1.55965321085e+18,-0.0730480957,-0.04894821167,9.857301636,nothing
28,1.55965321125e+18,-0.05388793945,-0.05972579956,9.854607239,nothing
29,1.55965321166e+18,-0.06676116943,-0.06212081909,9.864486694,nothing
30,1.55965321206e+18,-0.06556365967,-0.02739303589,9.855505371,nothing
31,1.55965321246e+18,-0.07694000244,-0.03936813354,9.872569885,nothing
32,1.55965321286e+18,-0.05523513794,-0.05104385376,9.871522064,nothing
33,1.55965321326e+18,-0.07888595581,-0.05748046875,9.856253815,nothing
34,1.55965321367e+18,-0.06631210327,-0.03128494263,9.866582336,nothing
35,1.55965321407e+18,-0.06676116943,-0.03592529297,9.859996033,nothing
36,1.55965321447e+18,-0.05763015747,-0.0347277832,9.867929535,nothing
37,1.55965321487e+18,-0.06152206421,-0.04715194702,9.862840118,nothing
38,1.55965321527e+18,-0.06152206421,-0.02829116821,9.857301636,nothing
39,1.55965321568e+18,-0.06750961304,-0.0513432312,9.8498172,nothing
40,1.55965321608e+18,-0.05224136353,-0.05328918457,9.86493576,nothing
41,1.55965321648e+18,-0.0672102356,-0.03622467041,9.873318329,nothing
42,1.55965321688e+18,-0.06601272583,-0.04864883423,9.859546967,nothing
43,1.55965321728e+18,-0.06316864014,-0.03532653809,9.865384827,nothing
44,1.55965321768e+18,-0.04430786133,-0.05254074097,9.864786072,nothing
45,1.55965321809e+18,-0.07050338745,-0.0505947876,9.863738251,nothing
46,1.55965321849e+18,-0.05673202515,-0.04086502075,9.880802765,nothing
47,1.55965321889e+18,-0.06122268677,-0.05014572144,9.867031403,nothing
48,1.55965321929e+18,-0.07125183105,-0.04879852295,9.86493576,nothing
49,1.55965321969e+18,-0.06062393188,-0.0419128418,9.867630157,nothing
50,1.5596532201e+18,-0.05343887329,-0.04969665527,9.873767395,nothing
51,1.5596532205e+18,-0.06825805664,-0.05418731689,9.851314087,nothing
52,1.5596532209e+18,-0.07604187012,-0.06346801758,9.863289185,nothing
53,1.5596532213e+18,-0.0715512085,-0.04251159668,9.880353699,nothing
54,1.5596532217e+18,-0.05583389282,-0.04311035156,9.853110352,nothing
55,1.55965322211e+18,-0.04550537109,-0.05583389282,9.868378601,nothing
56,1.55965322251e+18,-0.07140151978,-0.02439926147,9.862989807,nothing
57,1.55965322291e+18,-0.07559280396,-0.04490661621,9.84861969,nothing
58,1.55965322331e+18,-0.06975494385,-0.05942642212,9.886191559,nothing
59,1.55965322371e+18,-0.07484436035,-0.07140151978,9.852511597,nothing
60,1.55965322412e+18,-0.08053253174,-0.04326004028,9.872869263,nothing
61,1.55965322452e+18,-0.07798782349,-0.0462538147,9.871671753,nothing
62,1.55965322492e+18,-0.05957611084,-0.03083587646,9.854906616,nothing
63,1.55965322532e+18,-0.06376739502,-0.03592529297,9.874964905,nothing
64,1.55965322572e+18,-0.05763015747,-0.05583389282,9.854307861,nothing
65,1.55965322613e+18,-0.06346801758,-0.03742218018,9.857601013,nothing
66,1.55965322653e+18,-0.05418731689,-0.04640350342,9.865384827,nothing
67,1.55965322693e+18,-0.05254074097,-0.04041595459,9.877958679,nothing
68,1.55965322733e+18,-0.07424560547,-0.03083587646,9.873767395,nothing
69,1.55965322773e+18,-0.0520916748,-0.03562591553,9.865085449,nothing
70,1.55965322814e+18,-0.06631210327,-0.033230896,9.863887939,nothing
71,1.55965322854e+18,-0.05029541016,-0.04206253052,9.867031403,nothing
72,1.55965322894e+18,-0.07185058594,-0.04565505981,9.858798523,nothing
73,1.55965322934e+18,-0.06706054688,-0.04760101318,9.865983582,nothing
74,1.55965322974e+18,-0.05867797852,-0.0556842041,9.884245605,nothing
75,1.55965323014e+18,-0.06915618896,-0.04385879517,9.874515839,nothing
76,1.55965323055e+18,-0.06152206421,-0.04041595459,9.865534515,nothing
77,1.55965323095e+18,-0.06107299805,-0.0303868103,9.87556366,nothing
78,1.55965323135e+18,-0.06930587769,-0.02020797729,9.852212219,nothing
79,1.55965323175e+18,-0.05448669434,-0.03442840576,9.836195526,nothing
80,1.55965323215e+18,-0.08083190918,-0.0556842041,9.840686188,nothing
81,1.55965323256e+18,-0.06466552734,-0.06137237549,9.863139496,nothing
82,1.55965323296e+18,-0.07065307617,-0.0477507019,9.873917084,nothing
83,1.55965323336e+18,-0.0940045166,-0.05688171387,9.844877472,nothing
84,1.55965323376e+18,-0.06032455444,-0.05284011841,9.847571869,nothing
85,1.55965323416e+18,-0.05358856201,-0.0303868103,9.857601013,nothing
86,1.55965323457e+18,-0.0715512085,-0.04296066284,9.873917084,nothing
87,1.55965323497e+18,-0.05343887329,-0.04116439819,9.846973114,nothing
88,1.55965323537e+18,-0.07379653931,-0.04819976807,9.873767395,nothing
89,1.55965323577e+18,-0.08113128662,-0.05284011841,9.872869263,nothing
90,1.55965323617e+18,-0.06346801758,-0.05269042969,9.876012726,nothing
91,1.55965323658e+18,-0.05987548828,-0.05403762817,9.86852829,nothing
92,1.55965323698e+18,-0.07933502197,-0.05119354248,9.849218445,nothing
93,1.55965323738e+18,-0.05104385376,-0.0556842041,9.858648834,nothing
94,1.55965323778e+18,-0.06421646118,-0.05179229736,9.865085449,nothing
95,1.55965323818e+18,-0.04849914551,-0.04041595459,9.871222687,nothing
96,1.55965323859e+18,-0.06541397095,-0.04879852295,9.872569885,nothing
97,1.55965323899e+18,-0.05882766724,-0.0419128418,9.863289185,nothing
98,1.55965323939e+18,-0.06331832886,-0.0556842041,9.869276733,nothing
99,1.55965323979e+18,-0.06735992432,-0.06047424316,9.863438873,nothing
100,1.55965324019e+18,-0.06301895142,-0.04864883423,9.877060547,nothing
101,1.5596532406e+18,-0.07095245361,-0.03951782227,9.866432648,nothing
102,1.559653241e+18,-0.07140151978,-0.04415817261,9.849966888,nothing
103,1.5596532414e+18,-0.05388793945,-0.0477507019,9.874066772,nothing
104,1.5596532418e+18,-0.03487747192,-0.03173400879,9.868677979,nothing
105,1.5596532422e+18,-0.04924758911,-0.05718109131,9.859546967,nothing
106,1.55965324261e+18,-0.05328918457,-0.05448669434,9.863588562,nothing
107,1.55965324301e+18,-0.05777984619,-0.04430786133,9.880653076,nothing
108,1.55965324341e+18,-0.05284011841,-0.04251159668,9.8590979,nothing
109,1.55965324381e+18,-0.05179229736,-0.05014572144,9.872569885,nothing
110,1.55965324421e+18,-0.060025177,-0.03667373657,9.885143738,nothing
111,1.55965324462e+18,-0.06616241455,-0.05897735596,9.865833893,nothing
112,1.55965324502e+18,-0.06182144165,-0.07125183105,9.854158173,nothing
113,1.55965324542e+18,-0.06706054688,-0.04834945679,9.86733078,nothing
114,1.55965324582e+18,-0.05104385376,-0.04161346436,9.850715332,nothing
115,1.55965324622e+18,-0.05433700562,-0.03487747192,9.854607239,nothing
116,1.55965324663e+18,-0.06466552734,-0.05164260864,9.870474243,nothing
117,1.55965324703e+18,-0.04879852295,-0.060025177,9.878557434,nothing
118,1.55965324743e+18,-0.06137237549,-0.0477507019,9.86269043,nothing
119,1.55965324783e+18,-0.06541397095,-0.04011657715,9.880802765,nothing
120,1.55965324823e+18,-0.06316864014,-0.06346801758,9.870773621,nothing
121,1.55965324863e+18,-0.05403762817,-0.04430786133,9.871372375,nothing
122,1.55965324904e+18,-0.06182144165,-0.04954696655,9.876910858,nothing
123,1.55965324944e+18,-0.0549357605,-0.05179229736,9.858199768,nothing
124,1.55965324984e+18,-0.06107299805,-0.04715194702,9.864337006,nothing
125,1.55965325024e+18,-0.06376739502,-0.05194198608,9.853559418,nothing
126,1.55965325064e+18,-0.05822891235,-0.03996688843,9.856104126,nothing
127,1.55965325105e+18,-0.06541397095,-0.04730163574,9.823921051,nothing
128,1.55965325145e+18,-0.06122268677,-0.04999603271,9.893526306,nothing
129,1.55965325185e+18,-0.06256988525,-0.05358856201,9.840835876,nothing
130,1.55965325225e+18,-0.05298980713,-0.03233276367,9.88020401,nothing
131,1.55965325265e+18,-0.07020401001,-0.04730163574,9.874815216,nothing
132,1.55965325306e+18,-0.05373825073,-0.03727249146,9.857900391,nothing
133,1.55965325346e+18,-0.07035369873,-0.04760101318,9.865983582,nothing
134,1.55965325386e+18,-0.05538482666,-0.04670288086,9.859846344,nothing
135,1.55965325426e+18,-0.07050338745,-0.06451583862,9.845925293,nothing
136,1.55965325466e+18,-0.06511459351,-0.04326004028,9.844877472,nothing
137,1.55965325507e+18,-0.06152206421,-0.05149291992,9.871372375,nothing
138,1.55965325547e+18,-0.07619155884,-0.0390687561,9.858798523,nothing
139,1.55965325587e+18,-0.07170089722,-0.06316864014,9.85326004,nothing
140,1.55965325627e+18,-0.06212081909,-0.04595443726,9.861642609,nothing
141,1.55965325667e+18,-0.06242019653,-0.03562591553,9.858349457,nothing
142,1.55965325707e+18,-0.06451583862,-0.0296383667,9.86733078,nothing
143,1.55965325748e+18,-0.1004411316,-0.05284011841,9.866582336,nothing
144,1.55965325788e+18,-0.06212081909,-0.04460723877,9.878856812,nothing
145,1.55965325828e+18,-0.07065307617,-0.04565505981,9.855205994,nothing
146,1.55965325868e+18,-0.05029541016,-0.04790039063,9.869576111,nothing
147,1.55965325908e+18,-0.06391708374,-0.04715194702,9.875713348,nothing
148,1.55965325949e+18,-0.04894821167,-0.05598358154,9.880952454,nothing
149,1.55965325989e+18,-0.06885681152,-0.04550537109,9.887987823,nothing
