,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),label
0,1.5596532e+18,-2.552641754,5.448968811,7.685767365,train
1,1.5596532003e+18,-1.946252747,4.666096802,8.682394867,train
2,1.5596532007e+18,-1.007255402,3.994892578,8.915909271,train
3,1.5596532011e+18,-0.6218069458,3.276087341,9.327104187,train
4,1.5596532015e+18,0.2404000854,2.828518066,9.166937256,train
5,1.5596532019e+18,3.38625824,4.427343292,9.191935272,train
6,1.5596532023e+18,2.827769623,1.711540833,9.373807068,train
7,1.5596532027e+18,2.365979919,1.478475494,9.62977478,train
8,1.5596532031e+18,2.212249603,1.353036346,9.326505432,train
9,1.5596532035e+18,2.239942017,1.366807709,9.586365051,train
10,1.5596532039e+18,2.144141235,1.287772064,9.684261475,train
11,1.5596532043e+18,2.215093689,1.460812225,9.87556366,train
12,1.5596532047e+18,2.457290039,1.506317596,9.976453857,train
13,1.5596532051e+18,2.179467773,1.450184326,9.400002594,train
14,1.5596532055e+18,2.271975403,1.410965881,9.609117737,train
15,1.5596532059e+18,2.232307892,1.194515991,9.837093658,train
16,1.5596532063e+18,2.242636414,1.360670471,9.72572525,train
17,1.55965320671e+18,2.262545013,1.53984787,8.855734406,train
18,1.55965320711e+18,2.46537323,1.535057831,9.821975098,train
19,1.55965320751e+18,2.151176605,1.30468689,9.052275696,train
20,1.55965320791e+18,2.577041016,1.410965881,10.36429733,train
21,1.55965320831e+18,1.911524963,1.210382996,9.265282745,train
22,1.55965320871e+18,2.602637787,1.469793549,10.20442978,train
23,1.55965320911e+18,2.157313843,1.386865997,8.929381256,train
24,1.55965320951e+18,2.623444519,1.590891724,10.00025436,train
25,1.55965320991e+18,2.180665283,1.151705017,9.325756989,train
26,1.55965321031e+18,2.310295715,1.045426025,10.08213409,train
27,1.55965321071e+18,2.229314117,1.11622879,9.360335083,train
28,1.55965321111e+18,2.372266846,1.892813873,9.773475952,train
29,1.55965321151e+18,2.4126828,1.511856079,9.248517609,train
30,1.55965321191e+18,2.506537628,1.304986267,9.836494904,train
31,1.55965321231e+18,2.286794586,1.221459961,9.481732635,train
32,1.55965321271e+18,2.32257019,1.345851288,9.585167542,train
33,1.55965321311e+18,2.292333069,1.359472961,9.478289795,train
34,1.55965321351e+18,2.43378891,1.351689148,9.409732361,train
35,1.55965321391e+18,2.449356537,1.327589264,9.337432709,train
36,1.55965321431e+18,2.47121109,1.505269775,9.622290344,train
37,1.55965321471e+18,2.570155334,1.560205536,9.220076752,train
38,1.55965321511e+18,1.814676361,1.184486847,10.16266663,train
39,1.55965321551e+18,1.564845886,1.43805954,9.662706299,train
40,1.55965321591e+18,1.740281067,1.755249939,9.085955658,train
41,1.55965321631e+18,1.72231842,1.033750305,10.03543121,train
42,1.55965321671e+18,2.915038147,1.342707825,8.960815887,train
43,1.55965321711e+18,2.404449921,0.9177415466,10.09306137,train
