,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),label
0,1.55965355644e+27,-6.620732117,6.784940643,10.13766861,walking
1,1.55965355644e+27,-2.265987854,4.854554901,6.574927368,walking
2,1.55965355644e+27,-1.462309113,2.736160126,7.923922119,walking
3,1.55965355644e+27,-1.454674988,4.385729828,11.43232635,walking
4,1.55965355644e+27,1.026714935,4.830005951,9.303453369,walking
5,1.55965355644e+27,-0.1766326904,3.511547699,4.894372101,walking
6,1.55965355644e+27,-0.712817688,5.248834991,4.146676941,walking
7,1.55965355644e+27,0.7158114624,-0.9421408081,12.10278214,walking
8,1.55965355644e+27,-0.08397537231,5.522615662,11.14597183,walking
9,1.55965355644e+27,0.7955955505,4.287084961,4.680017853,walking
10,1.55965355644e+27,-0.9452842712,2.697989502,8.159981232,walking
11,1.55965355644e+27,-6.055956573,4.421355743,11.85579575,walking
12,1.55965355644e+27,-5.309159546,5.379812622,7.694898376,walking
13,1.55965355644e+27,-2.422562256,3.700305176,3.328777771,walking
14,1.55965355644e+27,-6.159541168,3.332220612,7.611222382,walking
15,1.55965355644e+27,-6.240522766,7.239245911,10.73402847,walking
16,1.55965355644e+27,-1.968556366,5.216801605,5.559289398,walking
17,1.55965355644e+27,-4.331991577,4.440815277,5.576503601,walking
18,1.55965355644e+27,-4.722679138,8.278235321,6.823859711,walking
19,1.55965355644e+27,-4.651427307,6.515800323,6.236481171,walking
20,1.55965355644e+27,-3.3721875,4.336931305,3.258274384,walking
21,1.55965355644e+27,-1.637444916,4.544250183,7.454198914,walking
22,1.55965355644e+27,-2.581082611,6.099515991,6.753655701,walking
23,1.55965355644e+27,-1.344653778,4.83719101,4.42405014,walking
24,1.55965355644e+27,3.564836884,1.725312195,12.75467651,walking
25,1.55965355644e+27,-1.931583252,1.953886871,10.05099884,walking
26,1.55965355644e+27,-5.016817474,2.773582306,7.133116608,walking
27,1.55965355644e+27,-5.395529938,4.973856812,9.79592926,walking
28,1.55965355644e+27,-3.331023102,4.026476898,6.217171326,walking
29,1.55965355644e+27,-5.366789703,1.473984833,10.45261368,walking
30,1.55965355644e+27,-4.978497162,1.592987366,8.195158081,walking
31,1.55965355644e+27,-4.266577606,2.530338135,8.8504953,walking
32,1.55965355644e+27,-4.49664917,2.04998703,8.536148987,walking
33,1.55965355644e+27,-4.430486755,3.136727142,8.442294159,walking
34,1.55965355644e+27,-4.359983368,3.097059631,8.39065155,walking
35,1.55965355644e+27,-3.918102264,2.908451843,8.435857544,walking
36,1.55965355644e+27,-4.137845306,3.09017395,8.067922668,walking
37,1.55965355644e+27,-3.994593201,2.694097595,8.600664825,walking
38,1.55965355644e+27,-4.110751648,2.885998535,8.30293396,walking
39,1.55965355644e+27,-4.30474823,2.817441101,8.54752533,walking
40,1.55965355644e+27,-4.115391998,3.071163483,8.469986572,walking
41,1.55965355644e+27,-4.106859741,2.922372894,8.335416412,walking
42,1.55965355644e+27,-4.13859375,2.978506165,7.672894135,walking
43,1.55965355644e+27,-4.050427094,2.550546112,8.765172729,walking
44,1.55965355644e+27,-4.050576782,2.947520599,7.981402588,walking
45,1.55965355644e+27,-4.30235321,2.906954956,8.464148712,walking
46,1.55965355644e+27,-4.50488205,2.927013245,8.323740692,walking
47,1.55965355644e+27,-4.546495514,3.101999359,8.184679871,walking
48,1.55965355644e+27,-4.367617493,3.184028778,7.99517395,walking
49,1.55965355644e+27,-4.393513641,3.134481812,8.310268707,walking
50,1.55965355644e+27,-4.320914612,3.033441925,8.379424896,walking
51,1.55965355644e+27,-4.307592316,2.927612,8.216713257,walking
52,1.55965355644e+27,-3.937561798,2.910397797,8.411458282,walking
53,1.55965355644e+27,-4.228856049,2.998115387,8.189170532,walking
54,1.55965355644e+27,-4.207151184,2.828967133,8.181536407,walking
55,1.55965355644e+27,-4.418361969,2.519560547,8.426576843,walking
56,1.55965355644e+27,-4.121529236,2.753074951,8.479117584,walking
57,1.55965355644e+27,-4.227957916,2.420017548,8.454418945,walking
58,1.55965355644e+27,-4.227209473,2.491718445,8.647667084,walking
59,1.55965355644e+27,-4.13619873,2.482587433,8.536148987,walking
60,1.55965355644e+27,-4.282893677,2.53797226,8.597072296,walking
61,1.55965355644e+27,-4.170627136,2.475552063,8.438851318,walking
62,1.55965355644e+27,-4.196223907,2.414628754,8.42223587,walking
63,1.55965355644e+27,-4.223916321,2.427651672,8.592731323,walking
64,1.55965355644e+27,-4.164489899,2.271226959,8.859476624,walking
65,1.55965355644e+27,-2.371219025,2.449506226,8.180937653,walking
66,1.55965355644e+27,2.633922729,-0.6985972595,9.350605316,walking
67,1.55965355644e+27,-0.2356100464,1.380429382,9.852960663,walking
68,1.55965355644e+27,-0.5653742981,1.0776091,9.715845795,walking
69,1.55965355644e+27,-0.6780899048,1.379381561,9.710307312,walking
70,1.55965355644e+27,-0.526305542,1.182241516,9.508975983,walking
71,1.55965355644e+27,-0.6402186584,1.132993927,9.68007019,walking
72,1.55965355644e+27,-0.6304888916,0.8464897156,9.960736542,walking
73,1.55965355644e+27,-0.4046086121,0.3016227722,9.449399872,walking
74,1.55965355644e+27,-1.871707764,-1.867217102,9.998308411,walking
75,1.55965355644e+27,-0.2778222656,-0.8907975769,9.904303894,walking
76,1.55965355644e+27,-0.3085084534,-0.5255570984,10.37357803,walking
77,1.55965355644e+27,0.7640112305,5.201233978,10.99568436,walking
78,1.55965355644e+27,-0.02380050659,6.374494171,6.375092926,walking
