,Time (s),X (hPa),label
0,1.5596532e+18,1007.404099,biking
1,1.55965320104e+18,1007.408142,biking
2,1.55965320208e+18,1007.412109,biking
3,1.55965320312e+18,1007.417984,biking
4,1.55965320416e+18,1007.417984,biking
5,1.5596532052e+18,1007.408752,biking
6,1.55965320624e+18,1007.397614,biking
7,1.55965320728e+18,1007.397614,biking
8,1.55965320736e+18,1007.390366,biking
9,1.5596532084e+18,1007.387619,biking
10,1.55965320944e+18,1007.378311,biking
11,1.55965321048e+18,1007.376785,biking
12,1.55965321152e+18,1007.374573,biking
13,1.55965321256e+18,1007.369308,biking
14,1.5596532136e+18,1007.354965,biking
15,1.55965321464e+18,1007.348022,biking
16,1.55965321568e+18,1007.348022,biking
17,1.55965321672e+18,1007.356415,biking
18,1.55965321776e+18,1007.361298,biking
19,1.5596532188e+18,1007.381973,biking
20,1.55965321984e+18,1007.406006,biking
21,1.55965322088e+18,1007.413406,biking
22,1.55965322192e+18,1007.414474,biking
23,1.55965322296e+18,1007.420197,biking
24,1.559653224e+18,1007.421036,biking
25,1.55965322504e+18,1007.423553,biking
26,1.55965322608e+18,1007.434387,biking
27,1.55965322712e+18,1007.435989,biking
28,1.55965322816e+18,1007.435989,biking
29,1.5596532292e+18,1007.435226,biking
30,1.55965323024e+18,1007.429123,biking
31,1.55965323128e+18,1007.423935,biking
32,1.55965323231e+18,1007.423935,biking
33,1.55965323335e+18,1007.429886,biking
34,1.55965323439e+18,1007.438431,biking
35,1.55965323543e+18,1007.45018,biking
36,1.55965323647e+18,1007.458496,biking
37,1.55965323751e+18,1007.464905,biking
38,1.55965323854e+18,1007.474899,biking
39,1.55965323958e+18,1007.484589,biking
40,1.55965324062e+18,1007.488937,biking
41,1.55965324166e+18,1007.488937,biking
42,1.5596532427e+18,1007.487717,biking
43,1.55965324373e+18,1007.481613,biking
44,1.55965324477e+18,1007.476959,biking
45,1.55965324581e+18,1007.476959,biking
46,1.55965324685e+18,1007.479248,biking
47,1.55965324789e+18,1007.483292,biking
48,1.55965324893e+18,1007.488098,biking
49,1.55965324997e+18,1007.491608,biking
50,1.55965325101e+18,1007.491608,biking
51,1.55965325205e+18,1007.489243,biking
52,1.55965325308e+18,1007.486115,biking
53,1.55965325412e+18,1007.486115,biking
54,1.55965325516e+18,1007.47879,biking
55,1.5596532562e+18,1007.473907,biking
56,1.55965325724e+18,1007.46315,biking
57,1.55965325828e+18,1007.45575,biking
58,1.55965325932e+18,1007.446136,biking
59,1.55965326036e+18,1007.446136,biking
60,1.5596532614e+18,1007.448578,biking
61,1.55965326244e+18,1007.457123,biking
62,1.55965326348e+18,1007.472687,biking
63,1.55965326452e+18,1007.487183,biking
64,1.55965326555e+18,1007.495956,biking
65,1.55965326659e+18,1007.502594,biking
66,1.55965326763e+18,1007.502594,biking
67,1.55965326867e+18,1007.50061,biking
68,1.55965326971e+18,1007.496872,biking
69,1.55965327075e+18,1007.496185,biking
70,1.55965327179e+18,1007.496185,biking
71,1.55965327283e+18,1007.496185,biking
72,1.55965327387e+18,1007.495804,biking
73,1.55965327491e+18,1007.491455,biking
74,1.55965327594e+18,1007.491455,biking
75,1.55965327698e+18,1007.489548,biking
76,1.55965327803e+18,1007.493744,biking
77,1.55965327906e+18,1007.496567,biking
78,1.5596532801e+18,1007.498627,biking
79,1.55965328114e+18,1007.496567,biking
80,1.55965328218e+18,1007.495575,biking
81,1.55965328322e+18,1007.495575,biking
82,1.55965328426e+18,1007.495575,biking
83,1.5596532853e+18,1007.493286,biking
84,1.55965328634e+18,1007.493286,biking
85,1.55965328738e+18,1007.493286,biking
86,1.55965328842e+18,1007.488556,biking
87,1.55965328946e+18,1007.479858,biking
88,1.55965329049e+18,1007.463074,biking
89,1.55965329153e+18,1007.45018,biking
90,1.55965329257e+18,1007.433395,biking
91,1.55965329361e+18,1007.423935,biking
92,1.55965329465e+18,1007.419662,biking
93,1.55965329569e+18,1007.419662,biking
94,1.55965329673e+18,1007.426987,biking
95,1.55965329777e+18,1007.433853,biking
96,1.55965329881e+18,1007.44133,biking
97,1.55965329985e+18,1007.446671,biking
98,1.55965330089e+18,1007.458954,biking
99,1.55965330193e+18,1007.469406,biking
