,Time (s),X (hPa),label
0,1.5596532e+18,1008.552094,train
1,1.55965320104e+18,1008.55072,train
2,1.55965320208e+18,1008.551712,train
3,1.55965320312e+18,1008.549271,train
4,1.55965320416e+18,1008.548737,train
5,1.5596532052e+18,1008.54538,train
6,1.55965320624e+18,1008.54538,train
7,1.55965320729e+18,1008.545532,train
8,1.55965320737e+18,1008.554382,train
9,1.55965320841e+18,1008.555908,train
10,1.55965320945e+18,1008.557053,train
11,1.55965321049e+18,1008.557053,train
12,1.55965321153e+18,1008.554153,train
13,1.55965321257e+18,1008.546295,train
14,1.55965321361e+18,1008.537979,train
15,1.55965321465e+18,1008.524399,train
16,1.55965321569e+18,1008.511276,train
17,1.55965321673e+18,1008.490143,train
18,1.55965321778e+18,1008.46405,train
19,1.55965321882e+18,1008.438339,train
20,1.55965321986e+18,1008.419952,train
21,1.5596532209e+18,1008.410339,train
22,1.55965322194e+18,1008.410339,train
23,1.55965322298e+18,1008.421631,train
24,1.55965322402e+18,1008.438873,train
25,1.55965322506e+18,1008.452225,train
26,1.5596532261e+18,1008.464432,train
27,1.55965322714e+18,1008.485565,train
28,1.55965322819e+18,1008.505859,train
29,1.55965322923e+18,1008.52356,train
30,1.55965323027e+18,1008.542633,train
31,1.55965323131e+18,1008.56308,train
32,1.55965323235e+18,1008.573761,train
33,1.55965323339e+18,1008.5849,train
34,1.55965323443e+18,1008.605347,train
35,1.55965323547e+18,1008.625565,train
36,1.55965323651e+18,1008.655472,train
37,1.55965323755e+18,1008.692474,train
38,1.5596532386e+18,1008.726654,train
39,1.55965323964e+18,1008.752899,train
40,1.55965324068e+18,1008.777466,train
41,1.55965324172e+18,1008.798523,train
42,1.55965324276e+18,1008.813171,train
43,1.5596532438e+18,1008.827667,train
44,1.55965324484e+18,1008.848267,train
45,1.55965324588e+18,1008.869629,train
46,1.55965324692e+18,1008.891525,train
47,1.55965324796e+18,1008.894272,train
48,1.559653249e+18,1008.894272,train
49,1.55965325004e+18,1008.885651,train
50,1.55965325109e+18,1008.877258,train
51,1.55965325213e+18,1008.877258,train
52,1.55965325317e+18,1008.882141,train
53,1.55965325421e+18,1008.925476,train
