,Time (s),X (hPa),label
0,1.55965355644e+27,1009.459381,walking
1,1.55965355644e+27,1009.481201,walking
2,1.55965355644e+27,1009.487228,walking
3,1.55965355644e+27,1009.487228,walking
4,1.55965355644e+27,1009.48616,walking
5,1.55965355644e+27,1009.477463,walking
6,1.55965355644e+27,1009.470444,walking
7,1.55965355644e+27,1009.470444,walking
8,1.55965355644e+27,1009.489441,walking
9,1.55965355644e+27,1009.490433,walking
10,1.55965355644e+27,1009.492874,walking
11,1.55965355644e+27,1009.508514,walking
12,1.55965355644e+27,1009.522629,walking
13,1.55965355644e+27,1009.52713,walking
14,1.55965355644e+27,1009.532013,walking
15,1.55965355644e+27,1009.536438,walking
16,1.55965355644e+27,1009.538727,walking
17,1.55965355644e+27,1009.539108,walking
18,1.55965355644e+27,1009.543381,walking
19,1.55965355644e+27,1009.548645,walking
20,1.55965355644e+27,1009.550323,walking
21,1.55965355644e+27,1009.560242,walking
22,1.55965355644e+27,1009.566269,walking
23,1.55965355644e+27,1009.567413,walking
24,1.55965355644e+27,1009.567642,walking
25,1.55965355644e+27,1009.567642,walking
26,1.55965355644e+27,1009.559784,walking
27,1.55965355644e+27,1009.553909,walking
28,1.55965355644e+27,1009.551697,walking
29,1.55965355644e+27,1009.550171,walking
30,1.55965355644e+27,1009.550171,walking
31,1.55965355644e+27,1009.553833,walking
32,1.55965355644e+27,1009.559708,walking
33,1.55965355644e+27,1009.566269,walking
34,1.55965355644e+27,1009.568481,walking
35,1.55965355644e+27,1009.571228,walking
36,1.55965355644e+27,1009.574051,walking
37,1.55965355644e+27,1009.575882,walking
38,1.55965355644e+27,1009.577408,walking
39,1.55965355644e+27,1009.57901,walking
40,1.55965355644e+27,1009.582291,walking
41,1.55965355644e+27,1009.583359,walking
42,1.55965355644e+27,1009.583359,walking
43,1.55965355644e+27,1009.57962,walking
44,1.55965355644e+27,1009.5784,walking
45,1.55965355644e+27,1009.573441,walking
46,1.55965355644e+27,1009.572296,walking
47,1.55965355644e+27,1009.572296,walking
48,1.55965355644e+27,1009.572906,walking
49,1.55965355644e+27,1009.572906,walking
