,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),label
0,1.5596532e+18,52.33609413,4.867657035,-3.021416187,-1.0,-1.0,1414.0,1414.0,nothing
1,1.55965320042e+18,52.33454952,4.867502798,-3.09953022,-1.0,-1.0,65.0,65.0,nothing
2,1.55965320692e+18,52.33454222,4.867495544,-3.118359327,-1.0,-1.0,65.0,65.0,nothing
3,1.55965322192e+18,52.33454016,4.867493498,-3.120345592,-1.0,-1.0,65.0,65.0,nothing
4,1.55965323693e+18,52.33453966,4.867492995,-3.12110424,-1.0,-1.0,65.0,65.0,nothing
5,1.55965325193e+18,52.33453953,4.867492871,-3.121504784,-1.0,-1.0,65.0,65.0,nothing
6,1.55965326693e+18,52.3345395,4.86749284,-3.121752501,-1.0,-1.0,65.0,65.0,nothing
7,1.55965328194e+18,52.33453949,4.867492833,-3.121920824,-1.0,-1.0,65.0,65.0,nothing
8,1.55965329694e+18,52.33453949,4.867492831,-3.122042656,-1.0,-1.0,65.0,65.0,nothing
9,1.55965331195e+18,52.33453949,4.86749283,-3.122134924,-1.0,-1.0,65.0,65.0,nothing
10,1.55965332695e+18,52.33453949,4.86749283,-3.122207165,-1.0,-1.0,65.0,65.0,nothing
11,1.55965334196e+18,52.33453949,4.86749283,-3.122267723,-1.0,-1.0,65.0,65.0,nothing
12,1.55965335696e+18,52.33453949,4.86749283,-3.122322083,-1.0,-1.0,65.0,65.0,nothing
13,1.55965337197e+18,52.33453949,4.86749283,-3.122370958,-1.0,-1.0,65.0,65.0,nothing
14,1.55965338697e+18,52.33453949,4.86749283,-3.122414827,-1.0,-1.0,65.0,65.0,nothing
15,1.55965340198e+18,52.33453949,4.86749283,-3.122454166,-1.0,-1.0,65.0,65.0,nothing
16,1.55965341698e+18,52.33453949,4.86749283,-3.122489452,-1.0,-1.0,65.0,65.0,nothing
17,1.55965343198e+18,52.33453949,4.86749283,-3.122521162,-1.0,-1.0,65.0,65.0,nothing
18,1.55965344699e+18,52.33453949,4.86749283,-3.122549534,-1.0,-1.0,65.0,65.0,nothing
19,1.55965345553e+18,52.33452393,4.86749552,-3.124291658,-1.0,-1.0,65.0,65.0,nothing
20,1.55965347003e+18,52.33452393,4.86749552,-3.124291658,-1.0,-1.0,65.0,65.0,nothing
21,1.55965347053e+18,52.33452009,4.867496182,-3.125875235,-1.0,-1.0,65.0,65.0,nothing
22,1.55965348554e+18,52.33451915,4.867496345,-3.127317905,-1.0,-1.0,65.0,65.0,nothing
23,1.55965350055e+18,52.33451892,4.867496385,-3.128630161,-1.0,-1.0,65.0,65.0,nothing
24,1.55965351555e+18,52.33451886,4.867496395,-3.129823685,-1.0,-1.0,65.0,65.0,nothing
25,1.55965353056e+18,52.33451885,4.867496397,-3.130909443,-1.0,-1.0,65.0,65.0,nothing
26,1.55965354556e+18,52.33451884,4.867496398,-3.131896973,-1.0,-1.0,65.0,65.0,nothing
