,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),label
0,1.5596532e+18,52.29330325,4.968719756,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
1,1.55965320738e+18,52.29279896,4.969282345,0.06120866537,-1.0,-1.0,1519.23076,1519.23076,train
2,1.55965320742e+18,52.29279779,4.969283654,0.06120866537,-1.0,-1.0,1519.231521,1519.231521,train
3,1.55965320979e+18,52.29289525,4.969242225,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
4,1.5596532114e+18,52.29294471,4.9692162,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
5,1.55965323195e+18,52.28426177,4.970989875,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
6,1.55965323198e+18,52.28108831,4.971464327,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
7,1.55965323353e+18,52.27888795,4.972464506,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
8,1.55965323355e+18,52.2778688,4.972937244,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
9,1.55965324393e+18,52.28374609,4.98163461,0.06120866537,-1.0,-1.0,1463.980675,1463.980675,train
10,1.55965324395e+18,52.28734969,4.986009219,0.06120866537,-1.0,-1.0,1463.981089,1463.981089,train
11,1.55965324833e+18,52.2889475,4.983253736,0.06120866537,-1.0,-1.0,1472.954928,1472.954928,train
12,1.55965324952e+18,52.29008106,4.981290536,0.06120866537,-1.0,-1.0,1473.633755,1473.633755,train
13,1.55965324957e+18,52.2908437,4.97996714,0.06120866537,-1.0,-1.0,1473.6348,1473.6348,train
14,1.55965324969e+18,52.2913363,4.979112516,0.06120866537,-1.0,-1.0,1473.641645,1473.641645,train
15,1.55965324976e+18,52.29165672,4.978556498,0.06120866537,-1.0,-1.0,1473.644021,1473.644021,train
16,1.55965325015e+18,52.29185688,4.978209841,0.06120866537,-1.0,-1.0,1473.718219,1473.718219,train
17,1.55965325016e+18,52.29199557,4.977968807,0.06120866537,-1.0,-1.0,1473.718257,1473.718257,train
18,1.55965325173e+18,52.29204967,4.97787796,0.06120866537,-1.0,-1.0,1474.904218,1474.904218,train
19,1.55965325379e+18,52.29207511,4.97783667,0.06120866537,-1.0,-1.0,1476.94649,1476.94649,train
20,1.55965325444e+18,52.28480431,4.976558214,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
21,1.55965326683e+18,52.28226458,4.984393264,0.06120866537,-1.0,-1.0,1486.286267,1486.286267,train
22,1.55965326701e+18,52.28112903,4.988204063,0.06120866537,-1.0,-1.0,1486.301721,1486.301721,train
23,1.55965326702e+18,52.28053013,4.990218645,0.06120866537,-1.0,-1.0,1486.301732,1486.301732,train
24,1.55965326744e+18,52.28020187,4.991311569,0.06120866537,-1.0,-1.0,1486.386952,1486.386952,train
25,1.55965328244e+18,52.27972188,4.992592899,0.06120866537,-1.0,-1.0,1582.0,1582.0,train
26,1.55965333341e+18,52.27954185,4.993183553,0.06120866537,-1.0,-1.0,1582.0,1582.0,train
27,1.55965333341e+18,52.27969682,4.992842091,0.06120866537,-1.0,-1.0,1582.0,1582.0,train
28,1.55965333355e+18,52.2655532,4.993885225,0.06120866537,-1.0,-1.0,1582.00793,1582.00793,train
29,1.559653334e+18,52.25751739,4.994481524,0.06120866537,-1.0,-1.0,1582.092968,1582.092968,train
30,1.55965333631e+18,52.26129397,4.983604017,0.06120866537,-1.0,-1.0,1584.298187,1584.298187,train
31,1.55965333634e+18,52.26331455,4.977798713,0.06120866537,-1.0,-1.0,1584.298676,1584.298676,train
32,1.55965334193e+18,52.25316136,4.986611852,0.06120866537,-1.0,-1.0,1597.222596,1597.222596,train
33,1.55965334195e+18,52.24630032,4.992561862,0.06120866537,-1.0,-1.0,1597.222734,1597.222734,train
34,1.55965339003e+18,52.24316188,5.005377009,0.06120866537,-1.0,-1.0,2402.462341,2402.462341,train
35,1.55965339006e+18,52.24560557,5.008868984,0.06120866537,-1.0,-1.0,2402.462627,2402.462627,train
36,1.55965340795e+18,52.23098969,5.008083086,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
37,1.55965340797e+18,52.22872889,5.00777285,0.06120866537,-1.0,-1.0,1414.0,1414.0,train
38,1.55965342201e+18,52.22429112,5.004773612,-0.3337347507,-1.0,-1.0,165.0,165.0,train
39,1.55965342321e+18,52.22421662,5.004756718,-0.7220420837,-1.0,-1.0,165.0,165.0,train
