,Time (s),X (µT),Y (µT),Z (µT),label
0,1.5596532e+18,-31.89509583,-1.268844604,-24.81549072,nothing
1,1.55965320025e+18,-31.89201355,-1.213638306,-24.80883789,nothing
2,1.5596532005e+18,-31.99943542,-1.259109497,-24.8480835,nothing
3,1.55965320075e+18,-31.72076416,-1.236022949,-25.02355957,nothing
4,1.559653201e+18,-32.2472229,-1.290328979,-24.78277588,nothing
5,1.55965320125e+18,-32.04663086,-1.140945435,-25.07592773,nothing
6,1.5596532015e+18,-32.04135132,-1.445251465,-24.75811768,nothing
7,1.55965320175e+18,-32.08280945,-1.3359375,-24.87207031,nothing
8,1.559653202e+18,-32.28367615,-1.105377197,-25.04388428,nothing
9,1.55965320225e+18,-32.07801819,-1.263015747,-24.72900391,nothing
10,1.5596532025e+18,-32.08888245,-1.324829102,-25.0447998,nothing
11,1.55965320275e+18,-32.35488892,-1.668914795,-24.6348877,nothing
12,1.55965320299e+18,-31.93655396,-1.439437866,-24.80755615,nothing
13,1.55965320324e+18,-31.93736267,-1.249221802,-24.70849609,nothing
14,1.55965320349e+18,-32.22198486,-1.599411011,-24.83093262,nothing
15,1.55965320374e+18,-32.14213562,-1.619415283,-24.97473145,nothing
16,1.55965320399e+18,-32.26211548,-1.236114502,-24.72338867,nothing
17,1.55965320424e+18,-32.16085815,-1.496414185,-25.01550293,nothing
18,1.55965320449e+18,-31.97592163,-1.167160034,-25.00854492,nothing
19,1.55965320474e+18,-31.7539978,-1.253585815,-25.01141357,nothing
20,1.55965320499e+18,-32.12733459,-1.183227539,-24.99731445,nothing
21,1.55965320524e+18,-32.08303833,-1.160629272,-24.81634521,nothing
22,1.55965320549e+18,-31.81390381,-1.505599976,-25.06262207,nothing
23,1.55965320574e+18,-31.74009705,-1.492767334,-25.20678711,nothing
24,1.55965320599e+18,-32.05178833,-1.460998535,-24.82385254,nothing
25,1.55965320624e+18,-31.95332336,-1.043807983,-24.82299805,nothing
26,1.55965320649e+18,-31.94029236,-1.370941162,-24.84783936,nothing
27,1.55965320674e+18,-31.85746765,-1.363876343,-24.88049316,nothing
28,1.55965320699e+18,-31.95419312,-1.617218018,-24.68780518,nothing
29,1.55965320724e+18,-31.7713623,-1.453826904,-24.9854126,nothing
30,1.55965320749e+18,-32.06610107,-1.214828491,-24.9206543,nothing
31,1.55965320774e+18,-31.92712402,-1.473297119,-24.84753418,nothing
32,1.55965320799e+18,-32.10342407,-1.370223999,-24.61999512,nothing
33,1.55965320824e+18,-32.10095215,-1.235748291,-24.8269043,nothing
34,1.55965320848e+18,-31.85523987,-1.187301636,-24.85931396,nothing
35,1.55965320873e+18,-32.01986694,-1.336166382,-25.17181396,nothing
36,1.55965320898e+18,-32.08895874,-1.128540039,-24.92114258,nothing
37,1.55965320923e+18,-31.95236206,-1.4947052,-24.61474609,nothing
38,1.55965320948e+18,-31.92276001,-1.434936523,-24.95721436,nothing
39,1.55965320973e+18,-31.71611023,-1.215164185,-24.97235107,nothing
40,1.55965320998e+18,-31.8874054,-1.571807861,-25.01379395,nothing
41,1.55965321023e+18,-32.04995728,-1.238815308,-24.81494141,nothing
42,1.55965321048e+18,-32.01850891,-1.325546265,-24.94165039,nothing
43,1.55965321073e+18,-31.86317444,-1.498733521,-24.97692871,nothing
44,1.55965321098e+18,-32.36149597,-1.457427979,-24.55493164,nothing
45,1.55965321123e+18,-31.90063477,-1.516891479,-24.76391602,nothing
46,1.55965321148e+18,-31.97180176,-1.360992432,-24.86364746,nothing
47,1.55965321173e+18,-32.11956787,-1.175933838,-24.79724121,nothing
48,1.55965321198e+18,-32.03410339,-1.284179688,-24.52429199,nothing
49,1.55965321223e+18,-31.990448,-1.146896362,-24.80932617,nothing
50,1.55965321248e+18,-32.17559814,-1.484176636,-24.74371338,nothing
51,1.55965321273e+18,-31.75015259,-1.340576172,-24.76715088,nothing
52,1.55965321298e+18,-32.11802673,-1.19543457,-24.67858887,nothing
53,1.55965321323e+18,-31.83982849,-1.351287842,-24.93896484,nothing
54,1.55965321348e+18,-32.37767029,-1.32649231,-24.80432129,nothing
55,1.55965321373e+18,-31.67782593,-1.139221191,-24.73590088,nothing
56,1.55965321398e+18,-31.71949768,-1.238296509,-24.89959717,nothing
57,1.55965321422e+18,-31.956604,-1.364273071,-24.74658203,nothing
58,1.55965321447e+18,-31.93179321,-1.234893799,-24.58850098,nothing
59,1.55965321472e+18,-31.77334595,-1.274169922,-24.62127686,nothing
60,1.55965321497e+18,-31.72068787,-1.319732666,-25.1651001,nothing
61,1.55965321522e+18,-31.80514526,-1.239624023,-24.85119629,nothing
62,1.55965321547e+18,-31.88383484,-0.9201049805,-24.77087402,nothing
63,1.55965321572e+18,-31.91326904,-1.332565308,-24.78546143,nothing
64,1.55965321597e+18,-31.75112915,-1.184494019,-24.84753418,nothing
65,1.55965321622e+18,-32.05464172,-1.236572266,-24.67755127,nothing
66,1.55965321647e+18,-31.87506104,-1.353942871,-24.75769043,nothing
67,1.55965321672e+18,-31.69261169,-1.315994263,-24.8067627,nothing
68,1.55965321697e+18,-32.292099,-1.099533081,-24.66442871,nothing
69,1.55965321722e+18,-31.9382019,-1.081100464,-24.47912598,nothing
70,1.55965321747e+18,-31.88934326,-1.284164429,-24.77819824,nothing
71,1.55965321772e+18,-31.94685364,-1.359527588,-24.95709229,nothing
72,1.55965321797e+18,-31.94174194,-1.51524353,-24.68994141,nothing
