,Time (s),X (µT),Y (µT),Z (µT),label
0,1.55965356112e+54,40.03245544,33.34802246,28.60388184,train
1,1.55965356112e+54,40.72825623,29.35348511,30.54022217,train
2,1.55965356112e+54,40.07080078,26.46575928,32.70162964,train
3,1.55965356112e+54,43.98674011,27.30622864,30.86962891,train
4,1.55965356112e+54,39.14329529,23.07946777,33.44082642,train
5,1.55965356112e+54,38.2848053,20.20162964,35.01751709,train
6,1.55965356112e+54,39.26249695,-16.59941101,38.19946289,train
7,1.55965356112e+54,10.52668762,-44.71932983,37.5526123,train
8,1.55965356112e+54,0.03332519531,-35.38973999,45.82839966,train
9,1.55965356112e+54,-0.02700805664,-37.77822876,42.24563599,train
10,1.55965356112e+54,0.6988372803,-32.67184448,46.29779053,train
11,1.55965356112e+54,4.658233643,-37.16493225,42.64297485,train
12,1.55965356112e+54,-5.31137085,-41.69430542,34.30725098,train
13,1.55965356112e+54,-4.426223755,-38.69995117,34.98376465,train
14,1.55965356112e+54,-2.214691162,-38.05143738,33.91629028,train
15,1.55965356112e+54,-2.202362061,-36.71664429,37.61340332,train
16,1.55965356112e+54,-0.9488067627,-33.82896423,38.26049805,train
17,1.55965356112e+54,-1.187210083,-33.9756012,37.93566895,train
18,1.55965356112e+54,0.446105957,-31.37400818,39.54379272,train
19,1.55965356112e+54,3.330108643,-29.35987854,38.94528198,train
20,1.55965356112e+54,8.909408569,-28.75906372,42.67416382,train
21,1.55965356112e+54,7.935119629,-23.83491516,48.64056396,train
22,1.55965356112e+54,3.458587646,-32.34292603,36.17108154,train
23,1.55965356112e+54,1.618804932,-30.6726532,37.09481812,train
24,1.55965356112e+54,4.92755127,-28.6685791,38.47241211,train
25,1.55965356112e+54,10.88529968,-25.44866943,51.04379272,train
26,1.55965356112e+54,5.186386108,-22.62527466,68.11218262,train
27,1.55965356112e+54,3.424530029,-23.10900879,61.31985474,train
28,1.55965356112e+54,8.365219116,-23.71099854,63.20211792,train
29,1.55965356112e+54,9.346755981,-19.30963135,63.99234009,train
30,1.55965356112e+54,3.287536621,-14.09466553,59.24151611,train
31,1.55965356112e+54,3.644699097,-18.0821228,43.60919189,train
32,1.55965356112e+54,7.403320312,-16.04264832,44.78048706,train
33,1.55965356112e+54,7.615890503,-24.1124115,36.19665527,train
34,1.55965356112e+54,2.346786499,-26.2567749,37.25024414,train
35,1.55965356112e+54,3.396133423,-23.50195312,38.74798584,train
36,1.55965356112e+54,4.676437378,-21.66766357,38.48339844,train
37,1.55965356112e+54,5.621185303,-19.91717529,42.21447754,train
38,1.55965356112e+54,9.535202026,-24.73774719,39.63476562,train
39,1.55965356112e+54,-1.191085815,-29.95594788,30.29315186,train
40,1.55965356112e+54,-0.7445678711,-28.23791504,32.66687012,train
41,1.55965356112e+54,1.733230591,-28.45196533,33.80999756,train
42,1.55965356112e+54,-2.691055298,-29.36636353,34.96380615,train
43,1.55965356112e+54,3.151779175,-23.71380615,37.94696045,train
44,1.55965356112e+54,4.712356567,-21.31352234,38.7779541,train
45,1.55965356112e+54,6.728118896,-18.74578857,40.4697876,train
46,1.55965356112e+54,8.073806763,-17.25401306,41.54074097,train
47,1.55965356112e+54,17.07666016,-19.10313416,42.92019653,train
48,1.55965356112e+54,10.83171082,-98.78849792,29.16925049,train
49,1.55965356112e+54,-19.45109558,-74.53375244,27.50598145,train
50,1.55965356112e+54,0.09814453125,-29.52685547,38.75909424,train
51,1.55965356112e+54,-13.99894714,-59.24661255,32.08526611,train
52,1.55965356112e+54,-14.57858276,-58.88755798,33.43139648,train
53,1.55965356112e+54,-15.45523071,-61.087677,33.46801758,train
54,1.55965356112e+54,-14.0015564,-58.50617981,33.69345093,train
55,1.55965356112e+54,-11.25256348,-54.59727478,36.38299561,train
