,Time (s),X (µT),Y (µT),Z (µT),label
0,1.55965355644e+27,-10.25364685,-19.9442749,-38.32226562,walking
1,1.55965355644e+27,-15.50515747,-14.71244812,-39.55847168,walking
2,1.55965355644e+27,-16.99061584,-12.42036438,-40.09460449,walking
3,1.55965355644e+27,-17.51776123,-14.31958008,-39.26391602,walking
4,1.55965355644e+27,-16.89582825,-14.15849304,-39.16448975,walking
5,1.55965355644e+27,-22.00445557,-10.31985474,-39.09967041,walking
6,1.55965355644e+27,-22.56481934,-6.449264526,-39.75689697,walking
7,1.55965355644e+27,-19.42649841,-12.40771484,-39.56085205,walking
8,1.55965355644e+27,-19.59683228,-16.10171509,-38.05181885,walking
9,1.55965355644e+27,-8.995864868,-26.58056641,-33.91522217,walking
10,1.55965355644e+27,-16.97735596,-13.5684967,-39.90789795,walking
11,1.55965355644e+27,-23.60974121,-8.892532349,-38.4564209,walking
12,1.55965355644e+27,-20.44000244,-11.2888031,-39.18981934,walking
13,1.55965355644e+27,-23.6469574,-10.57206726,-37.54095459,walking
14,1.55965355644e+27,-24.36750793,-14.70210266,-36.21661377,walking
15,1.55965355644e+27,-13.86737061,-15.04379272,-40.41943359,walking
16,1.55965355644e+27,-8.271530151,-17.52409363,-40.43859863,walking
17,1.55965355644e+27,-4.301940918,-15.80677795,-41.92700195,walking
18,1.55965355644e+27,-6.67137146,-12.81843567,-43.06939697,walking
19,1.55965355644e+27,-0.7631988525,-11.63296509,-43.58642578,walking
20,1.55965355644e+27,-5.628036499,-19.42910767,-40.70410156,walking
21,1.55965355644e+27,-5.16217041,-19.67785645,-40.8102417,walking
22,1.55965355644e+27,-3.491165161,-17.24707031,-42.22772217,walking
23,1.55965355644e+27,4.548965454,-7.871612549,-44.92456055,walking
24,1.55965355644e+27,11.2571106,-4.300033569,-44.15124512,walking
25,1.55965355644e+27,9.273956299,-4.9140625,-45.15930176,walking
26,1.55965355644e+27,4.058609009,-9.809036255,-45.28704834,walking
27,1.55965355644e+27,6.493835449,-14.94822693,-43.62841797,walking
28,1.55965355644e+27,4.371246338,-14.38183594,-44.31506348,walking
29,1.55965355644e+27,4.911865234,-17.08233643,-43.58227539,walking
30,1.55965355644e+27,11.65275574,-15.23812866,-42.86395264,walking
31,1.55965355644e+27,12.49723816,-16.46481323,-42.17944336,walking
32,1.55965355644e+27,13.18228149,-15.59951782,-42.36816406,walking
33,1.55965355644e+27,11.0897522,-17.29263306,-42.67437744,walking
34,1.55965355644e+27,4.616912842,-20.11584473,-42.88354492,walking
35,1.55965355644e+27,-6.128143311,-20.44229126,-43.65991211,walking
36,1.55965355644e+27,-21.24497986,-25.93360901,-36.15576172,walking
37,1.55965355644e+27,-31.2671051,-12.39346313,-38.4239502,walking
38,1.55965355644e+27,-5.314453125,2.616088867,-49.81109619,walking
39,1.55965355644e+27,-1.515930176,2.379241943,-50.43499756,walking
40,1.55965355644e+27,5.348388672,6.225280762,-49.95678711,walking
41,1.55965355644e+27,2.480957031,3.279846191,-51.11968994,walking
42,1.55965355644e+27,-1.274246216,-3.386444092,-51.56286621,walking
43,1.55965355644e+27,4.246612549,-1.100280762,-51.91381836,walking
44,1.55965355644e+27,4.281021118,-5.654525757,-51.46923828,walking
45,1.55965355644e+27,10.83984375,-0.0107421875,-50.81408691,walking
46,1.55965355644e+27,12.0569458,-0.8477020264,-50.5625,walking
47,1.55965355644e+27,13.43208313,3.098861694,-50.61254883,walking
48,1.55965355644e+27,16.16339111,5.434402466,-49.37689209,walking
49,1.55965355644e+27,20.5955658,7.266098022,-47.64404297,walking
50,1.55965355644e+27,24.74760437,7.589279175,-45.03442383,walking
51,1.55965355644e+27,27.35166931,4.484359741,-41.32843018,walking
52,1.55965355644e+27,26.89109802,0.2004699707,-39.41229248,walking
53,1.55965355644e+27,25.01745605,-0.1781005859,-41.13104248,walking
54,1.55965355644e+27,23.30316162,0.5604553223,-44.03295898,walking
55,1.55965355644e+27,21.08291626,0.9570770264,-46.22241211,walking
56,1.55965355644e+27,18.97988892,0.8337249756,-47.53356934,walking
