,Unnamed: 0,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),label
0,0,1.5596604e+18,52.33455537,4.866131602,3.027959585,-1.0,-1.0,131.2782153,131.2782153,climbing_stairs
1,1,1.55966040036e+18,52.33495622,4.867376675,-1.791169405,-1.0,-1.0,65.0,65.0,climbing_stairs
2,2,1.55966040215e+18,52.33497464,4.867409028,-2.403022766,-1.0,-1.0,65.0,65.0,climbing_stairs
3,3,1.55966040858e+18,52.33497376,4.867416416,-2.769241095,-1.0,-1.0,65.0,65.0,climbing_stairs
4,4,1.55966041501e+18,52.33496721,4.867398309,-2.968626976,-1.0,-1.0,65.0,65.0,climbing_stairs
5,5,1.55966042144e+18,52.33499121,4.867445326,-2.994656563,-1.0,-1.0,65.0,65.0,climbing_stairs
6,6,1.5596604284e+18,52.33496424,4.867638816,-2.998321056,-1.0,-1.0,65.0,65.0,climbing_stairs
7,7,1.559660438e+18,52.3349581,4.867730567,-1.819630504,0.7281757356,-1.0,200.0,200.0,climbing_stairs
8,8,1.559660439e+18,52.33496175,4.867692816,-1.203055501,0.7045472887,-1.0,200.0,200.0,climbing_stairs
9,9,1.55966044e+18,52.33496609,4.867657428,-0.8186451197,0.6816525044,-1.0,200.0,200.0,climbing_stairs
10,10,1.559660441e+18,52.33497101,4.867624354,-0.5540026426,0.6595143301,-1.0,200.0,200.0,climbing_stairs
11,11,1.559660442e+18,52.33497634,4.86759344,-0.3604711294,0.6381278766,-1.0,200.0,200.0,climbing_stairs
12,12,1.559660443e+18,52.3349818,4.867564628,-0.2133729309,0.6175147742,-1.0,200.0,200.0,climbing_stairs
13,13,1.559660444e+18,52.33498896,4.867536492,-0.09881699085,0.5972249769,-1.0,200.0,200.0,climbing_stairs
14,14,1.559660445e+18,52.33499509,4.867512415,-0.007808886468,0.578363063,-1.0,200.0,200.0,climbing_stairs
15,15,1.559660446e+18,52.33498649,4.867510443,0.06540283561,0.5668032989,-1.0,200.0,200.0,climbing_stairs
16,16,1.559660447e+18,52.3349573,4.867481488,0.1243476421,0.5488030353,-1.0,200.0,200.0,climbing_stairs
17,17,1.559660448e+18,52.33493009,4.867457985,0.1722705215,0.5329129654,-1.0,200.0,200.0,climbing_stairs
18,18,1.559660449e+18,52.33490177,4.867439264,0.2113042772,0.5191554694,-1.0,200.0,200.0,climbing_stairs
19,19,1.55966045e+18,52.33487084,4.867425153,0.2431532741,0.5076949529,-1.0,200.0,200.0,climbing_stairs
