"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.488425293E0,4.738396454E0,8.544381866E0
4.010310000E-1,-1.679507446E0,4.221221924E0,9.128018188E0
8.020863750E-1,8.954379272E-1,4.549638977E0,8.161029053E0
1.203209375E0,4.907095642E0,-2.696043549E0,8.842112732E0
1.604318667E0,4.709955597E0,-6.807393951E0,4.809648285E0
2.005380667E0,2.774181061E0,-6.433172150E0,5.375621338E0
2.406381667E0,4.761897583E0,-4.253704376E0,5.634283447E0
2.659030042E0,4.977299652E0,-5.072202301E0,6.539002075E0
2.909701042E0,5.439089355E0,-6.150709534E0,6.715634766E0
3.160342042E0,4.974156189E0,-5.539680176E0,6.707551575E0
3.410983042E0,4.551435242E0,-2.893033905E0,6.688840485E0
3.661614375E0,3.274590454E0,-5.461991730E0,1.153052216E1
3.912255375E0,6.060896301E0,-6.430926819E0,9.557774506E0
4.162896375E0,3.130440216E0,-5.804479523E0,9.117989044E0
4.413537375E0,4.069886627E0,-5.426964569E0,7.373367004E0
4.664213042E0,2.137554932E0,-3.946692810E0,7.592361603E0
4.914854042E0,4.460424500E0,-5.095853119E0,5.834417267E0
5.165525042E0,5.123246155E0,-6.782994690E0,9.747579803E0
5.416166042E0,2.275418243E0,-4.797523499E0,8.119864655E0
5.666813750E0,5.438640289E0,-4.559069366E0,1.039633072E1
5.917454750E0,3.808081055E0,-5.621110840E0,1.071831116E1
6.168125750E0,6.296356659E0,-4.037703552E0,1.010413834E1
6.418766750E0,3.665278015E0,-4.527934113E0,8.670120392E0
6.669416250E0,4.082460480E0,-4.349205780E0,5.954467621E0
6.920087250E0,5.513334961E0,-6.590644684E0,1.195668594E1
7.170759250E0,6.221362610E0,-5.119054871E0,7.585475922E0
7.421400250E0,5.732628937E0,-3.135679321E0,5.157674561E0
7.672065375E0,6.683451691E0,-5.406457214E0,9.378597107E0
7.922736375E0,2.932252350E0,-6.740333405E0,1.308159668E1
8.173408375E0,6.890471191E0,-6.541846161E0,1.245020966E1
8.424079375E0,6.334227905E0,-6.071075134E0,1.020862106E1
8.674775625E0,2.496209106E0,-3.479065247E0,3.611090698E0
8.925446625E0,2.936892700E0,-6.211632843E0,7.449259186E0
9.176148625E0,3.218307495E0,-5.821394348E0,9.608518982E0
9.426850625E0,7.421566772E-1,-5.862409058E0,9.654772797E0
9.677538042E0,7.400760040E0,-3.661386108E0,8.262967072E0
9.928240042E0,3.498674469E0,-1.975891113E0,4.680317230E0
1.017891104E1,1.972597961E0,-2.975213013E0,6.312223663E0
1.042961304E1,2.989283752E0,-4.913232880E0,9.003926239E0
1.068029762E1,3.795207825E0,-4.770280151E0,8.752299500E0
1.093099963E1,9.170230408E0,-4.140090637E0,5.453160095E0
1.118170162E1,3.051703949E0,-4.106260986E0,6.899302826E0
1.143240362E1,5.121749268E0,-4.791086884E0,1.024873764E1
1.168306325E1,3.567980347E0,-2.711760864E0,5.418731689E0
1.193376525E1,2.722089386E0,-2.308200073E0,9.195976868E0
1.218443725E1,1.023481659E1,-3.486998749E0,2.872526550E-1
1.243516925E1,2.757415924E0,-5.826184387E0,1.040097107E1
1.268591667E1,7.576344910E0,-5.140610046E0,6.456224213E0
1.293661767E1,7.973618774E0,-3.930975494E0,4.824018402E0
1.318728967E1,3.110531616E0,-3.575464783E0,8.599317627E0
1.343799167E1,5.422623596E0,-4.678970032E0,8.338410187E0
1.368864688E1,7.680378571E0,-4.863685913E0,6.286327515E0
1.393934887E1,6.353687439E0,-5.865702209E0,1.052700897E1
1.419008087E1,7.519313507E0,-4.873116302E0,6.493646393E0
1.444084387E1,5.099445648E0,-5.684578857E0,7.416327667E0
1.469165162E1,2.974913635E0,-6.575825500E0,1.087383774E1
1.494241462E1,8.460256805E0,-5.868995361E0,8.395740967E0
1.519317762E1,3.799848175E0,-1.894310760E0,3.646267548E0
1.544390962E1,7.876919861E0,-4.338428192E0,7.311545563E0
1.569462587E1,8.322842560E0,-6.531817017E0,2.194286957E0
1.594529687E1,7.209757233E0,-5.815257111E0,9.857601013E0
1.619599887E1,3.960314484E0,-5.835315399E0,1.224229202E1
1.644676187E1,-3.580554199E-1,-4.399201813E0,8.706794128E0
1.669750687E1,4.214036865E0,-6.382427673E0,1.145897095E1
1.694826987E1,3.832929382E0,-4.394411774E0,5.369783478E0
1.719903287E1,9.259594574E0,-5.111271057E0,3.741319885E0
1.744979587E1,1.667083282E0,-6.299799500E0,9.408834229E0
1.770055875E1,7.204518127E0,-7.122638397E0,9.662107544E0
1.795129075E1,7.330855408E0,-4.550836487E0,2.404000854E0
1.820199275E1,2.866688690E0,-7.363936615E0,1.244242584E1
1.845269475E1,3.470682678E0,-1.978136444E0,3.596870270E0
1.870339938E1,1.122066650E0,-5.944438477E0,1.248463806E1
1.895413238E1,6.263574829E0,-7.240293732E0,1.016670822E1
