"Time (s)","X (hPa)"
0.000000000E0,1.007404099E3
1.037462000E0,1.007408142E3
2.076335000E0,1.007412109E3
3.116914000E0,1.007417984E3
4.155615000E0,1.007417984E3
5.196058000E0,1.007408752E3
6.236959000E0,1.007397614E3
7.276016000E0,1.007397614E3
7.361610000E0,1.007390366E3
8.401174000E0,1.007387619E3
9.444009000E0,1.007378311E3
1.048464200E1,1.007376785E3
1.152268300E1,1.007374573E3
1.256255200E1,1.007369308E3
1.360199500E1,1.007354965E3
1.464494600E1,1.007348022E3
1.568419200E1,1.007348022E3
1.672310400E1,1.007356415E3
1.776224400E1,1.007361298E3
1.880271800E1,1.007381973E3
1.984204100E1,1.007406006E3
2.088052400E1,1.007413406E3
2.191805000E1,1.007414474E3
2.295710700E1,1.007420197E3
2.399808200E1,1.007421036E3
2.503813200E1,1.007423553E3
2.607819200E1,1.007434387E3
2.711743400E1,1.007435989E3
2.815634500E1,1.007435989E3
2.919746200E1,1.007435226E3
3.023806500E1,1.007429123E3
3.127672400E1,1.007423935E3
3.231451300E1,1.007423935E3
3.335336700E1,1.007429886E3
3.439248500E1,1.007438431E3
3.543095200E1,1.007450180E3
3.646840800E1,1.007458496E3
3.750540700E1,1.007464905E3
3.854405300E1,1.007474899E3
3.958138700E1,1.007484589E3
4.062000200E1,1.007488937E3
4.165624200E1,1.007488937E3
4.269517500E1,1.007487717E3
4.373367700E1,1.007481613E3
4.477361800E1,1.007476959E3
4.581165000E1,1.007476959E3
4.685272500E1,1.007479248E3
4.788981600E1,1.007483292E3
4.893072100E1,1.007488098E3
4.996825000E1,1.007491608E3
5.100666700E1,1.007491608E3
5.204522200E1,1.007489243E3
5.308460400E1,1.007486115E3
5.412377000E1,1.007486115E3
5.516235200E1,1.007478790E3
5.619990500E1,1.007473907E3
5.723912600E1,1.007463150E3
5.827843400E1,1.007455750E3
5.931849900E1,1.007446136E3
6.035747200E1,1.007446136E3
6.139617200E1,1.007448578E3
6.243580100E1,1.007457123E3
6.347697500E1,1.007472687E3
6.451520300E1,1.007487183E3
6.555372800E1,1.007495956E3
6.659294300E1,1.007502594E3
6.763226200E1,1.007502594E3
6.867079400E1,1.007500610E3
6.970959700E1,1.007496872E3
7.075027900E1,1.007496185E3
7.178765300E1,1.007496185E3
7.282851600E1,1.007496185E3
7.386676300E1,1.007495804E3
7.490599000E1,1.007491455E3
7.594492000E1,1.007491455E3
7.698433000E1,1.007489548E3
7.802566100E1,1.007493744E3
7.906415500E1,1.007496567E3
8.010353600E1,1.007498627E3
8.114330900E1,1.007496567E3
8.218306200E1,1.007495575E3
8.322275000E1,1.007495575E3
8.426045000E1,1.007495575E3
8.530078300E1,1.007493286E3
8.633936600E1,1.007493286E3
8.737733900E1,1.007493286E3
8.841593600E1,1.007488556E3
8.945568300E1,1.007479858E3
9.049401500E1,1.007463074E3
9.153264200E1,1.007450180E3
9.257389800E1,1.007433395E3
9.361348100E1,1.007423935E3
9.465212800E1,1.007419662E3
9.569041700E1,1.007419662E3
9.672969300E1,1.007426987E3
9.776885700E1,1.007433853E3
9.881082600E1,1.007441330E3
9.984945500E1,1.007446671E3
1.008873880E2,1.007458954E3
1.019257340E2,1.007469406E3
1.029659050E2,1.007480545E3
1.040056850E2,1.007485199E3
1.050440060E2,1.007485199E3
1.060830680E2,1.007485962E3
1.071224940E2,1.007481232E3
1.081621610E2,1.007481308E3
1.092006410E2,1.007479630E3
1.102389160E2,1.007481308E3
1.112797100E2,1.007491760E3
1.123176510E2,1.007492523E3
1.133552530E2,1.007501373E3
1.143935090E2,1.007505417E3
1.154343810E2,1.007506104E3
1.164731460E2,1.007506104E3
1.175106700E2,1.007501907E3
1.185491040E2,1.007496414E3
1.195895220E2,1.007492523E3
1.206280170E2,1.007490616E3
1.216665640E2,1.007487640E3
1.227040300E2,1.007477417E3
1.237425970E2,1.007469788E3
1.247813420E2,1.007465515E3
1.258197000E2,1.007465134E3
1.268578700E2,1.007465515E3
1.278963980E2,1.007469635E3
1.289345070E2,1.007473831E3
1.299736270E2,1.007473831E3
1.310121060E2,1.007473068E3
1.320506520E2,1.007473068E3
1.330896070E2,1.007483673E3
1.341282700E2,1.007488785E3
1.351663270E2,1.007494125E3
1.362074500E2,1.007508316E3
1.372449430E2,1.007508545E3
1.382842660E2,1.007510452E3
1.393235870E2,1.007513962E3
1.403624330E2,1.007513962E3
1.414005590E2,1.007514420E3
1.424408840E2,1.007514267E3
1.434791200E2,1.007514420E3
1.445172540E2,1.007516479E3
1.455581650E2,1.007516479E3
1.465957690E2,1.007502899E3
1.476347100E2,1.007494202E3
1.486725330E2,1.007482910E3
1.497113230E2,1.007466965E3
1.507521210E2,1.007466965E3
1.517904070E2,1.007489700E3
1.528284030E2,1.007507706E3
1.538665090E2,1.007525940E3
1.549053850E2,1.007543869E3
1.559461680E2,1.007547379E3
1.569855100E2,1.007550812E3
1.580243750E2,1.007550812E3
1.590623760E2,1.007551117E3
1.601022060E2,1.007553024E3
1.611415430E2,1.007556686E3
1.621814890E2,1.007559357E3
1.632230530E2,1.007564545E3
1.642642420E2,1.007565842E3
1.653050310E2,1.007565842E3
1.663458010E2,1.007565536E3
1.673847800E2,1.007563782E3
1.684257050E2,1.007560272E3
1.694644250E2,1.007559814E3
1.705052280E2,1.007558670E3
1.715458380E2,1.007557983E3
1.725847070E2,1.007555923E3
1.736255690E2,1.007555466E3
1.746641140E2,1.007546387E3
1.757052660E2,1.007544403E3
1.767448660E2,1.007544403E3
1.777840880E2,1.007547379E3
1.788239400E2,1.007548447E3
1.798640370E2,1.007548447E3
1.809016010E2,1.007545853E3
1.819425170E2,1.007543564E3
1.829833450E2,1.007533569E3
1.840242640E2,1.007526474E3
1.850636630E2,1.007520523E3
1.861041950E2,1.007518082E3
1.871428000E2,1.007517624E3
1.881834460E2,1.007517242E3
1.892231570E2,1.007517242E3
1.902641820E2,1.007520142E3
1.913033170E2,1.007528000E3
1.923419540E2,1.007532272E3
1.933819720E2,1.007539444E3
1.944212460E2,1.007549667E3
1.954612910E2,1.007552719E3
1.965008820E2,1.007556305E3
1.975434030E2,1.007557907E3
1.985835670E2,1.007559052E3
1.996249200E2,1.007559052E3
2.006636110E2,1.007564240E3
2.017037370E2,1.007565536E3
2.027407720E2,1.007565536E3
2.037795460E2,1.007563400E3
