"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-9.235794067E-2,-1.450483704E-1,9.890083466E0
4.019770000E-1,-6.481521606E-2,-3.218307495E-2,9.854158173E0
8.039850000E-1,-6.376739502E-2,-4.236190796E-2,9.854906616E0
1.205963625E0,-7.050338745E-2,-5.852828979E-2,9.858050079E0
1.607940625E0,-8.292755127E-2,-6.511459351E-2,9.840835876E0
2.009900000E0,-8.622070312E-2,-4.415817261E-2,9.841584320E0
2.411847000E0,-5.074447632E-2,-4.984634399E-2,9.833201752E0
2.813794000E0,-5.613327026E-2,-3.457809448E-2,9.885443115E0
3.215745083E0,-6.346801758E-2,-4.251159668E-2,9.849218445E0
3.617692083E0,-5.254074097E-2,-6.137237549E-2,9.850415955E0
4.019608333E0,-7.020401001E-2,-5.523513794E-2,9.843380585E0
4.421494333E0,-8.113128662E-2,-4.550537109E-2,9.861492920E0
4.823441333E0,-6.391708374E-2,-4.161346436E-2,9.865684204E0
5.225369250E0,-7.200027466E-2,-4.430786133E-2,9.846973114E0
5.627346250E0,-7.185058594E-2,-4.700225830E-2,9.848170624E0
6.029290958E0,-7.753875732E-2,-4.550537109E-2,9.840835876E0
6.431237958E0,-9.520202637E-2,-6.271957397E-2,9.868977356E0
6.833184958E0,-6.795867920E-2,-5.733078003E-2,9.840536499E0
7.235079458E0,-6.616241455E-2,-6.167175293E-2,9.852511597E0
7.637026458E0,-7.484436035E-2,-6.197113037E-2,9.865085449E0
8.039016958E0,-8.307723999E-2,-4.849914551E-2,9.872120819E0
8.440993958E0,-7.664062500E-2,-4.924758911E-2,9.859996033E0
8.842940958E0,-6.810836792E-2,-6.077362061E-2,9.857750702E0
9.244901000E0,-7.454498291E-2,-5.403762817E-2,9.850715332E0
9.646817000E0,-6.182144165E-2,-5.972579956E-2,9.865534515E0
1.004877613E1,-6.391708374E-2,-3.906875610E-2,9.859696655E0
1.045072313E1,-5.254074097E-2,-4.415817261E-2,9.842632141E0
1.085260913E1,-7.304809570E-2,-4.894821167E-2,9.857301636E0
1.125447583E1,-5.388793945E-2,-5.972579956E-2,9.854607239E0
1.165639283E1,-6.676116943E-2,-6.212081909E-2,9.864486694E0
1.205832088E1,-6.556365967E-2,-2.739303589E-2,9.855505371E0
1.246023787E1,-7.694000244E-2,-3.936813354E-2,9.872569885E0
1.286215388E1,-5.523513794E-2,-5.104385376E-2,9.871522064E0
1.326408471E1,-7.888595581E-2,-5.748046875E-2,9.856253815E0
1.366600171E1,-6.631210327E-2,-3.128494263E-2,9.866582336E0
1.406790033E1,-6.676116943E-2,-3.592529297E-2,9.859996033E0
1.446978633E1,-5.763015747E-2,-3.472778320E-2,9.867929535E0
1.487170233E1,-6.152206421E-2,-4.715194702E-2,9.862840118E0
1.527357483E1,-6.152206421E-2,-2.829116821E-2,9.857301636E0
1.567546083E1,-6.750961304E-2,-5.134323120E-2,9.849817200E0
1.607732850E1,-5.224136353E-2,-5.328918457E-2,9.864935760E0
1.647924550E1,-6.721023560E-2,-3.622467041E-2,9.873318329E0
1.688113150E1,-6.601272583E-2,-4.864883423E-2,9.859546967E0
1.728306008E1,-6.316864014E-2,-3.532653809E-2,9.865384827E0
1.768497708E1,-4.430786133E-2,-5.254074097E-2,9.864786072E0
1.808687008E1,-7.050338745E-2,-5.059478760E-2,9.863738251E0
1.848878708E1,-5.673202515E-2,-4.086502075E-2,9.880802765E0
1.889073408E1,-6.122268677E-2,-5.014572144E-2,9.867031403E0
1.929268946E1,-7.125183105E-2,-4.879852295E-2,9.864935760E0
1.969460546E1,-6.062393188E-2,-4.191284180E-2,9.867630157E0
2.009653646E1,-5.343887329E-2,-4.969665527E-2,9.873767395E0
2.049848346E1,-6.825805664E-2,-5.418731689E-2,9.851314087E0
2.090043046E1,-7.604187012E-2,-6.346801758E-2,9.863289185E0
2.130241146E1,-7.155120850E-2,-4.251159668E-2,9.880353699E0
2.170432746E1,-5.583389282E-2,-4.311035156E-2,9.853110352E0
2.210621796E1,-4.550537109E-2,-5.583389282E-2,9.868378601E0
2.250816496E1,-7.140151978E-2,-2.439926147E-2,9.862989807E0
2.291011196E1,-7.559280396E-2,-4.490661621E-2,9.848619690E0
2.331205721E1,-6.975494385E-2,-5.942642212E-2,9.886191559E0
2.371400421E1,-7.484436035E-2,-7.140151978E-2,9.852511597E0
2.411591013E1,-8.053253174E-2,-4.326004028E-2,9.872869263E0
2.451782613E1,-7.798782349E-2,-4.625381470E-2,9.871671753E0
2.491974312E1,-5.957611084E-2,-3.083587646E-2,9.854906616E0
2.532167663E1,-6.376739502E-2,-3.592529297E-2,9.874964905E0
2.572356263E1,-5.763015747E-2,-5.583389282E-2,9.854307861E0
2.612556100E1,-6.346801758E-2,-3.742218018E-2,9.857601013E0
2.652747800E1,-5.418731689E-2,-4.640350342E-2,9.865384827E0
2.692942500E1,-5.254074097E-2,-4.041595459E-2,9.877958679E0
2.733125850E1,-7.424560547E-2,-3.083587646E-2,9.873767395E0
2.773320550E1,-5.209167480E-2,-3.562591553E-2,9.865085449E0
2.813508575E1,-6.631210327E-2,-3.323089600E-2,9.863887939E0
2.853700275E1,-5.029541016E-2,-4.206253052E-2,9.867031403E0
2.893894975E1,-7.185058594E-2,-4.565505981E-2,9.858798523E0
2.934084608E1,-6.706054688E-2,-4.760101318E-2,9.865983582E0
2.974273208E1,-5.867797852E-2,-5.568420410E-2,9.884245605E0
3.014461975E1,-6.915618896E-2,-4.385879517E-2,9.874515839E0
3.054653675E1,-6.152206421E-2,-4.041595459E-2,9.865534515E0
3.094842837E1,-6.107299805E-2,-3.038681030E-2,9.875563660E0
3.135034438E1,-6.930587769E-2,-2.020797729E-2,9.852212219E0
3.175226138E1,-5.448669434E-2,-3.442840576E-2,9.836195526E0
3.215421546E1,-8.083190918E-2,-5.568420410E-2,9.840686188E0
3.255616246E1,-6.466552734E-2,-6.137237549E-2,9.863139496E0
