"Time (s)","X (hPa)"
0.000000000E0,1.010122986E3
1.036999000E0,1.010122757E3
2.074723000E0,1.010122528E3
3.113602000E0,1.010120316E3
4.152217000E0,1.010118408E3
5.189325000E0,1.010120316E3
6.227663000E0,1.010117569E3
7.265029000E0,1.010113220E3
7.352145000E0,1.010113220E3
8.389603000E0,1.010114136E3
9.427578000E0,1.010114136E3
1.046497400E1,1.010112381E3
1.150276900E1,1.010112152E3
1.254074500E1,1.010111237E3
1.357909300E1,1.010109253E3
1.461682500E1,1.010105362E3
1.565757800E1,1.010099182E3
1.669661700E1,1.010094757E3
1.773565800E1,1.010088043E3
1.877378900E1,1.010082779E3
1.981197000E1,1.010082779E3
2.085060700E1,1.010083618E3
2.188868200E1,1.010084000E3
2.292666300E1,1.010084381E3
2.396498400E1,1.010088730E3
2.500265200E1,1.010089035E3
2.604238000E1,1.010089798E3
2.708035400E1,1.010090790E3
2.811926600E1,1.010092850E3
2.916007300E1,1.010093384E3
3.019874700E1,1.010095367E3
3.123665900E1,1.010096970E3
3.227396300E1,1.010096970E3
3.331233100E1,1.010096817E3
3.435052600E1,1.010095139E3
3.538739900E1,1.010089417E3
3.642467800E1,1.010087585E3
3.746363300E1,1.010085220E3
3.850272900E1,1.010084991E3
3.954027000E1,1.010084991E3
4.057860000E1,1.010085754E3
4.161774200E1,1.010085754E3
4.265675500E1,1.010085754E3
4.369760000E1,1.010086365E3
4.473499500E1,1.010086365E3
4.577348100E1,1.010083771E3
4.681111800E1,1.010083466E3
4.784895100E1,1.010081787E3
4.888744200E1,1.010080185E3
4.992436500E1,1.010079651E3
5.096323000E1,1.010080185E3
5.200071500E1,1.010081558E3
5.303982700E1,1.010085449E3
5.407904800E1,1.010087357E3
5.511690300E1,1.010087357E3
5.615649600E1,1.010086517E3
5.719566600E1,1.010082855E3
5.823419100E1,1.010077286E3
5.927298900E1,1.010072556E3
6.031114400E1,1.010071487E3
6.134890600E1,1.010071487E3
6.238938400E1,1.010071640E3
6.342802100E1,1.010071869E3
6.446677400E1,1.010071869E3
6.550704000E1,1.010065079E3
6.654430400E1,1.010058975E3
6.758305500E1,1.010054703E3
6.861982000E1,1.010048065E3
6.965865100E1,1.010046616E3
7.069699700E1,1.010046616E3
7.173603500E1,1.010046768E3
7.277379500E1,1.010047302E3
7.381225900E1,1.010047684E3
7.485164800E1,1.010047302E3
7.589229200E1,1.010045853E3
7.693154600E1,1.010044785E3
7.797040400E1,1.010041962E3
7.900664100E1,1.010038681E3
8.004401100E1,1.010038681E3
8.108210200E1,1.010037384E3
8.211980200E1,1.010036545E3
8.315933800E1,1.010034790E3
8.419832900E1,1.010034714E3
8.523654300E1,1.010034027E3
8.627458600E1,1.010032730E3
8.731425500E1,1.010032730E3
8.835177800E1,1.010033112E3
8.939004300E1,1.010035934E3
9.042898400E1,1.010038910E3
9.146747900E1,1.010040970E3
9.250469800E1,1.010041962E3
9.354310300E1,1.010041962E3
9.458098700E1,1.010037766E3
9.561780600E1,1.010033722E3
9.665571900E1,1.010030136E3
9.769470200E1,1.010027924E3
9.873257800E1,1.010027924E3
9.977104500E1,1.010029221E3
1.008096870E2,1.010029221E3
1.018486400E2,1.010028687E3
1.028867550E2,1.010026321E3
1.039238190E2,1.010024338E3
1.049628580E2,1.010018997E3
1.060012300E2,1.010017548E3
1.070386310E2,1.010017548E3
1.080776150E2,1.010018463E3
1.091166120E2,1.010020447E3
1.101545900E2,1.010024033E3
1.111931090E2,1.010024338E3
1.122326720E2,1.010024033E3
1.132695090E2,1.010023956E3
1.143080610E2,1.010021210E3
1.153457900E2,1.010016708E3
1.163850460E2,1.010012894E3
1.174229800E2,1.010009689E3
1.184609080E2,1.010008316E3
1.194994480E2,1.010003586E3
1.205375770E2,1.010003586E3
1.215764080E2,1.010003510E3
1.226161490E2,1.010003052E3
1.236543300E2,1.010001144E3
1.246921160E2,1.009999924E3
1.257293220E2,1.009999084E3
1.267678190E2,1.009998016E3
1.278059700E2,1.009997177E3
1.288441770E2,1.009997177E3
1.298818590E2,1.009997253E3
1.309196340E2,1.009997253E3
1.319564800E2,1.009996262E3
1.329940600E2,1.009996033E3
1.340329310E2,1.009993744E3
1.350705920E2,1.009991531E3
1.361086290E2,1.009990387E3
1.371470960E2,1.009989548E3
1.381847890E2,1.009987259E3
1.392231870E2,1.009985504E3
1.402607440E2,1.009982147E3
1.412995450E2,1.009980392E3
1.423374600E2,1.009980392E3
1.433768440E2,1.009984055E3
1.444138420E2,1.009989548E3
1.454516690E2,1.009994278E3
1.464895320E2,1.009994659E3
1.475286870E2,1.009994278E3
1.485668570E2,1.009992447E3
1.496054450E2,1.009986877E3
1.506441230E2,1.009981079E3
1.516827370E2,1.009979095E3
1.527213230E2,1.009978333E3
1.537599080E2,1.009977493E3
1.547980660E2,1.009975128E3
1.558371650E2,1.009975128E3
1.568757450E2,1.009975128E3
1.579133550E2,1.009974365E3
1.589518310E2,1.009969025E3
1.599901200E2,1.009963989E3
1.610284570E2,1.009957047E3
1.620662790E2,1.009952164E3
1.631058350E2,1.009948273E3
1.641441440E2,1.009948196E3
1.651836460E2,1.009948196E3
1.662213310E2,1.009948196E3
1.672602880E2,1.009947510E3
1.682988820E2,1.009946518E3
1.693367130E2,1.009946518E3
1.703743970E2,1.009948273E3
1.714130990E2,1.009950256E3
1.724500760E2,1.009950790E3
1.734886070E2,1.009952011E3
1.745266260E2,1.009952011E3
1.755647560E2,1.009950638E3
1.766020510E2,1.009950485E3
1.776397810E2,1.009950485E3
1.786769330E2,1.009950562E3
1.797154170E2,1.009950562E3
1.807539040E2,1.009951096E3
1.817922710E2,1.009950562E3
1.828303040E2,1.009950562E3
1.838677930E2,1.009948807E3
1.849053090E2,1.009942169E3
1.859425020E2,1.009941254E3
1.869812420E2,1.009939880E3
1.880196580E2,1.009939880E3
1.890582180E2,1.009940109E3
1.900963100E2,1.009943466E3
1.911348200E2,1.009945068E3
1.921729140E2,1.009947815E3
1.932110420E2,1.009948578E3
1.942498180E2,1.009949875E3
1.952893820E2,1.009951630E3
1.963293090E2,1.009951630E3
1.973678230E2,1.009948425E3
1.984068050E2,1.009946136E3
1.994452070E2,1.009945831E3
2.004838800E2,1.009945831E3
2.015206890E2,1.009948959E3
2.025592960E2,1.009951630E3
2.035980600E2,1.009955215E3
2.046367410E2,1.009957581E3
2.056743450E2,1.009957581E3
2.067132400E2,1.009957352E3
2.077518480E2,1.009955673E3
2.087897280E2,1.009954529E3
2.098281940E2,1.009954376E3
2.108672380E2,1.009954453E3
2.119062510E2,1.009954453E3
2.129440210E2,1.009954834E3
2.139810180E2,1.009954834E3
2.150195850E2,1.009954529E3
2.160573830E2,1.009952850E3
2.170954470E2,1.009950638E3
2.181333870E2,1.009950638E3
2.191723980E2,1.009949722E3
2.202122350E2,1.009951324E3
2.212509420E2,1.009949722E3
2.222879750E2,1.009949722E3
2.233257500E2,1.009948502E3
2.243639330E2,1.009946594E3
2.254022160E2,1.009946594E3
2.264397440E2,1.009946594E3
2.274779210E2,1.009947052E3
2.285169050E2,1.009947891E3
2.295550680E2,1.009950867E3
2.305923380E2,1.009950867E3
2.316313010E2,1.009950562E3
2.326696150E2,1.009949341E3
2.337080700E2,1.009949036E3
2.347469700E2,1.009949036E3
2.357854960E2,1.009949036E3
2.368243520E2,1.009949188E3
2.378624050E2,1.009948502E3
2.389013290E2,1.009946060E3
2.399384360E2,1.009945679E3
2.409766880E2,1.009945679E3
2.420140680E2,1.009945602E3
2.430539850E2,1.009945602E3
2.440929540E2,1.009946671E3
2.451312510E2,1.009946671E3
2.461690760E2,1.009946213E3
2.472091560E2,1.009946213E3
2.482484440E2,1.009946823E3
2.492879220E2,1.009946823E3
2.503263830E2,1.009946823E3
2.513653360E2,1.009944992E3
2.524042350E2,1.009942169E3
2.534427560E2,1.009940567E3
2.544815510E2,1.009935837E3
2.555196170E2,1.009934616E3
2.565575070E2,1.009934082E3
2.575960610E2,1.009934616E3
2.586348590E2,1.009934845E3
2.596724990E2,1.009935074E3
2.607106810E2,1.009935074E3
2.617478020E2,1.009935074E3
2.627859090E2,1.009935532E3
2.638242940E2,1.009935684E3
2.648639940E2,1.009935684E3
2.659027380E2,1.009938278E3
2.669399780E2,1.009939728E3
2.679787460E2,1.009943466E3
2.690163140E2,1.009944611E3
2.700545840E2,1.009947205E3
2.710925540E2,1.009947205E3
2.721297710E2,1.009946823E3
2.731689000E2,1.009943085E3
2.742073940E2,1.009942093E3
2.752459660E2,1.009936981E3
2.762847960E2,1.009925919E3
2.773223110E2,1.009919357E3
2.783601260E2,1.009915771E3
2.793991110E2,1.009913330E3
2.804373690E2,1.009913330E3
2.814754600E2,1.009919510E3
2.825125260E2,1.009924316E3
2.835518350E2,1.009926147E3
2.845912930E2,1.009928360E3
2.856293740E2,1.009928589E3
2.866680190E2,1.009929657E3
2.877065690E2,1.009930267E3
2.887463330E2,1.009930573E3
2.897852240E2,1.009930573E3
2.908234300E2,1.009930725E3
2.918622840E2,1.009930725E3
2.928995870E2,1.009930344E3
2.939380110E2,1.009927521E3
2.949766150E2,1.009926987E3
2.960160010E2,1.009925308E3
2.970538540E2,1.009925308E3
2.980919040E2,1.009924698E3
2.991312360E2,1.009925919E3
3.001692380E2,1.009927902E3
3.012076480E2,1.009930725E3
3.022454010E2,1.009931641E3
3.032836150E2,1.009934540E3
3.043223860E2,1.009937515E3
3.053605570E2,1.009937515E3
3.063993890E2,1.009933853E3
3.074374260E2,1.009930115E3
3.084767760E2,1.009924164E3
3.095137100E2,1.009922104E3
3.105528070E2,1.009922104E3
3.115924070E2,1.009923401E3
3.126312840E2,1.009928131E3
3.136681310E2,1.009932709E3
3.147073280E2,1.009932709E3
3.157443260E2,1.009927826E3
3.167820510E2,1.009922333E3
3.178204530E2,1.009916611E3
3.188598000E2,1.009911118E3
3.198979910E2,1.009909592E3
3.209374840E2,1.009909592E3
3.219751180E2,1.009911728E3
3.230144670E2,1.009913177E3
3.240537240E2,1.009915390E3
3.250909350E2,1.009917068E3
3.261294680E2,1.009917068E3
3.271676860E2,1.009915848E3
3.282066670E2,1.009913788E3
3.292452530E2,1.009913101E3
3.302838070E2,1.009910583E3
3.313223670E2,1.009909973E3
3.323605300E2,1.009909973E3
3.333986590E2,1.009909973E3
3.344367200E2,1.009909973E3
3.354745840E2,1.009909134E3
3.365123040E2,1.009905472E3
3.375496740E2,1.009904022E3
3.385876150E2,1.009903793E3
3.396261350E2,1.009903793E3
3.406652600E2,1.009904022E3
3.417029950E2,1.009904022E3
3.427416440E2,1.009904022E3
3.437809490E2,1.009904022E3
3.448190110E2,1.009905930E3
3.458581780E2,1.009907074E3
3.468971920E2,1.009909973E3
3.479355140E2,1.009913025E3
3.489739480E2,1.009915695E3
3.500125550E2,1.009916763E3
3.510508600E2,1.009917297E3
3.520871470E2,1.009917297E3
