"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.000000000E0,-3.189509583E1,-1.268844604E0,-2.481549072E1
2.495420000E-1,-3.189201355E1,-1.213638306E0,-2.480883789E1
4.990840000E-1,-3.199943542E1,-1.259109497E0,-2.484808350E1
7.486576250E-1,-3.172076416E1,-1.236022949E0,-2.502355957E1
9.981996250E-1,-3.224722290E1,-1.290328979E0,-2.478277588E1
1.247772625E0,-3.204663086E1,-1.140945435E0,-2.507592773E1
1.497314625E0,-3.204135132E1,-1.445251465E0,-2.475811768E1
1.746900000E0,-3.208280945E1,-1.335937500E0,-2.487207031E1
1.996442000E0,-3.228367615E1,-1.105377197E0,-2.504388428E1
2.246015000E0,-3.207801819E1,-1.263015747E0,-2.472900391E1
2.495557000E0,-3.208888245E1,-1.324829102E0,-2.504479980E1
2.745134083E0,-3.235488892E1,-1.668914795E0,-2.463488770E1
2.994676083E0,-3.193655396E1,-1.439437866E0,-2.480755615E1
3.244249083E0,-3.193736267E1,-1.249221802E0,-2.470849609E1
3.493791083E0,-3.222198486E1,-1.599411011E0,-2.483093262E1
3.743333333E0,-3.214213562E1,-1.619415283E0,-2.497473145E1
3.992875333E0,-3.226211548E1,-1.236114502E0,-2.472338867E1
4.242448333E0,-3.216085815E1,-1.496414185E0,-2.501550293E1
4.491990333E0,-3.197592163E1,-1.167160034E0,-2.500854492E1
4.741574250E0,-3.175399780E1,-1.253585815E0,-2.501141357E1
4.991116250E0,-3.212733459E1,-1.183227539E0,-2.499731445E1
5.240689250E0,-3.208303833E1,-1.160629272E0,-2.481634521E1
5.490231250E0,-3.181390381E1,-1.505599976E0,-2.506262207E1
5.739801958E0,-3.174009705E1,-1.492767334E0,-2.520678711E1
5.989343958E0,-3.205178833E1,-1.460998535E0,-2.482385254E1
6.238916958E0,-3.195332336E1,-1.043807983E0,-2.482299805E1
6.488489958E0,-3.194029236E1,-1.370941162E0,-2.484783936E1
6.738009458E0,-3.185746765E1,-1.363876343E0,-2.488049316E1
6.987582458E0,-3.195419312E1,-1.617218018E0,-2.468780518E1
7.237124458E0,-3.177136230E1,-1.453826904E0,-2.498541260E1
7.486697458E0,-3.206610107E1,-1.214828491E0,-2.492065430E1
7.736251958E0,-3.192712402E1,-1.473297119E0,-2.484753418E1
7.985824958E0,-3.210342407E1,-1.370223999E0,-2.461999512E1
8.235397958E0,-3.210095215E1,-1.235748291E0,-2.482690430E1
8.484939958E0,-3.185523987E1,-1.187301636E0,-2.485931396E1
8.734495000E0,-3.201986694E1,-1.336166382E0,-2.517181396E1
8.984037000E0,-3.208895874E1,-1.128540039E0,-2.492114258E1
9.233610000E0,-3.195236206E1,-1.494705200E0,-2.461474609E1
9.483182000E0,-3.192276001E1,-1.434936523E0,-2.495721436E1
9.732737125E0,-3.171611023E1,-1.215164185E0,-2.497235107E1
9.982309125E0,-3.188740540E1,-1.571807861E0,-2.501379395E1
1.023185212E1,-3.204995728E1,-1.238815308E0,-2.481494141E1
1.048142412E1,-3.201850891E1,-1.325546265E0,-2.494165039E1
1.073097783E1,-3.186317444E1,-1.498733521E0,-2.497692871E1
1.098051983E1,-3.236149597E1,-1.457427979E0,-2.455493164E1
1.123009283E1,-3.190063477E1,-1.516891479E0,-2.476391602E1
1.147963483E1,-3.197180176E1,-1.360992432E0,-2.486364746E1
1.172921988E1,-3.211956787E1,-1.175933838E0,-2.479724121E1
1.197879288E1,-3.203410339E1,-1.284179688E0,-2.452429199E1
1.222833487E1,-3.199044800E1,-1.146896362E0,-2.480932617E1
1.247790787E1,-3.217559814E1,-1.484176636E0,-2.474371338E1
1.272746471E1,-3.175015259E1,-1.340576172E0,-2.476715088E1
1.297700671E1,-3.211802673E1,-1.195434570E0,-2.467858887E1
1.322657971E1,-3.183982849E1,-1.351287842E0,-2.493896484E1
1.347612171E1,-3.237767029E1,-1.326492310E0,-2.480432129E1
1.372570733E1,-3.167782593E1,-1.139221191E0,-2.473590088E1
1.397527933E1,-3.171949768E1,-1.238296509E0,-2.489959717E1
1.422482133E1,-3.195660400E1,-1.364273071E0,-2.474658203E1
1.447439433E1,-3.193179321E1,-1.234893799E0,-2.458850098E1
1.472395383E1,-3.177334595E1,-1.274169922E0,-2.462127686E1
1.497349583E1,-3.172068787E1,-1.319732666E0,-2.516510010E1
1.522306883E1,-3.180514526E1,-1.239624023E0,-2.485119629E1
1.547261083E1,-3.188383484E1,-9.201049805E-1,-2.477087402E1
1.572216550E1,-3.191326904E1,-1.332565308E0,-2.478546143E1
1.597173850E1,-3.175112915E1,-1.184494019E0,-2.484753418E1
1.622128050E1,-3.205464172E1,-1.236572266E0,-2.467755127E1
1.647085350E1,-3.187506104E1,-1.353942871E0,-2.475769043E1
1.672043808E1,-3.169261169E1,-1.315994263E0,-2.480676270E1
1.696998108E1,-3.229209900E1,-1.099533081E0,-2.466442871E1
