"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.552641754E0,5.448968811E0,7.685767365E0
3.002780000E-1,-1.946252747E0,4.666096802E0,8.682394867E0
7.006080000E-1,-1.007255402E0,3.994892578E0,8.915909271E0
1.100846000E0,-6.218069458E-1,3.276087341E0,9.327104187E0
1.501165250E0,2.404000854E-1,2.828518066E0,9.166937256E0
1.901434250E0,3.386258240E0,4.427343292E0,9.191935272E0
2.301699500E0,2.827769623E0,1.711540833E0,9.373807068E0
2.701998500E0,2.365979919E0,1.478475494E0,9.629774780E0
3.102297500E0,2.212249603E0,1.353036346E0,9.326505432E0
3.502648875E0,2.239942017E0,1.366807709E0,9.586365051E0
3.902947875E0,2.144141235E0,1.287772064E0,9.684261475E0
4.303239250E0,2.215093689E0,1.460812225E0,9.875563660E0
4.703539250E0,2.457290039E0,1.506317596E0,9.976453857E0
5.103838250E0,2.179467773E0,1.450184326E0,9.400002594E0
5.504146125E0,2.271975403E0,1.410965881E0,9.609117737E0
5.904445125E0,2.232307892E0,1.194515991E0,9.837093658E0
6.304715917E0,2.242636414E0,1.360670471E0,9.725725250E0
6.705014917E0,2.262545013E0,1.539847870E0,8.855734406E0
7.105313917E0,2.465373230E0,1.535057831E0,9.821975098E0
7.505632875E0,2.151176605E0,1.304686890E0,9.052275696E0
7.905931875E0,2.577041016E0,1.410965881E0,1.036429733E1
8.306233125E0,1.911524963E0,1.210382996E0,9.265282745E0
8.706532125E0,2.602637787E0,1.469793549E0,1.020442978E1
9.106831125E0,2.157313843E0,1.386865997E0,8.929381256E0
9.507141875E0,2.623444519E0,1.590891724E0,1.000025436E1
9.907470875E0,2.180665283E0,1.151705017E0,9.325756989E0
1.030780263E1,2.310295715E0,1.045426025E0,1.008213409E1
1.070807162E1,2.229314117E0,1.116228790E0,9.360335083E0
1.110837062E1,2.372266846E0,1.892813873E0,9.773475952E0
1.150869437E1,2.412682800E0,1.511856079E0,9.248517609E0
1.190899338E1,2.506537628E0,1.304986267E0,9.836494904E0
1.230933254E1,2.286794586E0,1.221459961E0,9.481732635E0
1.270969354E1,2.322570190E0,1.345851288E0,9.585167542E0
1.311011454E1,2.292333069E0,1.359472961E0,9.478289795E0
1.351053362E1,2.433788910E0,1.351689148E0,9.409732361E0
1.391098462E1,2.449356537E0,1.327589264E0,9.337432709E0
1.431139000E1,2.471211090E0,1.505269775E0,9.622290344E0
1.471178100E1,2.570155334E0,1.560205536E0,9.220076752E0
1.511208000E1,1.814676361E0,1.184486847E0,1.016266663E1
1.551236475E1,1.564845886E0,1.438059540E0,9.662706299E0
1.591269475E1,1.740281067E0,1.755249939E0,9.085955658E0
1.631302842E1,1.722318420E0,1.033750305E0,1.003543121E1
1.671335742E1,2.915038147E0,1.342707825E0,8.960815887E0
1.711368742E1,2.404449921E0,9.177415466E-1,1.009306137E1
1.751408450E1,2.538121948E0,9.386979675E-1,9.335337067E0
1.791447550E1,1.839674377E-1,6.544390869E-1,9.651329956E0
1.831485792E1,1.711241455E0,8.834628296E-1,9.554481354E0
1.871524892E1,1.764979706E0,9.831555176E-1,9.854906616E0
1.911560892E1,1.826352081E0,1.021326141E0,9.593101044E0
1.951597779E1,1.789079590E0,1.008602600E0,9.475146332E0
1.991633779E1,1.766177216E0,1.129551086E0,9.660011902E0
2.031670025E1,1.871109009E0,9.494755554E-1,9.513316956E0
2.071703025E1,1.749711456E0,1.066382446E0,1.014455429E1
2.111739025E1,1.882335663E0,1.039288788E0,9.482181702E0
2.151773413E1,1.951940918E0,1.078207855E0,9.725276184E0
2.191809513E1,1.660796356E0,1.028062134E0,9.596244507E0
