"Time (s)","X (hPa)"
0.000000000E0,1.008552094E3
1.040669000E0,1.008550720E3
2.081529000E0,1.008551712E3
3.122353000E0,1.008549271E3
4.163126000E0,1.008548737E3
5.203931000E0,1.008545380E3
6.244508000E0,1.008545380E3
7.285526000E0,1.008545532E3
7.367957000E0,1.008554382E3
8.408729000E0,1.008555908E3
9.449587000E0,1.008557053E3
1.049033800E1,1.008557053E3
1.153168700E1,1.008554153E3
1.257055100E1,1.008546295E3
1.361152100E1,1.008537979E3
1.465211400E1,1.008524399E3
1.569319700E1,1.008511276E3
1.673414400E1,1.008490143E3
1.777519900E1,1.008464050E3
1.881594300E1,1.008438339E3
1.985685100E1,1.008419952E3
2.089790400E1,1.008410339E3
2.193881600E1,1.008410339E3
2.298002300E1,1.008421631E3
2.402104800E1,1.008438873E3
2.506232600E1,1.008452225E3
2.610359300E1,1.008464432E3
2.714474000E1,1.008485565E3
2.818615300E1,1.008505859E3
2.922695000E1,1.008523560E3
3.026810400E1,1.008542633E3
3.130910300E1,1.008563080E3
3.235010600E1,1.008573761E3
3.339088900E1,1.008584900E3
3.443160200E1,1.008605347E3
3.547264900E1,1.008625565E3
3.651342700E1,1.008655472E3
3.755421200E1,1.008692474E3
3.859505100E1,1.008726654E3
3.963601600E1,1.008752899E3
4.067679800E1,1.008777466E3
4.171771700E1,1.008798523E3
4.275834500E1,1.008813171E3
4.379955300E1,1.008827667E3
4.484020600E1,1.008848267E3
4.588099000E1,1.008869629E3
4.692214900E1,1.008891525E3
4.796268700E1,1.008894272E3
4.900408900E1,1.008894272E3
5.004444200E1,1.008885651E3
5.108525700E1,1.008877258E3
5.212604600E1,1.008877258E3
5.316699000E1,1.008882141E3
5.420769600E1,1.008925476E3
5.524851500E1,1.008992386E3
5.628876400E1,1.009076462E3
5.732823100E1,1.009173431E3
5.836885900E1,1.009278336E3
5.940989000E1,1.009391403E3
6.045071700E1,1.009513931E3
6.149082600E1,1.009637833E3
6.253081700E1,1.009748688E3
6.357169600E1,1.009834518E3
6.461265900E1,1.009893646E3
6.565374300E1,1.009893646E3
6.669475800E1,1.009893646E3
6.773569600E1,1.009862976E3
6.877673500E1,1.009825897E3
6.981768800E1,1.009781570E3
7.085870700E1,1.009746094E3
7.189926000E1,1.009676514E3
7.294011300E1,1.009592590E3
7.398063800E1,1.009503937E3
7.502119900E1,1.009405594E3
7.606173300E1,1.009304504E3
7.710191100E1,1.009212265E3
