"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,5.229330325E1,4.968719756E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
7.383107901E0,5.229279896E1,4.969282345E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.519230760E3,1.519230760E3
7.422102928E0,5.229279779E1,4.969283654E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.519231521E3,1.519231521E3
9.787678003E0,5.229289525E1,4.969242225E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
1.139759696E1,5.229294471E1,4.969216200E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
3.194926894E1,5.228426177E1,4.970989875E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
3.197855198E1,5.228108831E1,4.971464327E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
3.352517295E1,5.227888795E1,4.972464506E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
3.355416799E1,5.227786880E1,4.972937244E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
4.392501998E1,5.228374609E1,4.981634610E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.463980675E3,1.463980675E3
4.395444989E1,5.228734969E1,4.986009219E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.463981089E3,1.463981089E3
4.833039796E1,5.228894750E1,4.983253736E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.472954928E3,1.472954928E3
4.952177691E1,5.229008106E1,4.981290536E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.473633755E3,1.473633755E3
4.956833291E1,5.229084370E1,4.979967140E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.473634800E3,1.473634800E3
4.968749499E1,5.229133630E1,4.979112516E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.473641645E3,1.473641645E3
4.975769293E1,5.229165672E1,4.978556498E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.473644021E3,1.473644021E3
5.015013194E1,5.229185688E1,4.978209841E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.473718219E3,1.473718219E3
5.015907598E1,5.229199557E1,4.977968807E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.473718257E3,1.473718257E3
5.173125696E1,5.229204967E1,4.977877960E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.474904218E3,1.474904218E3
5.379329395E1,5.229207511E1,4.977836670E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.476946490E3,1.476946490E3
5.444379795E1,5.228480431E1,4.976558214E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
6.683442199E1,5.228226458E1,4.984393264E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.486286267E3,1.486286267E3
6.701413989E1,5.228112903E1,4.988204063E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.486301721E3,1.486301721E3
6.701896191E1,5.228053013E1,4.990218645E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.486301732E3,1.486301732E3
6.744108999E1,5.228020187E1,4.991311569E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.486386952E3,1.486386952E3
8.243522096E1,5.227972188E1,4.992592899E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.582000000E3,1.582000000E3
1.334051219E2,5.227954185E1,4.993183553E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.582000000E3,1.582000000E3
1.334140019E2,5.227969682E1,4.992842091E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.582000000E3,1.582000000E3
1.335518390E2,5.226555320E1,4.993885225E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.582007930E3,1.582007930E3
1.340032569E2,5.225751739E1,4.994481524E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.582092968E3,1.582092968E3
1.363070430E2,5.226129397E1,4.983604017E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.584298187E3,1.584298187E3
1.363410330E2,5.226331455E1,4.977798713E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.584298676E3,1.584298676E3
1.419322690E2,5.225316136E1,4.986611852E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.597222596E3,1.597222596E3
1.419501809E2,5.224630032E1,4.992561862E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.597222734E3,1.597222734E3
1.900259229E2,5.224316188E1,5.005377009E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,2.402462341E3,2.402462341E3
1.900571489E2,5.224560557E1,5.008868984E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,2.402462627E3,2.402462627E3
2.079476019E2,5.223098969E1,5.008083086E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
2.079744819E2,5.222872889E1,5.007772850E0,6.120866537E-2,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
2.220064640E2,5.222429112E1,5.004773612E0,-3.337347507E-1,-1.000000000E0,-1.000000000E0,1.650000000E2,1.650000000E2
2.232070570E2,5.222421662E1,5.004756718E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.650000000E2,1.650000000E2
2.367849289E2,5.222350585E1,5.005148665E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,5.051665233E2,5.051665233E2
2.368179049E2,5.222384000E1,5.005411174E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,5.051678858E2,5.051678858E2
2.380323169E2,5.222378277E1,5.005441762E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,5.070069023E2,5.070069023E2
2.380484949E2,5.222378201E1,5.005442166E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,5.070072318E2,5.070072318E2
2.830375949E2,5.221109209E1,5.002456733E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.670521303E3,1.670521303E3
2.830688369E2,5.220607070E1,4.996917653E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.670521666E3,1.670521666E3
