"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-6.620732117E0,6.784940643E0,1.013766861E1
4.015720000E-1,-2.265987854E0,4.854554901E0,6.574927368E0
8.031230000E-1,-1.462309113E0,2.736160126E0,7.923922119E0
1.204697625E0,-1.454674988E0,4.385729828E0,1.143232635E1
1.606247625E0,1.026714935E0,4.830005951E0,9.303453369E0
2.007828625E0,-1.766326904E-1,3.511547699E0,4.894372101E0
2.409382292E0,-7.128176880E-1,5.248834991E0,4.146676941E0
2.810933292E0,7.158114624E-1,-9.421408081E-1,1.210278214E1
3.212444417E0,-8.397537231E-2,5.522615662E0,1.114597183E1
3.613995417E0,7.955955505E-1,4.287084961E0,4.680017853E0
4.015484417E0,-9.452842712E-1,2.697989502E0,8.159981232E0
4.417046417E0,-6.055956573E0,4.421355743E0,1.185579575E1
4.818565417E0,-5.309159546E0,5.379812622E0,7.694898376E0
5.220083167E0,-2.422562256E0,3.700305176E0,3.328777771E0
5.621602167E0,-6.159541168E0,3.332220612E0,7.611222382E0
6.023092167E0,-6.240522766E0,7.239245911E0,1.073402847E1
6.424576125E0,-1.968556366E0,5.216801605E0,5.559289398E0
6.826096125E0,-4.331991577E0,4.440815277E0,5.576503601E0
7.227568792E0,-4.722679138E0,8.278235321E0,6.823859711E0
7.629057792E0,-4.651427307E0,6.515800323E0,6.236481171E0
8.030547792E0,-3.372187500E0,4.336931305E0,3.258274384E0
8.432072375E0,-1.637444916E0,4.544250183E0,7.454198914E0
8.833623375E0,-2.581082611E0,6.099515991E0,6.753655701E0
9.235080167E0,-1.344653778E0,4.837191010E0,4.424050140E0
9.636631167E0,3.564836884E0,1.725312195E0,1.275467651E1
1.003808917E1,-1.931583252E0,1.953886871E0,1.005099884E1
1.043959388E1,-5.016817474E0,2.773582306E0,7.133116608E0
1.084108287E1,-5.395529938E0,4.973856812E0,9.795929260E0
1.124261863E1,-3.331023102E0,4.026476898E0,6.217171326E0
1.164413863E1,-5.366789703E0,1.473984833E0,1.045261368E1
1.204565863E1,-4.978497162E0,1.592987366E0,8.195158081E0
1.244716762E1,-4.266577606E0,2.530338135E0,8.850495300E0
1.284868763E1,-4.496649170E0,2.049987030E0,8.536148987E0
1.325017917E1,-4.430486755E0,3.136727142E0,8.442294159E0
1.365163817E1,-4.359983368E0,3.097059631E0,8.390651550E0
1.405309717E1,-3.918102264E0,2.908451843E0,8.435857544E0
1.445453754E1,-4.137845306E0,3.090173950E0,8.067922668E0
1.485596554E1,-3.994593201E0,2.694097595E0,8.600664825E0
1.525747325E1,-4.110751648E0,2.885998535E0,8.302933960E0
1.565896225E1,-4.304748230E0,2.817441101E0,8.547525330E0
1.606045125E1,-4.115391998E0,3.071163483E0,8.469986572E0
1.646193175E1,-4.106859741E0,2.922372894E0,8.335416412E0
1.686338975E1,-4.138593750E0,2.978506165E0,7.672894135E0
1.726489675E1,-4.050427094E0,2.550546112E0,8.765172729E0
1.766635575E1,-4.050576782E0,2.947520599E0,7.981402588E0
1.806781475E1,-4.302353210E0,2.906954956E0,8.464148712E0
1.846922387E1,-4.504882050E0,2.927013245E0,8.323740692E0
1.887065187E1,-4.546495514E0,3.101999359E0,8.184679871E0
1.927208225E1,-4.367617493E0,3.184028778E0,7.995173950E0
1.967347925E1,-4.393513641E0,3.134481812E0,8.310268707E0
2.007493825E1,-4.320914612E0,3.033441925E0,8.379424896E0
2.047641825E1,-4.307592316E0,2.927612000E0,8.216713257E0
2.087778525E1,-3.937561798E0,2.910397797E0,8.411458282E0
2.127915300E1,-4.228856049E0,2.998115387E0,8.189170532E0
2.168052000E1,-4.207151184E0,2.828967133E0,8.181536407E0
2.208188800E1,-4.418361969E0,2.519560547E0,8.426576843E0
2.248322075E1,-4.121529236E0,2.753074951E0,8.479117584E0
2.288452675E1,-4.227957916E0,2.420017548E0,8.454418945E0
2.328578613E1,-4.227209473E0,2.491718445E0,8.647667084E0
2.368709213E1,-4.136198730E0,2.482587433E0,8.536148987E0
2.408839813E1,-4.282893677E0,2.537972260E0,8.597072296E0
2.448971013E1,-4.170627136E0,2.475552063E0,8.438851318E0
2.489098612E1,-4.196223907E0,2.414628754E0,8.422235870E0
