"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.000000000E0,-1.025364685E1,-1.994427490E1,-3.832226562E1
2.495720000E-1,-1.550515747E1,-1.471244812E1,-3.955847168E1
4.991760000E-1,-1.699061584E1,-1.242036438E1,-4.009460449E1
7.487480000E-1,-1.751776123E1,-1.431958008E1,-3.926391602E1
9.983456250E-1,-1.689582825E1,-1.415849304E1,-3.916448975E1
1.247948625E0,-2.200445557E1,-1.031985474E1,-3.909967041E1
1.497521625E0,-2.256481934E1,-6.449264526E0,-3.975689697E1
1.747094625E0,-1.942649841E1,-1.240771484E1,-3.956085205E1
1.996701292E0,-1.959683228E1,-1.610171509E1,-3.805181885E1
2.246274292E0,-8.995864868E0,-2.658056641E1,-3.391522217E1
2.495877292E0,-1.697735596E1,-1.356849670E1,-3.990789795E1
2.745450292E0,-2.360974121E1,-8.892532349E0,-3.845642090E1
2.995045417E0,-2.044000244E1,-1.128880310E1,-3.918981934E1
3.244618417E0,-2.364695740E1,-1.057206726E1,-3.754095459E1
3.494191417E0,-2.436750793E1,-1.470210266E1,-3.621661377E1
3.743794417E0,-1.386737061E1,-1.504379272E1,-4.041943359E1
3.993348417E0,-8.271530151E0,-1.752409363E1,-4.043859863E1
4.242951417E0,-4.301940918E0,-1.580677795E1,-4.192700195E1
4.492524417E0,-6.671371460E0,-1.281843567E1,-4.306939697E1
4.742127417E0,-7.631988525E-1,-1.163296509E1,-4.358642578E1
4.991728167E0,-5.628036499E0,-1.942910767E1,-4.070410156E1
5.241331167E0,-5.162170410E0,-1.967785645E1,-4.081024170E1
5.490904167E0,-3.491165161E0,-1.724707031E1,-4.222772217E1
5.740507167E0,4.548965454E0,-7.871612549E0,-4.492456055E1
5.990075125E0,1.125711060E1,-4.300033569E0,-4.415124512E1
6.239678125E0,9.273956299E0,-4.914062500E0,-4.515930176E1
6.489251125E0,4.058609009E0,-9.809036255E0,-4.528704834E1
6.738824125E0,6.493835449E0,-1.494822693E1,-4.362841797E1
6.988410792E0,4.371246338E0,-1.438183594E1,-4.431506348E1
7.237983792E0,4.911865234E0,-1.708233643E1,-4.358227539E1
7.487586792E0,1.165275574E1,-1.523812866E1,-4.286395264E1
7.737159792E0,1.249723816E1,-1.646481323E1,-4.217944336E1
7.986768375E0,1.318228149E1,-1.559951782E1,-4.236816406E1
