,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0,1.559654092e+18,-2.806813202,5.851182404,7.19838089
1,1.5596540924e+18,-1.573827209,5.731431427,7.51661911
2,1.5596540928e+18,-0.07095245361,5.438340912,9.420509949
3,1.5596540932e+18,3.341201935,0.2671943665,0.8406518555
4,1.55965409361e+18,10.28136978,-9.76314743,4.016447754
5,1.55965409401e+18,9.418414307,-9.315877533,0.05882766724
6,1.55965409441e+18,4.910388794,-5.396727448,0.06212081909
7,1.55965409481e+18,7.785310364,-9.170679474,-0.8726852417
8,1.55965409521e+18,7.139553223,-8.283175049,0.757275238
9,1.55965409561e+18,5.89953186,-9.78305603,0.1600172424
10,1.55965409602e+18,7.17263443,-6.404431915,0.2112107849
11,1.55965409642e+18,9.031169586,-10.34064651,1.892514496
12,1.55965409682e+18,3.094963989,-12.46053818,0.3432362366
13,1.55965409722e+18,8.408913574,-9.325158234,0.1689985657
14,1.55965409762e+18,5.925577698,-9.410929871,0.5909710693
15,1.55965409802e+18,7.920778656,-11.52558243,1.62292511
16,1.55965409843e+18,5.766009521,-6.562952271,1.470991058
17,1.55965409883e+18,10.86755081,-8.693471832,0.1267863464
18,1.55965409923e+18,4.102668457,-6.043083344,-1.059047699
19,1.55965409963e+18,5.449417877,-6.776109009,1.205293579
20,1.55965410003e+18,10.22209305,-6.314169617,0.8421487427
21,1.55965410043e+18,5.006488953,-8.112529907,-1.104403381
22,1.55965410084e+18,6.648873596,-6.472689972,0.4938230896
23,1.55965410124e+18,7.884104919,-9.042994995,0.6718029785
24,1.55965410164e+18,2.577789459,-11.16722763,1.332828369
25,1.55965410204e+18,9.046138458,-9.177864532,1.194066925
26,1.55965410244e+18,5.278323669,-8.448281708,1.636696472
27,1.55965410284e+18,6.178701324,-8.617879028,0.008382568359
28,1.55965410324e+18,7.849077759,-7.938142548,0.2869532776
29,1.55965410365e+18,1.28941864,-13.99873947,0.9307644653
30,1.55965410405e+18,9.730814667,-6.859485626,0.9831555176
31,1.55965410445e+18,7.944579163,-10.4018692,3.212469635
32,1.55965410485e+18,4.263134766,-7.601193237,0.6560856628
33,1.55965410525e+18,8.532107391,-9.320368195,1.826950836
34,1.55965410565e+18,5.602848816,-9.112300873,0.6665638733
35,1.55965410606e+18,7.608078918,-10.96305222,2.207609253
36,1.55965410646e+18,5.771098938,-6.836732941,1.44509491
37,1.55965410686e+18,8.327183533,-9.410031738,-0.7949967957
38,1.55965410726e+18,4.04967865,-7.477550354,0.04400848389
39,1.55965410766e+18,5.903274078,-6.919660492,2.182760925
40,1.55965410806e+18,7.256011047,-7.255412292,-0.06915618896
41,1.55965410847e+18,3.384761353,-11.05406296,1.360071716
42,1.55965410887e+18,8.48076416,-8.762478333,1.563648376
43,1.55965410927e+18,6.934779053,-8.680149536,1.662143555
44,1.55965410967e+18,5.910309448,-10.27792694,0.9569599915
45,1.55965411007e+18,7.992778931,-8.234825592,0.6520440674
46,1.55965411047e+18,6.845115509,-12.84074753,3.459755402
47,1.55965411087e+18,9.534722443,-7.964338074,-0.6819818115
48,1.55965411128e+18,7.992180176,-9.3747052,0.9008267212
49,1.55965411168e+18,4.479584656,-7.23460556,-0.190254364
50,1.55965411208e+18,10.79764618,-11.24341919,1.741478577
51,1.55965411248e+18,6.356531525,-8.093669128,1.436412964
52,1.55965411288e+18,9.572444,-10.87503525,2.6502388
53,1.55965411328e+18,7.073241119,-5.711971893,3.355272675
54,1.55965411369e+18,9.109905853,-6.231242065,0.2040257263
55,1.55965411409e+18,5.146747284,-6.021827545,0.3094065857
56,1.55965411449e+18,8.956025848,-7.144942017,1.717977448
57,1.55965411489e+18,11.81567917,-7.93200531,1.0285112
58,1.55965411529e+18,5.652545471,-5.598956909,1.08464447
59,1.55965411569e+18,6.325545959,-8.361013184,1.59134079
60,1.55965411609e+18,6.914122009,-8.072113953,0.05269042969
61,1.5596541165e+18,4.564158783,-11.29925308,1.958078156
62,1.5596541169e+18,8.335266724,-9.497749329,1.953737183
63,1.5596541173e+18,8.088879089,-8.880283356,1.084345093
64,1.5596541177e+18,4.518803101,-9.59819046,1.884431305
65,1.5596541181e+18,10.70918015,-8.980275421,2.224973145
66,1.5596541185e+18,5.54147644,-8.349636841,2.498903503
67,1.55965411891e+18,5.748945007,-7.756420441,0.1410067749
68,1.55965411931e+18,7.714657288,-9.993518372,0.937350769
69,1.55965411971e+18,6.224057007,-9.223369904,2.599194946
70,1.55965412011e+18,5.664520569,-8.936716003,0.4216731262
71,1.55965412051e+18,7.81734375,-7.965385895,-0.6685098267
72,1.55965412091e+18,3.813918915,-6.047124939,0.07619155884
73,1.55965412131e+18,7.784861298,-9.467063141,2.804418182
74,1.55965412172e+18,7.493567047,-7.59146347,1.363963623
75,1.55965412212e+18,7.411387939,-11.46630569,-0.001945953369
76,1.55965412252e+18,4.619393921,-10.69031937,1.863175507
77,1.55965412292e+18,4.125121765,-7.313491516,2.066303101
78,1.55965412332e+18,6.566245422,-8.386310577,0.3405418396
79,1.55965412372e+18,4.790188751,-13.23906921,1.867217102
80,1.55965412413e+18,9.007069702,-6.049070892,-0.1863624573
81,1.55965412453e+18,5.722001038,-8.810977478,-0.02784210205
82,1.55965412493e+18,5.893095245,-12.24453735,0.8372090149
83,1.55965412533e+18,7.907755737,-6.897955627,-0.7373666382
84,1.55965412573e+18,5.965843964,-8.215515747,1.788181458
85,1.55965412613e+18,3.432512054,-10.33136581,-0.1568737793
86,1.55965412653e+18,8.048014069,-5.754782867,1.747915192
87,1.55965412694e+18,6.480922852,-11.77750854,2.634521484
88,1.55965412734e+18,5.418282623,-8.120463409,0.9648934937
89,1.55965412774e+18,7.749684448,-7.238796844,0.4864883423
90,1.55965412814e+18,6.124963074,-4.860991516,-1.511856079
91,1.55965412854e+18,4.222269745,-6.652166748,0.1330732727
92,1.55965412894e+18,9.1278685,-9.408834229,0.3629951477
93,1.55965412935e+18,5.49118103,-8.490344238,1.30932724
94,1.55965412975e+18,7.244335327,-10.66502197,2.901715851
95,1.55965413015e+18,6.981182556,-6.841822357,2.493065643
96,1.55965413055e+18,6.52088974,-9.825717316,1.089135132
97,1.55965413095e+18,5.864205322,-9.010961609,1.27190506
98,1.55965413135e+18,9.68830307,-11.24820923,-0.2094145203
99,1.55965413175e+18,7.46048584,-9.697583771,1.064885559
100,1.55965413216e+18,4.980592804,-8.857979736,0.0462538147
101,1.55965413256e+18,7.815996552,-8.642427979,2.379601593
102,1.55965413296e+18,6.040987701,-12.76784912,2.583627319
103,1.55965413336e+18,5.716312866,-10.32732422,1.144220581
104,1.55965413376e+18,7.172933807,-9.479038239,0.3201841736
105,1.55965413416e+18,1.291963348,-10.23287064,1.880689087
106,1.55965413457e+18,12.13870743,-10.96290253,1.3947995
107,1.55965413497e+18,5.699398041,-9.266330566,1.344504089
108,1.55965413537e+18,4.29427002,-7.328909454,-0.1510359192
109,1.55965413577e+18,7.279212799,-10.03438339,0.7788304138
110,1.55965413617e+18,5.2606604,-7.207062836,-1.31052475
111,1.55965413657e+18,6.731950836,-10.01776794,0.6691085815
112,1.55965413697e+18,4.363126831,-7.373067627,2.689157867
113,1.55965413738e+18,10.15548157,-8.481512604,-0.09355545044
114,1.55965413778e+18,2.924169159,-5.61168045,-1.623074799
115,1.55965413818e+18,7.664511566,-10.1337767,4.75291626
116,1.55965413858e+18,8.03259613,-9.070837097,0.4435276794
117,1.55965413898e+18,6.500532074,-8.161029053,0.726738739
118,1.55965413938e+18,5.376220093,-8.184081116,-0.2514770508
119,1.55965413979e+18,9.396859131,-8.138875122,1.267414398
120,1.55965414019e+18,1.860331421,-12.12373856,1.216220856
121,1.55965414059e+18,11.72391998,-10.37761963,1.552571411
122,1.55965414099e+18,6.40383316,-10.09021729,2.197131042
123,1.55965414139e+18,5.61287796,-9.937235413,0.07933502197
124,1.55965414179e+18,7.036118317,-7.676486664,-0.4031117249
125,1.55965414219e+18,3.473676453,-12.29198868,1.419797516
126,1.5596541426e+18,5.738466797,-8.076305237,1.011446686
127,1.559654143e+18,8.267008667,-10.384655,0.1032852173
128,1.5596541434e+18,4.500241699,-5.167554016,-1.524429932
129,1.5596541438e+18,5.506149902,-7.694898376,1.422641602
130,1.5596541442e+18,9.789043579,-8.815767517,1.836231537
131,1.5596541446e+18,3.914210358,-6.240822144,-1.152603149
132,1.55965414501e+18,4.625830536,-6.42029892,0.3784130859
133,1.55965414541e+18,9.766590271,-12.41967316,1.654808807
134,1.55965414581e+18,0.5794450378,-13.40417587,1.594184875
135,1.55965414621e+18,5.846242676,-7.889493713,0.6246510315
136,1.55965414661e+18,7.922574921,-10.31669632,3.365601196
137,1.55965414701e+18,4.174369354,-10.92173813,0.3637435913
138,1.55965414742e+18,9.308393097,-9.166188812,1.066382446
139,1.55965414782e+18,5.20452713,-12.30950226,2.109114075
140,1.55965414822e+18,8.282426605,-8.898994446,-0.1975891113
141,1.55965414862e+18,8.905431061,-9.136700134,1.24376358
142,1.55965414902e+18,0.4595443726,-10.70079758,2.193388824
143,1.55965414942e+18,9.741891632,-9.54085968,0.7514373779
144,1.55965414982e+18,6.971003723,-9.439520416,1.534758453
145,1.55965415023e+18,8.093369751,-9.231153717,1.000519409
146,1.55965415063e+18,6.231990509,-5.40810379,1.497485962
147,1.55965415103e+18,10.6740033,-11.16617981,1.197509766
148,1.55965415143e+18,6.171965332,-4.792284393,-1.715133362
149,1.55965415183e+18,7.83021698,-8.883875885,0.9623487854
150,1.55965415223e+18,9.569300537,-9.199868774,0.1742376709
151,1.55965415264e+18,5.538332977,-7.031477966,0.9249266052
152,1.55965415304e+18,5.624403992,-7.295977936,-0.1633103943
153,1.55965415344e+18,7.783514099,-6.633455658,2.090702362
154,1.55965415384e+18,5.347629547,-13.96071854,0.03218307495
155,1.55965415424e+18,8.796008606,-7.919581146,0.5357359314
156,1.55965415464e+18,7.543413391,-9.529633026,0.3195854187
157,1.55965415504e+18,2.806962891,-9.837842102,0.6258485413
158,1.55965415545e+18,7.207960968,-8.83881958,1.900447998
159,1.55965415585e+18,8.093220062,-14.90749969,1.86631897
160,1.55965415625e+18,5.152136078,-8.632249146,0.9882449341
161,1.55965415665e+18,8.104446716,-8.336613922,-0.6273454285
162,1.55965415705e+18,3.241209869,-9.538764038,0.4966671753
163,1.55965415745e+18,7.456294556,-6.358178101,2.677781525
164,1.55965415785e+18,8.876690826,-10.2333197,-0.2636018372
165,1.55965415826e+18,3.17564621,-7.709268494,-0.2239343262
166,1.55965415866e+18,5.998775482,-6.631958771,2.857857056
167,1.55965415906e+18,8.056845703,-11.69772446,0.2005828857
168,1.55965415946e+18,9.525441742,-13.80025223,0.703686676
169,1.55965415986e+18,6.869963837,-5.437891846,-1.017733612
170,1.55965416026e+18,7.516469421,-9.570797424,1.122815094
171,1.55965416066e+18,3.633993073,-10.61966629,1.801354065
172,1.55965416107e+18,10.21820114,-8.401878204,1.379381561
173,1.55965416147e+18,6.426585846,-7.741900635,1.710043945
174,1.55965416187e+18,2.739752655,-7.194189606,1.403780823
175,1.55965416227e+18,8.582103424,-10.59287201,0.05523513794
176,1.55965416267e+18,6.2599823,-7.452851715,1.861828308
177,1.55965416307e+18,5.229225769,-6.616091766,-0.5040019226
178,1.55965416347e+18,7.635172577,-7.712411957,-0.3363505554
