,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0,1.559654527e+18,-2.552641754,5.448968811,7.685767365
1,1.5596545273e+18,-1.946252747,4.666096802,8.682394867
2,1.5596545277e+18,-1.007255402,3.994892578,8.915909271
3,1.5596545281e+18,-0.6218069458,3.276087341,9.327104187
4,1.5596545285e+18,0.2404000854,2.828518066,9.166937256
5,1.5596545289e+18,3.38625824,4.427343292,9.191935272
6,1.5596545293e+18,2.827769623,1.711540833,9.373807068
7,1.5596545297e+18,2.365979919,1.478475494,9.62977478
8,1.5596545301e+18,2.212249603,1.353036346,9.326505432
9,1.5596545305e+18,2.239942017,1.366807709,9.586365051
10,1.5596545309e+18,2.144141235,1.287772064,9.684261475
11,1.5596545313e+18,2.215093689,1.460812225,9.87556366
12,1.5596545317e+18,2.457290039,1.506317596,9.976453857
13,1.5596545321e+18,2.179467773,1.450184326,9.400002594
14,1.5596545325e+18,2.271975403,1.410965881,9.609117737
15,1.5596545329e+18,2.232307892,1.194515991,9.837093658
16,1.5596545333e+18,2.242636414,1.360670471,9.72572525
17,1.55965453371e+18,2.262545013,1.53984787,8.855734406
18,1.55965453411e+18,2.46537323,1.535057831,9.821975098
19,1.55965453451e+18,2.151176605,1.30468689,9.052275696
20,1.55965453491e+18,2.577041016,1.410965881,10.36429733
21,1.55965453531e+18,1.911524963,1.210382996,9.265282745
22,1.55965453571e+18,2.602637787,1.469793549,10.20442978
23,1.55965453611e+18,2.157313843,1.386865997,8.929381256
24,1.55965453651e+18,2.623444519,1.590891724,10.00025436
25,1.55965453691e+18,2.180665283,1.151705017,9.325756989
26,1.55965453731e+18,2.310295715,1.045426025,10.08213409
27,1.55965453771e+18,2.229314117,1.11622879,9.360335083
28,1.55965453811e+18,2.372266846,1.892813873,9.773475952
29,1.55965453851e+18,2.4126828,1.511856079,9.248517609
30,1.55965453891e+18,2.506537628,1.304986267,9.836494904
31,1.55965453931e+18,2.286794586,1.221459961,9.481732635
32,1.55965453971e+18,2.32257019,1.345851288,9.585167542
33,1.55965454011e+18,2.292333069,1.359472961,9.478289795
34,1.55965454051e+18,2.43378891,1.351689148,9.409732361
35,1.55965454091e+18,2.449356537,1.327589264,9.337432709
36,1.55965454131e+18,2.47121109,1.505269775,9.622290344
37,1.55965454171e+18,2.570155334,1.560205536,9.220076752
38,1.55965454211e+18,1.814676361,1.184486847,10.16266663
39,1.55965454251e+18,1.564845886,1.43805954,9.662706299
40,1.55965454291e+18,1.740281067,1.755249939,9.085955658
41,1.55965454331e+18,1.72231842,1.033750305,10.03543121
42,1.55965454371e+18,2.915038147,1.342707825,8.960815887
43,1.55965454411e+18,2.404449921,0.9177415466,10.09306137
44,1.55965454451e+18,2.538121948,0.9386979675,9.335337067
45,1.55965454491e+18,0.1839674377,0.6544390869,9.651329956
46,1.55965454531e+18,1.711241455,0.8834628296,9.554481354
47,1.55965454572e+18,1.764979706,0.9831555176,9.854906616
48,1.55965454612e+18,1.826352081,1.021326141,9.593101044
49,1.55965454652e+18,1.78907959,1.0086026,9.475146332
50,1.55965454692e+18,1.766177216,1.129551086,9.660011902
51,1.55965454732e+18,1.871109009,0.9494755554,9.513316956
52,1.55965454772e+18,1.749711456,1.066382446,10.14455429
53,1.55965454812e+18,1.882335663,1.039288788,9.482181702
54,1.55965454852e+18,1.951940918,1.078207855,9.725276184
55,1.55965454892e+18,1.660796356,1.028062134,9.596244507
56,1.55965454932e+18,1.922302551,1.050814819,9.559121704
57,1.55965454972e+18,2.106569366,1.074315948,9.606273651
58,1.55965455012e+18,1.875000916,1.045725403,9.434281311
59,1.55965455052e+18,2.135908356,1.014590149,9.558972015
60,1.55965455092e+18,2.032772827,1.176553345,9.414821777
61,1.55965455132e+18,1.891766052,1.066981201,9.418863373
62,1.55965455172e+18,1.946701813,0.6779402161,10.12554382
63,1.55965455212e+18,1.85344574,0.5565426636,9.599537659
64,1.55965455252e+18,2.181114349,1.077908478,9.69294342
65,1.55965455292e+18,2.057321777,1.324745178,9.205706635
66,1.55965455332e+18,2.220632172,1.417701874,9.630074158
67,1.55965455372e+18,2.084116058,0.7554789734,9.680519257
68,1.55965455412e+18,1.901046753,0.6414161682,9.891430664
69,1.55965455452e+18,1.853745117,0.8361611938,9.685608673
70,1.55965455492e+18,2.105222168,1.258582764,9.705517273
71,1.55965455532e+18,2.010020142,1.137634277,9.509125671
72,1.55965455573e+18,1.975891113,0.8021818542,9.84397934
73,1.55965455613e+18,1.913770294,0.8819659424,9.573491821
74,1.55965455653e+18,2.066752167,1.049317932,9.580527191
75,1.55965455693e+18,2.066003723,1.21577179,9.459129639
76,1.55965455733e+18,1.969005432,1.076860657,9.643246765
77,1.55965455773e+18,2.0172052,0.7412585449,9.676477661
78,1.55965455813e+18,1.913021851,0.6971003723,9.837093658
79,1.55965455853e+18,2.12722641,0.8017327881,9.807455292
80,1.55965455893e+18,2.11315567,1.092278595,9.605076141
81,1.55965455933e+18,1.937421112,0.9922865295,9.356143799
82,1.55965455973e+18,2.122735748,1.040785675,9.729467468
83,1.55965456013e+18,1.996099091,0.7318281555,9.761351166
84,1.55965456053e+18,2.191742249,0.969533844,9.57364151
85,1.55965456093e+18,2.311193848,0.8578660583,10.03049149
86,1.55965456133e+18,2.184108124,0.9160949707,9.49295929
87,1.55965456173e+18,2.408790894,0.9750723267,9.606573029
88,1.55965456213e+18,1.994302826,0.9135502625,9.713899841
89,1.55965456253e+18,2.097737732,0.9592053223,9.588161316
90,1.55965456293e+18,2.027683411,1.091530151,9.419761505
91,1.55965456333e+18,2.040257263,1.128203888,9.581125946
92,1.55965456373e+18,2.068249054,1.050515442,9.524393921
93,1.55965456413e+18,1.952389984,0.9723779297,9.71165451
94,1.55965456453e+18,1.960323486,0.935255127,9.676178284
95,1.55965456493e+18,2.102378082,0.9931846619,9.995164948
96,1.55965456533e+18,2.218087463,1.090182953,10.35726196
97,1.55965456573e+18,2.156266022,0.8418493652,9.596244507
98,1.55965456614e+18,2.227068787,0.916993103,10.14245865
99,1.55965456654e+18,1.913021851,1.149609375,9.601034546
100,1.55965456694e+18,2.2945784,1.143771515,9.893825684
101,1.55965456734e+18,1.911075897,1.055904236,9.228609009
