,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0,1.559653556e+18,-6.620732117,6.784940643,10.13766861
1,1.5596535564e+18,-2.265987854,4.854554901,6.574927368
2,1.5596535568e+18,-1.462309113,2.736160126,7.923922119
3,1.5596535572e+18,-1.454674988,4.385729828,11.43232635
4,1.55965355761e+18,1.026714935,4.830005951,9.303453369
5,1.55965355801e+18,-0.1766326904,3.511547699,4.894372101
6,1.55965355841e+18,-0.712817688,5.248834991,4.146676941
7,1.55965355881e+18,0.7158114624,-0.9421408081,12.10278214
8,1.55965355921e+18,-0.08397537231,5.522615662,11.14597183
9,1.55965355961e+18,0.7955955505,4.287084961,4.680017853
10,1.55965356002e+18,-0.9452842712,2.697989502,8.159981232
11,1.55965356042e+18,-6.055956573,4.421355743,11.85579575
12,1.55965356082e+18,-5.309159546,5.379812622,7.694898376
13,1.55965356122e+18,-2.422562256,3.700305176,3.328777771
14,1.55965356162e+18,-6.159541168,3.332220612,7.611222382
15,1.55965356202e+18,-6.240522766,7.239245911,10.73402847
16,1.55965356242e+18,-1.968556366,5.216801605,5.559289398
17,1.55965356283e+18,-4.331991577,4.440815277,5.576503601
18,1.55965356323e+18,-4.722679138,8.278235321,6.823859711
19,1.55965356363e+18,-4.651427307,6.515800323,6.236481171
20,1.55965356403e+18,-3.3721875,4.336931305,3.258274384
21,1.55965356443e+18,-1.637444916,4.544250183,7.454198914
22,1.55965356483e+18,-2.581082611,6.099515991,6.753655701
23,1.55965356524e+18,-1.344653778,4.83719101,4.42405014
24,1.55965356564e+18,3.564836884,1.725312195,12.75467651
25,1.55965356604e+18,-1.931583252,1.953886871,10.05099884
26,1.55965356644e+18,-5.016817474,2.773582306,7.133116608
27,1.55965356684e+18,-5.395529938,4.973856812,9.79592926
28,1.55965356724e+18,-3.331023102,4.026476898,6.217171326
29,1.55965356764e+18,-5.366789703,1.473984833,10.45261368
30,1.55965356805e+18,-4.978497162,1.592987366,8.195158081
31,1.55965356845e+18,-4.266577606,2.530338135,8.8504953
32,1.55965356885e+18,-4.49664917,2.04998703,8.536148987
33,1.55965356925e+18,-4.430486755,3.136727142,8.442294159
34,1.55965356965e+18,-4.359983368,3.097059631,8.39065155
35,1.55965357005e+18,-3.918102264,2.908451843,8.435857544
36,1.55965357045e+18,-4.137845306,3.09017395,8.067922668
37,1.55965357086e+18,-3.994593201,2.694097595,8.600664825
38,1.55965357126e+18,-4.110751648,2.885998535,8.30293396
39,1.55965357166e+18,-4.30474823,2.817441101,8.54752533
40,1.55965357206e+18,-4.115391998,3.071163483,8.469986572
41,1.55965357246e+18,-4.106859741,2.922372894,8.335416412
42,1.55965357286e+18,-4.13859375,2.978506165,7.672894135
43,1.55965357326e+18,-4.050427094,2.550546112,8.765172729
44,1.55965357367e+18,-4.050576782,2.947520599,7.981402588
45,1.55965357407e+18,-4.30235321,2.906954956,8.464148712
46,1.55965357447e+18,-4.50488205,2.927013245,8.323740692
47,1.55965357487e+18,-4.546495514,3.101999359,8.184679871
48,1.55965357527e+18,-4.367617493,3.184028778,7.99517395
49,1.55965357567e+18,-4.393513641,3.134481812,8.310268707
50,1.55965357607e+18,-4.320914612,3.033441925,8.379424896
51,1.55965357648e+18,-4.307592316,2.927612,8.216713257
52,1.55965357688e+18,-3.937561798,2.910397797,8.411458282
53,1.55965357728e+18,-4.228856049,2.998115387,8.189170532
54,1.55965357768e+18,-4.207151184,2.828967133,8.181536407
55,1.55965357808e+18,-4.418361969,2.519560547,8.426576843
56,1.55965357848e+18,-4.121529236,2.753074951,8.479117584
57,1.55965357888e+18,-4.227957916,2.420017548,8.454418945
58,1.55965357929e+18,-4.227209473,2.491718445,8.647667084
59,1.55965357969e+18,-4.13619873,2.482587433,8.536148987
60,1.55965358009e+18,-4.282893677,2.53797226,8.597072296
61,1.55965358049e+18,-4.170627136,2.475552063,8.438851318
62,1.55965358089e+18,-4.196223907,2.414628754,8.42223587
63,1.55965358129e+18,-4.223916321,2.427651672,8.592731323
64,1.55965358169e+18,-4.164489899,2.271226959,8.859476624
65,1.55965358209e+18,-2.371219025,2.449506226,8.180937653
66,1.5596535825e+18,2.633922729,-0.6985972595,9.350605316
67,1.5596535829e+18,-0.2356100464,1.380429382,9.852960663
68,1.5596535833e+18,-0.5653742981,1.0776091,9.715845795
69,1.5596535837e+18,-0.6780899048,1.379381561,9.710307312
70,1.5596535841e+18,-0.526305542,1.182241516,9.508975983
71,1.5596535845e+18,-0.6402186584,1.132993927,9.68007019
72,1.5596535849e+18,-0.6304888916,0.8464897156,9.960736542
73,1.55965358531e+18,-0.4046086121,0.3016227722,9.449399872
74,1.55965358571e+18,-1.871707764,-1.867217102,9.998308411
75,1.55965358611e+18,-0.2778222656,-0.8907975769,9.904303894
76,1.55965358651e+18,-0.3085084534,-0.5255570984,10.37357803
77,1.55965358691e+18,0.7640112305,5.201233978,10.99568436
78,1.55965358731e+18,-0.02380050659,6.374494171,6.375092926
79,1.55965358771e+18,-1.935924225,1.885179749,11.65521286
80,1.55965358811e+18,-2.646496582,1.402283936,9.244176636
81,1.55965358852e+18,-2.271676025,1.38072876,9.141639862
82,1.55965358892e+18,-2.946772156,2.509980469,8.464597778
83,1.55965358932e+18,-2.53677475,1.606159973,9.313482513
84,1.55965358972e+18,-2.794838104,1.892963562,8.98746048
