,Time (s),X (hPa)
0,1.55965432e+18,1007.404099
1,1.55965432104e+18,1007.408142
2,1.55965432208e+18,1007.412109
3,1.55965432312e+18,1007.417984
4,1.55965432416e+18,1007.417984
5,1.5596543252e+18,1007.408752
6,1.55965432624e+18,1007.397614
7,1.55965432728e+18,1007.397614
8,1.55965432736e+18,1007.390366
9,1.5596543284e+18,1007.387619
10,1.55965432944e+18,1007.378311
11,1.55965433048e+18,1007.376785
12,1.55965433152e+18,1007.374573
13,1.55965433256e+18,1007.369308
14,1.5596543336e+18,1007.354965
15,1.55965433464e+18,1007.348022
16,1.55965433568e+18,1007.348022
17,1.55965433672e+18,1007.356415
18,1.55965433776e+18,1007.361298
19,1.5596543388e+18,1007.381973
20,1.55965433984e+18,1007.406006
21,1.55965434088e+18,1007.413406
22,1.55965434192e+18,1007.414474
23,1.55965434296e+18,1007.420197
24,1.559654344e+18,1007.421036
25,1.55965434504e+18,1007.423553
26,1.55965434608e+18,1007.434387
27,1.55965434712e+18,1007.435989
28,1.55965434816e+18,1007.435989
29,1.5596543492e+18,1007.435226
30,1.55965435024e+18,1007.429123
31,1.55965435128e+18,1007.423935
32,1.55965435231e+18,1007.423935
33,1.55965435335e+18,1007.429886
34,1.55965435439e+18,1007.438431
35,1.55965435543e+18,1007.45018
36,1.55965435647e+18,1007.458496
37,1.55965435751e+18,1007.464905
38,1.55965435854e+18,1007.474899
39,1.55965435958e+18,1007.484589
40,1.55965436062e+18,1007.488937
41,1.55965436166e+18,1007.488937
42,1.5596543627e+18,1007.487717
43,1.55965436373e+18,1007.481613
44,1.55965436477e+18,1007.476959
45,1.55965436581e+18,1007.476959
46,1.55965436685e+18,1007.479248
47,1.55965436789e+18,1007.483292
48,1.55965436893e+18,1007.488098
49,1.55965436997e+18,1007.491608
50,1.55965437101e+18,1007.491608
51,1.55965437205e+18,1007.489243
52,1.55965437308e+18,1007.486115
53,1.55965437412e+18,1007.486115
54,1.55965437516e+18,1007.47879
55,1.5596543762e+18,1007.473907
56,1.55965437724e+18,1007.46315
57,1.55965437828e+18,1007.45575
58,1.55965437932e+18,1007.446136
59,1.55965438036e+18,1007.446136
60,1.5596543814e+18,1007.448578
61,1.55965438244e+18,1007.457123
62,1.55965438348e+18,1007.472687
63,1.55965438452e+18,1007.487183
64,1.55965438555e+18,1007.495956
65,1.55965438659e+18,1007.502594
66,1.55965438763e+18,1007.502594
67,1.55965438867e+18,1007.50061
68,1.55965438971e+18,1007.496872
69,1.55965439075e+18,1007.496185
70,1.55965439179e+18,1007.496185
71,1.55965439283e+18,1007.496185
72,1.55965439387e+18,1007.495804
73,1.55965439491e+18,1007.491455
74,1.55965439594e+18,1007.491455
75,1.55965439698e+18,1007.489548
76,1.55965439803e+18,1007.493744
77,1.55965439906e+18,1007.496567
78,1.5596544001e+18,1007.498627
79,1.55965440114e+18,1007.496567
80,1.55965440218e+18,1007.495575
81,1.55965440322e+18,1007.495575
82,1.55965440426e+18,1007.495575
83,1.5596544053e+18,1007.493286
84,1.55965440634e+18,1007.493286
85,1.55965440738e+18,1007.493286
86,1.55965440842e+18,1007.488556
87,1.55965440946e+18,1007.479858
88,1.55965441049e+18,1007.463074
89,1.55965441153e+18,1007.45018
90,1.55965441257e+18,1007.433395
91,1.55965441361e+18,1007.423935
92,1.55965441465e+18,1007.419662
93,1.55965441569e+18,1007.419662
94,1.55965441673e+18,1007.426987
95,1.55965441777e+18,1007.433853
96,1.55965441881e+18,1007.44133
97,1.55965441985e+18,1007.446671
98,1.55965442089e+18,1007.458954
99,1.55965442193e+18,1007.469406
100,1.55965442297e+18,1007.480545
101,1.55965442401e+18,1007.485199
102,1.55965442504e+18,1007.485199
