,Time (s),X (hPa)
0,1.559654092e+18,1009.766998
1,1.55965409304e+18,1009.772797
2,1.55965409407e+18,1009.772339
3,1.55965409511e+18,1009.772339
4,1.55965409615e+18,1009.747391
5,1.55965409718e+18,1009.713211
6,1.55965409822e+18,1009.677582
7,1.55965409926e+18,1009.651718
8,1.55965409935e+18,1009.63623
9,1.55965410038e+18,1009.630814
10,1.55965410142e+18,1009.607315
11,1.55965410246e+18,1009.58107
12,1.5596541035e+18,1009.548721
13,1.55965410453e+18,1009.514694
14,1.55965410557e+18,1009.485779
15,1.55965410661e+18,1009.466629
16,1.55965410764e+18,1009.451904
17,1.55965410868e+18,1009.4384
18,1.55965410972e+18,1009.419098
19,1.55965411076e+18,1009.387665
20,1.5596541118e+18,1009.349747
21,1.55965411283e+18,1009.311752
22,1.55965411387e+18,1009.278717
23,1.55965411491e+18,1009.250717
24,1.55965411595e+18,1009.219971
25,1.55965411699e+18,1009.191513
26,1.55965411803e+18,1009.164124
27,1.55965411906e+18,1009.130783
28,1.5596541201e+18,1009.095688
29,1.55965412114e+18,1009.070206
30,1.55965412218e+18,1009.053192
31,1.55965412321e+18,1009.023895
32,1.55965412425e+18,1008.987961
33,1.55965412529e+18,1008.948135
34,1.55965412633e+18,1008.903503
35,1.55965412736e+18,1008.849335
36,1.5596541284e+18,1008.797913
37,1.55965412944e+18,1008.754501
38,1.55965413048e+18,1008.726349
39,1.55965413151e+18,1008.700638
40,1.55965413255e+18,1008.679199
41,1.55965413359e+18,1008.651581
42,1.55965413463e+18,1008.618698
43,1.55965413567e+18,1008.570633
44,1.55965413671e+18,1008.53981
45,1.55965413774e+18,1008.510513
46,1.55965413878e+18,1008.484802
47,1.55965413982e+18,1008.460312
48,1.55965414086e+18,1008.445816
49,1.5596541419e+18,1008.419037
50,1.55965414294e+18,1008.389206
51,1.55965414398e+18,1008.361969
52,1.55965414501e+18,1008.33786
53,1.55965414605e+18,1008.310089
54,1.55965414709e+18,1008.279495
