,Time (s),X (hPa)
0,1.5596532e+18,1010.122986
1,1.55965320104e+18,1010.122757
2,1.55965320207e+18,1010.122528
3,1.55965320311e+18,1010.120316
4,1.55965320415e+18,1010.118408
5,1.55965320519e+18,1010.120316
6,1.55965320623e+18,1010.117569
7,1.55965320727e+18,1010.11322
8,1.55965320735e+18,1010.11322
9,1.55965320839e+18,1010.114136
10,1.55965320943e+18,1010.114136
11,1.55965321046e+18,1010.112381
12,1.5596532115e+18,1010.112152
13,1.55965321254e+18,1010.111237
14,1.55965321358e+18,1010.109253
15,1.55965321462e+18,1010.105362
16,1.55965321566e+18,1010.099182
17,1.5596532167e+18,1010.094757
18,1.55965321774e+18,1010.088043
19,1.55965321877e+18,1010.082779
20,1.55965321981e+18,1010.082779
21,1.55965322085e+18,1010.083618
22,1.55965322189e+18,1010.084
23,1.55965322293e+18,1010.084381
24,1.55965322396e+18,1010.08873
25,1.559653225e+18,1010.089035
26,1.55965322604e+18,1010.089798
27,1.55965322708e+18,1010.09079
28,1.55965322812e+18,1010.09285
29,1.55965322916e+18,1010.093384
30,1.5596532302e+18,1010.095367
31,1.55965323124e+18,1010.09697
32,1.55965323227e+18,1010.09697
33,1.55965323331e+18,1010.096817
34,1.55965323435e+18,1010.095139
35,1.55965323539e+18,1010.089417
36,1.55965323642e+18,1010.087585
37,1.55965323746e+18,1010.08522
38,1.5596532385e+18,1010.084991
39,1.55965323954e+18,1010.084991
40,1.55965324058e+18,1010.085754
41,1.55965324162e+18,1010.085754
42,1.55965324266e+18,1010.085754
43,1.5596532437e+18,1010.086365
44,1.55965324473e+18,1010.086365
45,1.55965324577e+18,1010.083771
46,1.55965324681e+18,1010.083466
47,1.55965324785e+18,1010.081787
48,1.55965324889e+18,1010.080185
49,1.55965324992e+18,1010.079651
50,1.55965325096e+18,1010.080185
51,1.559653252e+18,1010.081558
52,1.55965325304e+18,1010.085449
53,1.55965325408e+18,1010.087357
54,1.55965325512e+18,1010.087357
55,1.55965325616e+18,1010.086517
56,1.5596532572e+18,1010.082855
57,1.55965325823e+18,1010.077286
58,1.55965325927e+18,1010.072556
59,1.55965326031e+18,1010.071487
60,1.55965326135e+18,1010.071487
61,1.55965326239e+18,1010.07164
62,1.55965326343e+18,1010.071869
63,1.55965326447e+18,1010.071869
64,1.55965326551e+18,1010.065079
65,1.55965326654e+18,1010.058975
66,1.55965326758e+18,1010.054703
67,1.55965326862e+18,1010.048065
68,1.55965326966e+18,1010.046616
69,1.5596532707e+18,1010.046616
70,1.55965327174e+18,1010.046768
71,1.55965327277e+18,1010.047302
72,1.55965327381e+18,1010.047684
73,1.55965327485e+18,1010.047302
74,1.55965327589e+18,1010.045853
75,1.55965327693e+18,1010.044785
76,1.55965327797e+18,1010.041962
77,1.55965327901e+18,1010.038681
78,1.55965328004e+18,1010.038681
79,1.55965328108e+18,1010.037384
80,1.55965328212e+18,1010.036545
81,1.55965328316e+18,1010.03479
82,1.5596532842e+18,1010.034714
83,1.55965328524e+18,1010.034027
84,1.55965328627e+18,1010.03273
85,1.55965328731e+18,1010.03273
86,1.55965328835e+18,1010.033112
87,1.55965328939e+18,1010.035934
88,1.55965329043e+18,1010.03891
89,1.55965329147e+18,1010.04097
