,Time (s),X (hPa)
0,1.559654527e+18,1008.552094
1,1.55965452804e+18,1008.55072
2,1.55965452908e+18,1008.551712
3,1.55965453012e+18,1008.549271
4,1.55965453116e+18,1008.548737
5,1.5596545322e+18,1008.54538
6,1.55965453324e+18,1008.54538
7,1.55965453429e+18,1008.545532
8,1.55965453437e+18,1008.554382
9,1.55965453541e+18,1008.555908
10,1.55965453645e+18,1008.557053
11,1.55965453749e+18,1008.557053
12,1.55965453853e+18,1008.554153
13,1.55965453957e+18,1008.546295
14,1.55965454061e+18,1008.537979
15,1.55965454165e+18,1008.524399
16,1.55965454269e+18,1008.511276
17,1.55965454373e+18,1008.490143
18,1.55965454478e+18,1008.46405
19,1.55965454582e+18,1008.438339
20,1.55965454686e+18,1008.419952
21,1.5596545479e+18,1008.410339
22,1.55965454894e+18,1008.410339
23,1.55965454998e+18,1008.421631
24,1.55965455102e+18,1008.438873
25,1.55965455206e+18,1008.452225
26,1.5596545531e+18,1008.464432
27,1.55965455414e+18,1008.485565
28,1.55965455519e+18,1008.505859
29,1.55965455623e+18,1008.52356
30,1.55965455727e+18,1008.542633
31,1.55965455831e+18,1008.56308
32,1.55965455935e+18,1008.573761
33,1.55965456039e+18,1008.5849
34,1.55965456143e+18,1008.605347
35,1.55965456247e+18,1008.625565
36,1.55965456351e+18,1008.655472
37,1.55965456455e+18,1008.692474
38,1.5596545656e+18,1008.726654
39,1.55965456664e+18,1008.752899
40,1.55965456768e+18,1008.777466
41,1.55965456872e+18,1008.798523
42,1.55965456976e+18,1008.813171
43,1.5596545708e+18,1008.827667
44,1.55965457184e+18,1008.848267
45,1.55965457288e+18,1008.869629
46,1.55965457392e+18,1008.891525
47,1.55965457496e+18,1008.894272
48,1.559654576e+18,1008.894272
49,1.55965457704e+18,1008.885651
50,1.55965457809e+18,1008.877258
51,1.55965457913e+18,1008.877258
52,1.55965458017e+18,1008.882141
53,1.55965458121e+18,1008.925476
54,1.55965458225e+18,1008.992386
55,1.55965458329e+18,1009.076462
56,1.55965458433e+18,1009.173431
57,1.55965458537e+18,1009.278336
58,1.55965458641e+18,1009.391403
59,1.55965458745e+18,1009.513931
60,1.55965458849e+18,1009.637833
61,1.55965458953e+18,1009.748688
62,1.55965459057e+18,1009.834518
63,1.55965459161e+18,1009.893646
64,1.55965459265e+18,1009.893646
65,1.55965459369e+18,1009.893646
66,1.55965459474e+18,1009.862976
67,1.55965459578e+18,1009.825897
68,1.55965459682e+18,1009.78157
69,1.55965459786e+18,1009.746094
70,1.5596545989e+18,1009.676514
71,1.55965459994e+18,1009.59259
72,1.55965460098e+18,1009.503937
73,1.55965460202e+18,1009.405594
74,1.55965460306e+18,1009.304504
75,1.5596546041e+18,1009.212265
76,1.55965460514e+18,1009.137039
77,1.55965460618e+18,1009.085388
78,1.55965460722e+18,1009.045181
79,1.55965460826e+18,1009.011154
80,1.5596546093e+18,1008.978348
81,1.55965461035e+18,1008.947525
82,1.55965461139e+18,1008.913956
83,1.55965461243e+18,1008.90007
84,1.55965461347e+18,1008.90007
85,1.55965461451e+18,1008.922577
86,1.55965461555e+18,1008.951874
87,1.55965461659e+18,1008.981705
88,1.55965461763e+18,1009.00528
89,1.55965461867e+18,1009.023285
90,1.55965461971e+18,1009.03038
91,1.55965462075e+18,1009.039383
92,1.55965462179e+18,1009.047394
93,1.55965462283e+18,1009.047623
94,1.55965462387e+18,1009.048309
95,1.55965462491e+18,1009.052582
96,1.55965462595e+18,1009.053879
97,1.55965462699e+18,1009.055023
98,1.55965462803e+18,1009.062729
99,1.55965462907e+18,1009.064178
100,1.55965463011e+18,1009.064178
101,1.55965463115e+18,1009.056625
102,1.55965463219e+18,1009.041901
103,1.55965463323e+18,1009.02916
104,1.55965463427e+18,1009.013672
105,1.55965463531e+18,1009.008484
106,1.55965463635e+18,1009.004898
107,1.55965463739e+18,1009.002914
108,1.55965463843e+18,1008.994751
109,1.55965463947e+18,1008.983612
110,1.55965464051e+18,1008.970566
111,1.55965464155e+18,1008.967438
112,1.55965464259e+18,1008.967438
113,1.55965464363e+18,1008.975677
114,1.55965464467e+18,1008.984756
115,1.55965464571e+18,1008.99765
116,1.55965464675e+18,1009.004517
117,1.55965464779e+18,1009.004517
118,1.55965464883e+18,1008.998718
119,1.55965464987e+18,1008.995132
120,1.55965465091e+18,1008.991394
121,1.55965465195e+18,1008.988037
122,1.55965465299e+18,1008.98613
123,1.55965465403e+18,1008.983765
124,1.55965465507e+18,1008.974152
125,1.55965465611e+18,1008.964691
126,1.55965465715e+18,1008.962097
127,1.55965465819e+18,1008.958817
128,1.55965465923e+18,1008.955231
129,1.55965466027e+18,1008.952866
130,1.55965466131e+18,1008.946838
131,1.55965466235e+18,1008.939743
132,1.55965466339e+18,1008.932266
133,1.55965466443e+18,1008.926544
134,1.55965466547e+18,1008.924789
135,1.55965466651e+18,1008.922729
136,1.55965466755e+18,1008.918991
137,1.55965466859e+18,1008.91243
138,1.55965466963e+18,1008.908157
139,1.55965467067e+18,1008.90686
140,1.55965467171e+18,1008.90686
141,1.55965467275e+18,1008.916779
142,1.55965467379e+18,1008.934174
143,1.55965467483e+18,1008.948517
144,1.55965467587e+18,1008.959503
145,1.55965467691e+18,1008.961487
146,1.55965467795e+18,1008.961487
147,1.55965467899e+18,1008.956604
148,1.55965468004e+18,1008.952179
149,1.55965468108e+18,1008.945007
150,1.55965468212e+18,1008.941803
151,1.55965468316e+18,1008.941116
152,1.5596546842e+18,1008.939285
153,1.55965468524e+18,1008.934326
154,1.55965468628e+18,1008.934326
155,1.55965468732e+18,1008.940353
156,1.55965468836e+18,1008.952637
157,1.5596546894e+18,1008.960495
158,1.55965469044e+18,1008.97171
159,1.55965469148e+18,1008.97522
160,1.55965469252e+18,1008.97522
161,1.55965469356e+18,1008.969574
162,1.55965469461e+18,1008.961487
163,1.55965469565e+18,1008.960571
164,1.55965469669e+18,1008.960571
165,1.55965469773e+18,1008.963394
166,1.55965469877e+18,1008.968048
167,1.55965469981e+18,1008.980408
168,1.55965470085e+18,1008.98613
169,1.55965470189e+18,1008.986206
170,1.55965470293e+18,1008.98674
171,1.55965470397e+18,1008.98674
172,1.55965470501e+18,1008.98674
173,1.55965470605e+18,1008.98056
174,1.55965470709e+18,1008.972473
175,1.55965470814e+18,1008.962631
176,1.55965470918e+18,1008.954086
177,1.55965471022e+18,1008.948135
178,1.55965471126e+18,1008.948135
179,1.5596547123e+18,1008.954926
180,1.55965471334e+18,1008.965454
181,1.55965471438e+18,1008.973694
182,1.55965471542e+18,1008.973694
183,1.55965471646e+18,1008.972855
184,1.5596547175e+18,1008.968582
185,1.55965471854e+18,1008.966522
186,1.55965471959e+18,1008.965759
187,1.55965472063e+18,1008.965759
188,1.55965472167e+18,1008.96637
189,1.55965472271e+18,1008.96637
190,1.55965472375e+18,1008.959885
191,1.55965472479e+18,1008.944855
192,1.55965472583e+18,1008.931351
193,1.55965472687e+18,1008.915939
194,1.55965472791e+18,1008.897095
195,1.55965472895e+18,1008.884048
196,1.55965472999e+18,1008.874359
197,1.55965473104e+18,1008.874283
198,1.55965473208e+18,1008.874283
199,1.55965473312e+18,1008.878632
200,1.55965473416e+18,1008.88443
201,1.5596547352e+18,1008.890228
202,1.55965473624e+18,1008.890381
203,1.55965473728e+18,1008.890381
204,1.55965473832e+18,1008.887711
205,1.55965473937e+18,1008.883514
206,1.55965474041e+18,1008.882446
207,1.55965474145e+18,1008.882446
208,1.55965474249e+18,1008.889847
209,1.55965474353e+18,1008.903122
210,1.55965474457e+18,1008.918228
211,1.55965474561e+18,1008.931427
212,1.55965474665e+18,1008.944244
213,1.55965474769e+18,1008.949432
214,1.55965474874e+18,1008.949432
215,1.55965474978e+18,1008.948441
216,1.55965475082e+18,1008.945847
217,1.55965475186e+18,1008.943024
218,1.5596547529e+18,1008.941727
219,1.55965475394e+18,1008.941269
220,1.55965475498e+18,1008.938141
221,1.55965475603e+18,1008.938065
222,1.55965475707e+18,1008.937759
223,1.55965475811e+18,1008.936615
224,1.55965475915e+18,1008.936615
225,1.55965476019e+18,1008.939056
226,1.55965476123e+18,1008.944473
227,1.55965476227e+18,1008.944702
228,1.55965476331e+18,1008.944702
229,1.55965476435e+18,1008.939362
230,1.55965476539e+18,1008.934326
231,1.55965476643e+18,1008.926163
232,1.55965476747e+18,1008.898697
233,1.55965476851e+18,1008.87291
234,1.55965476955e+18,1008.853531
235,1.55965477059e+18,1008.83667
236,1.55965477164e+18,1008.833313
237,1.55965477268e+18,1008.833313
238,1.55965477372e+18,1008.84903
239,1.55965477476e+18,1008.859177
240,1.5596547758e+18,1008.864899
241,1.55965477684e+18,1008.868866
242,1.55965477788e+18,1008.884048
243,1.55965477892e+18,1008.899918
244,1.55965477997e+18,1008.919983
245,1.55965478101e+18,1008.947754
246,1.55965478205e+18,1008.970261
247,1.55965478309e+18,1008.981705
248,1.55965478413e+18,1008.987274
249,1.55965478517e+18,1008.987274
250,1.55965478621e+18,1008.983307
251,1.55965478725e+18,1008.980331
252,1.5596547883e+18,1008.971252
253,1.55965478934e+18,1008.960266
254,1.55965479038e+18,1008.952026
255,1.55965479142e+18,1008.945923
256,1.55965479246e+18,1008.938675
257,1.5596547935e+18,1008.927536
258,1.55965479454e+18,1008.918304
259,1.55965479558e+18,1008.905182
260,1.55965479662e+18,1008.892517
261,1.55965479766e+18,1008.877182
262,1.55965479871e+18,1008.861237
263,1.55965479974e+18,1008.84758
264,1.55965480079e+18,1008.837051
265,1.55965480183e+18,1008.821411
266,1.55965480287e+18,1008.802338
267,1.55965480391e+18,1008.781204
268,1.55965480495e+18,1008.752899
269,1.55965480599e+18,1008.7146
270,1.55965480703e+18,1008.669739
271,1.55965480807e+18,1008.622055
272,1.55965480911e+18,1008.576736
273,1.55965481015e+18,1008.530579
274,1.5596548112e+18,1008.48938
275,1.55965481224e+18,1008.448563
276,1.55965481328e+18,1008.415451
277,1.55965481432e+18,1008.382034
278,1.55965481536e+18,1008.351593
279,1.5596548164e+18,1008.334198
280,1.55965481744e+18,1008.331833
281,1.55965481849e+18,1008.331833
282,1.55965481953e+18,1008.350372
283,1.55965482057e+18,1008.380661
284,1.55965482161e+18,1008.425522
285,1.55965482265e+18,1008.483353
286,1.55965482369e+18,1008.54538
287,1.55965482473e+18,1008.611145
288,1.55965482577e+18,1008.680191
289,1.55965482681e+18,1008.742294
290,1.55965482785e+18,1008.789139
291,1.5596548289e+18,1008.82225
292,1.55965482994e+18,1008.843384
293,1.55965483098e+18,1008.850174
294,1.55965483202e+18,1008.850174
295,1.55965483306e+18,1008.833466
296,1.5596548341e+18,1008.812637
297,1.55965483514e+18,1008.792267
298,1.55965483618e+18,1008.766022
299,1.55965483722e+18,1008.746185
300,1.55965483827e+18,1008.730545
301,1.55965483931e+18,1008.71727
302,1.55965484034e+18,1008.705444
303,1.55965484138e+18,1008.701401
304,1.55965484242e+18,1008.689423
305,1.55965484347e+18,1008.675308
306,1.55965484451e+18,1008.656311
307,1.55965484555e+18,1008.636475
308,1.55965484659e+18,1008.618927
309,1.55965484763e+18,1008.608551
310,1.55965484867e+18,1008.608551
311,1.55965484971e+18,1008.617401
312,1.55965485075e+18,1008.644409
313,1.55965485179e+18,1008.667831
314,1.55965485284e+18,1008.691711
315,1.55965485388e+18,1008.713455
316,1.55965485492e+18,1008.721237
317,1.55965485596e+18,1008.721237
318,1.559654857e+18,1008.714828
319,1.55965485804e+18,1008.705673
320,1.55965485908e+18,1008.69873
321,1.55965486012e+18,1008.69873
322,1.55965486116e+18,1008.700714
323,1.55965486221e+18,1008.704681
324,1.55965486324e+18,1008.711853
325,1.55965486429e+18,1008.715286
326,1.55965486533e+18,1008.720169
327,1.55965486637e+18,1008.720398
328,1.55965486741e+18,1008.720398
329,1.55965486845e+18,1008.720016
330,1.55965486949e+18,1008.717422
331,1.55965487053e+18,1008.708191
332,1.55965487157e+18,1008.699493
333,1.55965487262e+18,1008.685913
334,1.55965487366e+18,1008.675842
335,1.5596548747e+18,1008.66745
336,1.55965487574e+18,1008.665466
337,1.55965487678e+18,1008.665466
338,1.55965487782e+18,1008.673172
339,1.55965487886e+18,1008.673172
340,1.5596548799e+18,1008.671494
341,1.55965488094e+18,1008.664169
342,1.55965488198e+18,1008.643646
343,1.55965488303e+18,1008.620377
344,1.55965488406e+18,1008.594666
345,1.55965488511e+18,1008.576508
346,1.55965488615e+18,1008.558197
347,1.55965488719e+18,1008.543015
348,1.55965488823e+18,1008.527832
349,1.55965488927e+18,1008.523865
350,1.55965489031e+18,1008.514252
351,1.55965489135e+18,1008.499374
352,1.55965489239e+18,1008.484802
353,1.55965489344e+18,1008.468246
354,1.55965489448e+18,1008.444901
355,1.55965489552e+18,1008.41507
356,1.55965489656e+18,1008.384857
357,1.5596548976e+18,1008.361282
358,1.55965489864e+18,1008.343277
359,1.55965489968e+18,1008.330078
360,1.55965490072e+18,1008.328247
361,1.55965490176e+18,1008.328247
362,1.55965490281e+18,1008.332062
