,Time (s),X (hPa)
0,1.559653556e+18,1009.459381
1,1.55965355704e+18,1009.481201
2,1.55965355808e+18,1009.487228
3,1.55965355912e+18,1009.487228
4,1.55965356016e+18,1009.48616
5,1.5596535612e+18,1009.477463
6,1.55965356223e+18,1009.470444
7,1.55965356327e+18,1009.470444
8,1.55965356336e+18,1009.489441
9,1.5596535644e+18,1009.490433
10,1.55965356544e+18,1009.492874
11,1.55965356648e+18,1009.508514
12,1.55965356752e+18,1009.522629
13,1.55965356855e+18,1009.52713
14,1.55965356959e+18,1009.532013
15,1.55965357063e+18,1009.536438
16,1.55965357167e+18,1009.538727
17,1.55965357271e+18,1009.539108
18,1.55965357375e+18,1009.543381
19,1.55965357479e+18,1009.548645
20,1.55965357583e+18,1009.550323
21,1.55965357687e+18,1009.560242
22,1.5596535779e+18,1009.566269
23,1.55965357894e+18,1009.567413
24,1.55965357998e+18,1009.567642
25,1.55965358102e+18,1009.567642
26,1.55965358206e+18,1009.559784
27,1.5596535831e+18,1009.553909
28,1.55965358414e+18,1009.551697
29,1.55965358518e+18,1009.550171
30,1.55965358622e+18,1009.550171
31,1.55965358726e+18,1009.553833
32,1.5596535883e+18,1009.559708
33,1.55965358934e+18,1009.566269
34,1.55965359038e+18,1009.568481
35,1.55965359142e+18,1009.571228
36,1.55965359245e+18,1009.574051
37,1.55965359349e+18,1009.575882
38,1.55965359453e+18,1009.577408
39,1.55965359557e+18,1009.57901
40,1.55965359661e+18,1009.582291
41,1.55965359765e+18,1009.583359
42,1.55965359869e+18,1009.583359
43,1.55965359973e+18,1009.57962
44,1.55965360076e+18,1009.5784
45,1.5596536018e+18,1009.573441
46,1.55965360284e+18,1009.572296
47,1.55965360389e+18,1009.572296
48,1.55965360493e+18,1009.572906
49,1.55965360596e+18,1009.572906
50,1.559653607e+18,1009.573669
51,1.55965360804e+18,1009.572449
52,1.55965360908e+18,1009.571075
53,1.55965361012e+18,1009.568939
54,1.55965361116e+18,1009.568939
55,1.5596536122e+18,1009.571609
56,1.55965361324e+18,1009.571762
57,1.55965361427e+18,1009.575043
58,1.55965361531e+18,1009.577789
59,1.55965361635e+18,1009.58046
60,1.55965361739e+18,1009.583817
61,1.55965361843e+18,1009.583817
62,1.55965361947e+18,1009.58374
63,1.55965362051e+18,1009.582977
64,1.55965362155e+18,1009.581757
65,1.55965362259e+18,1009.575729
66,1.55965362363e+18,1009.5755
67,1.55965362466e+18,1009.5755
68,1.5596536257e+18,1009.578247
69,1.55965362674e+18,1009.580154
70,1.55965362778e+18,1009.584427
71,1.55965362882e+18,1009.591751
72,1.55965362986e+18,1009.592133
73,1.5596536309e+18,1009.592514
74,1.55965363193e+18,1009.593735
75,1.55965363297e+18,1009.597931
76,1.55965363401e+18,1009.600067
77,1.55965363505e+18,1009.602585
78,1.55965363609e+18,1009.604874
79,1.55965363713e+18,1009.606018
80,1.55965363817e+18,1009.606018
81,1.55965363921e+18,1009.602585
82,1.55965364024e+18,1009.599686
83,1.55965364128e+18,1009.597015
84,1.55965364232e+18,1009.597015
85,1.55965364336e+18,1009.597015
86,1.5596536444e+18,1009.597168
87,1.55965364544e+18,1009.599991
88,1.55965364648e+18,1009.603577
89,1.55965364752e+18,1009.603653
90,1.55965364856e+18,1009.604568
91,1.5596536496e+18,1009.604874
92,1.55965365064e+18,1009.604874
93,1.55965365168e+18,1009.604568
94,1.55965365271e+18,1009.60083
95,1.55965365375e+18,1009.595261
96,1.55965365479e+18,1009.589005
97,1.55965365583e+18,1009.584198
98,1.55965365687e+18,1009.580383
99,1.55965365791e+18,1009.580383
100,1.55965365895e+18,1009.582977
101,1.55965365999e+18,1009.588165
102,1.55965366103e+18,1009.592972
103,1.55965366206e+18,1009.59938
104,1.5596536631e+18,1009.59938
105,1.55965366414e+18,1009.599915
106,1.55965366518e+18,1009.601746
107,1.55965366622e+18,1009.604187
108,1.55965366726e+18,1009.604568
109,1.5596536683e+18,1009.604797
110,1.55965366934e+18,1009.607239
111,1.55965367037e+18,1009.607315
112,1.55965367142e+18,1009.607315
113,1.55965367246e+18,1009.603119
114,1.55965367349e+18,1009.597931
115,1.55965367453e+18,1009.596939
116,1.55965367557e+18,1009.596939
117,1.55965367661e+18,1009.596939
118,1.55965367765e+18,1009.600525
119,1.55965367869e+18,1009.612885
120,1.55965367973e+18,1009.618378
121,1.55965368077e+18,1009.621658
122,1.55965368181e+18,1009.625473
123,1.55965368285e+18,1009.625702
124,1.55965368388e+18,1009.625473
125,1.55965368492e+18,1009.622498
126,1.55965368596e+18,1009.618835
127,1.559653687e+18,1009.614944
128,1.55965368804e+18,1009.612961
129,1.55965368908e+18,1009.607239
130,1.55965369011e+18,1009.600754
131,1.55965369115e+18,1009.596634
132,1.55965369219e+18,1009.589462
133,1.55965369323e+18,1009.582977
134,1.55965369427e+18,1009.579468
135,1.55965369531e+18,1009.579468
136,1.55965369635e+18,1009.580383
137,1.55965369739e+18,1009.582901
138,1.55965369843e+18,1009.587708
139,1.55965369947e+18,1009.590607
140,1.55965370051e+18,1009.590607
141,1.55965370155e+18,1009.587555
142,1.55965370259e+18,1009.586411
143,1.55965370363e+18,1009.585876
144,1.55965370467e+18,1009.58374
145,1.55965370571e+18,1009.58107
146,1.55965370675e+18,1009.58046
147,1.55965370779e+18,1009.578857
148,1.55965370883e+18,1009.576874
149,1.55965370987e+18,1009.574509
150,1.55965371091e+18,1009.574509
151,1.55965371194e+18,1009.576187
152,1.55965371298e+18,1009.576187
153,1.55965371402e+18,1009.575806
154,1.55965371506e+18,1009.575806
155,1.5596537161e+18,1009.574432
156,1.55965371714e+18,1009.570847
157,1.55965371818e+18,1009.570618
158,1.55965371922e+18,1009.570618
159,1.55965372026e+18,1009.570694
160,1.55965372129e+18,1009.570999
161,1.55965372233e+18,1009.570999
162,1.55965372337e+18,1009.571457
163,1.55965372441e+18,1009.57222
164,1.55965372545e+18,1009.574051
165,1.55965372649e+18,1009.574051
166,1.55965372753e+18,1009.570999
167,1.55965372857e+18,1009.568863
168,1.55965372961e+18,1009.563675
169,1.55965373065e+18,1009.559097
170,1.55965373168e+18,1009.559097
171,1.55965373272e+18,1009.559326
172,1.55965373376e+18,1009.559326
173,1.5596537348e+18,1009.55925
174,1.55965373584e+18,1009.558487
175,1.55965373688e+18,1009.558334
176,1.55965373792e+18,1009.554749
177,1.55965373896e+18,1009.552917
178,1.55965374e+18,1009.552612
179,1.55965374104e+18,1009.552612
180,1.55965374208e+18,1009.552765
181,1.55965374312e+18,1009.553146
182,1.55965374416e+18,1009.556885
183,1.5596537452e+18,1009.561005
184,1.55965374624e+18,1009.56192
185,1.55965374728e+18,1009.564743
186,1.55965374832e+18,1009.568329
187,1.55965374936e+18,1009.571838
188,1.5596537504e+18,1009.573669
189,1.55965375144e+18,1009.577408
190,1.55965375248e+18,1009.580078
191,1.55965375352e+18,1009.583817
192,1.55965375456e+18,1009.585648
193,1.5596537556e+18,1009.585648
194,1.55965375664e+18,1009.584885
195,1.55965375768e+18,1009.582596
196,1.55965375871e+18,1009.57489
197,1.55965375976e+18,1009.569321
198,1.5596537608e+18,1009.563751
199,1.55965376183e+18,1009.559402
200,1.55965376287e+18,1009.556351
201,1.55965376391e+18,1009.555435
202,1.55965376495e+18,1009.552994
203,1.55965376599e+18,1009.551926
204,1.55965376703e+18,1009.550552
205,1.55965376807e+18,1009.550247
206,1.55965376911e+18,1009.550247
207,1.55965377015e+18,1009.551544
208,1.5596537712e+18,1009.552612
209,1.55965377223e+18,1009.55452
210,1.55965377327e+18,1009.557037
211,1.55965377431e+18,1009.559402
212,1.55965377535e+18,1009.561386
213,1.55965377639e+18,1009.561386
214,1.55965377743e+18,1009.560852
215,1.55965377847e+18,1009.558258
216,1.55965377951e+18,1009.553909
217,1.55965378055e+18,1009.550323
218,1.55965378159e+18,1009.54895
219,1.55965378263e+18,1009.547424
220,1.55965378367e+18,1009.54689
221,1.55965378471e+18,1009.546661
