,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
0,1.559654092e+18,0.06019255519,-0.6750823855,-0.02314029634
1,1.55965409225e+18,-0.01644519903,0.5471279621,0.1698817909
2,1.5596540925e+18,-0.2091252655,-1.28480494,-0.02134413645
3,1.55965409275e+18,0.9100478888,-1.037905931,0.5817776322
4,1.559654093e+18,-0.5942972302,-1.806921124,2.866942406
5,1.55965409325e+18,-1.618969083,-0.8915865421,2.411531448
6,1.5596540935e+18,-0.8465381265,-0.5067592263,1.337262869
7,1.55965409375e+18,0.09482891113,-0.6806434989,-0.6952536106
8,1.559654094e+18,0.6305081248,-1.362200141,-2.626004934
9,1.55965409425e+18,-0.5884888768,-0.2913250923,-0.8877919912
10,1.5596540945e+18,1.564776897,-0.09991567582,3.286397457
11,1.55965409475e+18,-0.8092544079,1.87878263,0.7646979094
12,1.55965409499e+18,1.454864264,-2.6559062,-1.12552762
13,1.55965409524e+18,0.3212725222,-0.9001421928,-1.940639973
14,1.55965409549e+18,-1.98678875,-0.3256769478,3.78918767
15,1.55965409574e+18,0.2692324817,0.6218109727,2.578462124
16,1.55965409599e+18,0.7840881944,-0.0967181921,-0.288379848
17,1.55965409624e+18,-0.5687424541,0.1989198625,-3.61184454
18,1.55965409649e+18,-0.3596797585,-0.5571497083,-0.6813420653
19,1.55965409674e+18,0.02868688852,1.514886856,3.866050959
20,1.55965409699e+18,-1.033880115,2.106552362,-0.2300869077
21,1.55965409724e+18,0.7403322458,-2.719718218,-2.392597914
22,1.55965409749e+18,1.192699075,-1.306390047,-1.524463058
23,1.55965409774e+18,-1.097905278,-0.1572318077,1.42146492
24,1.55965409799e+18,-0.9298458695,3.142415524,0.3266433477
25,1.55965409824e+18,-1.674842477,3.29674983,0.8145828247
26,1.55965409849e+18,0.1149164811,0.7086732984,1.229108214
27,1.55965409874e+18,-1.103707075,-1.202805281,-3.755250692
28,1.55965409899e+18,-0.067668356,-0.4449673295,-0.3626671731
29,1.55965409924e+18,-0.5452222824,0.7084512115,1.684744954
30,1.55965409949e+18,-2.287812233,2.588374853,0.7065730095
31,1.55965409974e+18,-1.467213631,2.747873306,0.1293719262
32,1.55965409999e+18,1.059412241,-1.092573166,-2.716133118
33,1.55965410024e+18,-1.601395607,0.5031926036,-0.5424404144
34,1.55965410049e+18,-0.2180503607,1.705228925,2.548752546
35,1.55965410074e+18,-1.194773197,1.319441915,0.07185663283
36,1.55965410098e+18,1.065932631,-2.515735388,-1.880678177
37,1.55965410123e+18,-0.6551879644,-0.3254476488,-1.687934875
38,1.55965410148e+18,0.5008323789,-0.1894631982,3.554328918
39,1.55965410173e+18,-1.364579201,2.098760366,1.216965199
40,1.55965410198e+18,1.161203027,-2.015057564,-1.845458865
41,1.55965410223e+18,0.5080243945,-0.8920204639,-2.203404903
42,1.55965410248e+18,-0.07873106003,-0.7880755663,1.941075206
43,1.55965410273e+18,-0.4958904684,1.011142969,2.806048393
44,1.55965410298e+18,1.706761599,-3.314145803,-0.2617110312
45,1.55965410323e+18,-0.3085698485,-1.088869333,-2.828154564
46,1.55965410348e+18,-1.580711603,0.02442726493,1.483144522
47,1.55965410373e+18,-0.4114903212,1.35867703,3.599545479
48,1.55965410398e+18,1.89664948,-0.9818575382,-0.3001578152
49,1.55965410423e+18,-0.443300873,-0.4474250078,-3.540016651
50,1.55965410448e+18,-0.1881853491,0.4957829118,0.1060429811
51,1.55965410473e+18,-0.6947456598,1.131813288,3.390558004
52,1.55965410498e+18,-1.199254751,2.156733274,-0.3822439909
53,1.55965410523e+18,0.2515907586,-1.482949615,-2.75144124
54,1.55965410548e+18,0.268704474,-0.778244555,-1.649544597
55,1.55965410573e+18,-0.8006725311,0.1535713524,1.463113904
56,1.55965410598e+18,-1.207549453,2.105955362,-0.3449921608
57,1.55965410623e+18,-1.766384125,2.80335331,0.7791095972
58,1.55965410648e+18,0.2188763916,0.7833075523,0.6088138223
59,1.55965410673e+18,-0.795696497,0.1286028624,-2.866076231
60,1.55965410698e+18,-1.360842228,0.2030543983,-0.1463086903
61,1.55965410722e+18,-0.963542223,1.420893669,1.357337117
62,1.55965410747e+18,-1.6546067,1.95371139,1.54782784
63,1.55965410772e+18,1.16643846,-0.2100908756,0.4363854825
64,1.55965410797e+18,-0.1713679284,0.3473258615,-2.267191887
65,1.55965410822e+18,-0.6975901723,1.204917431,0.6517124772
66,1.55965410847e+18,-0.4015833139,1.230656505,2.8133564
67,1.55965410872e+18,0.9213339686,0.1009729654,0.6416936517
68,1.55965410897e+18,0.2264644802,-1.678723931,-2.326483011
69,1.55965410922e+18,-1.866039753,1.068212271,-1.034459949
70,1.55965410947e+18,0.1312708408,1.466791749,3.168314695
71,1.55965410972e+18,-0.3132486641,0.728140831,-0.2499358803
72,1.55965410997e+18,0.4879440367,-2.567033529,-2.350392103
73,1.55965411022e+18,-0.2211969495,-0.9328716993,-1.598839283
74,1.55965411047e+18,-0.6112650037,2.873650789,2.539927483
75,1.55965411072e+18,-0.3836694658,0.9820673466,0.303307265
76,1.55965411097e+18,0.403144747,-2.228363514,-1.941663265
77,1.55965411122e+18,-0.9075645804,-0.3270412087,-1.956389308
78,1.55965411147e+18,-0.4406768382,0.5699843764,1.249383807
79,1.55965411172e+18,-0.1548135579,0.6011872292,2.611349583
80,1.55965411197e+18,0.8761238456,-1.537196398,-0.8043687344
