,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
0,1.559654527e+18,52.29330325,4.968719756,0.06120866537,-1.0,-1.0,1414.0,1414.0
1,1.55965453438e+18,52.29279896,4.969282345,0.06120866537,-1.0,-1.0,1519.23076,1519.23076
2,1.55965453442e+18,52.29279779,4.969283654,0.06120866537,-1.0,-1.0,1519.231521,1519.231521
3,1.55965453679e+18,52.29289525,4.969242225,0.06120866537,-1.0,-1.0,1414.0,1414.0
4,1.5596545384e+18,52.29294471,4.9692162,0.06120866537,-1.0,-1.0,1414.0,1414.0
5,1.55965455895e+18,52.28426177,4.970989875,0.06120866537,-1.0,-1.0,1414.0,1414.0
6,1.55965455898e+18,52.28108831,4.971464327,0.06120866537,-1.0,-1.0,1414.0,1414.0
7,1.55965456053e+18,52.27888795,4.972464506,0.06120866537,-1.0,-1.0,1414.0,1414.0
8,1.55965456055e+18,52.2778688,4.972937244,0.06120866537,-1.0,-1.0,1414.0,1414.0
9,1.55965457093e+18,52.28374609,4.98163461,0.06120866537,-1.0,-1.0,1463.980675,1463.980675
10,1.55965457095e+18,52.28734969,4.986009219,0.06120866537,-1.0,-1.0,1463.981089,1463.981089
11,1.55965457533e+18,52.2889475,4.983253736,0.06120866537,-1.0,-1.0,1472.954928,1472.954928
12,1.55965457652e+18,52.29008106,4.981290536,0.06120866537,-1.0,-1.0,1473.633755,1473.633755
13,1.55965457657e+18,52.2908437,4.97996714,0.06120866537,-1.0,-1.0,1473.6348,1473.6348
14,1.55965457669e+18,52.2913363,4.979112516,0.06120866537,-1.0,-1.0,1473.641645,1473.641645
15,1.55965457676e+18,52.29165672,4.978556498,0.06120866537,-1.0,-1.0,1473.644021,1473.644021
16,1.55965457715e+18,52.29185688,4.978209841,0.06120866537,-1.0,-1.0,1473.718219,1473.718219
17,1.55965457716e+18,52.29199557,4.977968807,0.06120866537,-1.0,-1.0,1473.718257,1473.718257
18,1.55965457873e+18,52.29204967,4.97787796,0.06120866537,-1.0,-1.0,1474.904218,1474.904218
19,1.55965458079e+18,52.29207511,4.97783667,0.06120866537,-1.0,-1.0,1476.94649,1476.94649
20,1.55965458144e+18,52.28480431,4.976558214,0.06120866537,-1.0,-1.0,1414.0,1414.0
21,1.55965459383e+18,52.28226458,4.984393264,0.06120866537,-1.0,-1.0,1486.286267,1486.286267
22,1.55965459401e+18,52.28112903,4.988204063,0.06120866537,-1.0,-1.0,1486.301721,1486.301721
23,1.55965459402e+18,52.28053013,4.990218645,0.06120866537,-1.0,-1.0,1486.301732,1486.301732
24,1.55965459444e+18,52.28020187,4.991311569,0.06120866537,-1.0,-1.0,1486.386952,1486.386952
25,1.55965460944e+18,52.27972188,4.992592899,0.06120866537,-1.0,-1.0,1582.0,1582.0
26,1.55965466041e+18,52.27954185,4.993183553,0.06120866537,-1.0,-1.0,1582.0,1582.0
27,1.55965466041e+18,52.27969682,4.992842091,0.06120866537,-1.0,-1.0,1582.0,1582.0
28,1.55965466055e+18,52.2655532,4.993885225,0.06120866537,-1.0,-1.0,1582.00793,1582.00793
29,1.559654661e+18,52.25751739,4.994481524,0.06120866537,-1.0,-1.0,1582.092968,1582.092968
30,1.55965466331e+18,52.26129397,4.983604017,0.06120866537,-1.0,-1.0,1584.298187,1584.298187
31,1.55965466334e+18,52.26331455,4.977798713,0.06120866537,-1.0,-1.0,1584.298676,1584.298676
32,1.55965466893e+18,52.25316136,4.986611852,0.06120866537,-1.0,-1.0,1597.222596,1597.222596
33,1.55965466895e+18,52.24630032,4.992561862,0.06120866537,-1.0,-1.0,1597.222734,1597.222734
34,1.55965471703e+18,52.24316188,5.005377009,0.06120866537,-1.0,-1.0,2402.462341,2402.462341
35,1.55965471706e+18,52.24560557,5.008868984,0.06120866537,-1.0,-1.0,2402.462627,2402.462627
36,1.55965473495e+18,52.23098969,5.008083086,0.06120866537,-1.0,-1.0,1414.0,1414.0
37,1.55965473497e+18,52.22872889,5.00777285,0.06120866537,-1.0,-1.0,1414.0,1414.0
38,1.55965474901e+18,52.22429112,5.004773612,-0.3337347507,-1.0,-1.0,165.0,165.0
39,1.55965475021e+18,52.22421662,5.004756718,-0.7220420837,-1.0,-1.0,165.0,165.0
40,1.55965476378e+18,52.22350585,5.005148665,-0.7220420837,-1.0,-1.0,505.1665233,505.1665233
41,1.55965476382e+18,52.22384,5.005411174,-0.7220420837,-1.0,-1.0,505.1678858,505.1678858
42,1.55965476503e+18,52.22378277,5.005441762,-0.7220420837,-1.0,-1.0,507.0069023,507.0069023
43,1.55965476505e+18,52.22378201,5.005442166,-0.7220420837,-1.0,-1.0,507.0072318,507.0072318
44,1.55965481004e+18,52.21109209,5.002456733,-0.7220420837,-1.0,-1.0,1670.521303,1670.521303
45,1.55965481007e+18,52.2060707,4.996917653,-0.7220420837,-1.0,-1.0,1670.521666,1670.521666
46,1.55965484812e+18,52.19225842,4.992549714,-0.7220420837,-1.0,-1.0,1414.0,1414.0
47,1.55965484813e+18,52.19101633,4.992492148,-0.7220420837,-1.0,-1.0,1414.0,1414.0
48,1.55965484815e+18,52.19039478,4.992463287,-0.7220420837,-1.0,-1.0,1414.0,1414.0
49,1.55965484837e+18,52.19007459,4.992447404,-0.7220420837,-1.0,-1.0,1414.0,1414.0
50,1.55965484837e+18,52.18992463,4.992441026,-0.7220420837,-1.0,-1.0,1414.0,1414.0
51,1.55965486542e+18,52.18599908,4.9899874,-0.7220420837,-1.0,-1.0,1539.538826,1539.538826
52,1.55965486546e+18,52.18407888,4.988270554,-0.7220420837,-1.0,-1.0,1539.539383,1539.539383
53,1.5596548969e+18,52.1725086,4.985629903,-0.7220420837,-1.0,-1.0,2805.0,2805.0
54,1.55965489693e+18,52.17089739,4.985563999,-0.7220420837,-1.0,-1.0,1414.0,1414.0
55,1.55965490112e+18,52.17060948,4.985423416,-0.7220420837,-1.0,-1.0,1422.459586,1422.459586
56,1.55965490261e+18,52.17051205,4.985375842,-0.7220420837,-1.0,-1.0,1423.542647,1423.542647
57,1.55965490267e+18,52.17050786,4.985373798,-0.7220420837,-1.0,-1.0,1423.544717,1423.544717
58,1.55965490291e+18,52.17049208,4.985366091,-0.7220420837,-1.0,-1.0,1423.574264,1423.574264
59,1.55965490292e+18,52.1704918,4.985365954,-0.7220420837,-1.0,-1.0,1423.574273,1423.574273
60,1.55965490434e+18,52.17040099,4.985321616,-0.7220420837,-1.0,-1.0,1424.57367,1424.57367
61,1.55965490514e+18,52.17035072,4.985297072,-0.7220420837,-1.0,-1.0,1424.892826,1424.892826
62,1.5596549052e+18,52.17034681,4.985295162,-0.7220420837,-1.0,-1.0,1424.894795,1424.894795
63,1.55965490872e+18,52.17013291,4.985190717,-0.7220420837,-1.0,-1.0,1431.01937,1431.01937
64,1.55965490943e+18,52.17086336,4.983694305,-0.7220420837,-1.0,-1.0,1431.27113,1431.27113
65,1.55965491384e+18,52.17182373,4.980546845,-0.7220420837,-1.0,-1.0,1440.897932,1440.897932
66,1.55965491423e+18,52.17256895,4.978641937,-0.7220420837,-1.0,-1.0,1440.975326,1440.975326
67,1.55965493354e+18,52.16055732,4.991017843,-0.7220420837,-1.0,-1.0,1518.0,1518.0
