,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
0,1.559653556e+18,52.33497266,4.868189513,-3.002180099,-1.0,-1.0,137.2825991,137.2825991
1,1.55965355636e+18,52.33504812,4.86861174,-3.028253078,-1.0,-1.0,65.0,65.0
2,1.55965355712e+18,52.3349497,4.86850189,25.87514877,2.220000029,116.71875,50.0,50.0
3,1.55965355765e+18,52.33494052,4.86853173,25.47274399,2.220000029,116.71875,50.0,50.0
4,1.55965355867e+18,52.33497991,4.868394434,16.00075912,2.220000029,61.5234375,10.0,10.0
5,1.55965355976e+18,52.33498176,4.868388735,1.256984711,2.220000029,112.5,10.0,10.0
6,1.55965356076e+18,52.33497325,4.868401224,1.634548187,1.330000043,94.5703125,10.0,10.0
7,1.55965356176e+18,52.33496495,4.868414802,2.454921722,1.080000043,90.3515625,10.0,10.0
8,1.55965356276e+18,52.33496378,4.868432991,3.680934906,1.350000024,68.90625,10.0,10.0
9,1.55965356376e+18,52.33496533,4.868444894,3.139247894,1.279999971,52.3828125,10.0,10.0
10,1.55965356476e+18,52.33497011,4.868452018,3.571926117,1.279999971,34.8046875,10.0,10.0
11,1.55965356576e+18,52.33497467,4.868452689,3.570034027,0.9499999881,28.828125,10.0,10.0
12,1.55965356676e+18,52.33497849,4.868453024,3.662502289,0.9499999881,46.7578125,10.0,10.0
13,1.55965356776e+18,52.33498155,4.868452856,4.091213226,0.7799999714,43.59375,10.0,10.0
14,1.55965356876e+18,52.33498247,4.868449755,4.613491058,0.1899999976,165.5859375,10.0,10.0
15,1.55965356976e+18,52.33498247,4.868449755,4.576747894,0.0,309.375,10.0,10.0
16,1.55965357076e+18,52.33498247,4.868449755,4.422756195,0.0,123.046875,10.0,10.0
17,1.55965357176e+18,52.33498247,4.868449755,4.741664886,0.0,88.9453125,10.0,10.0
18,1.55965357276e+18,52.33497979,4.868437266,4.840908051,0.1800000072,60.46875,10.0,10.0
19,1.55965357376e+18,52.33497979,4.868437266,4.630092621,0.0,271.0546875,10.0,10.0
20,1.55965357476e+18,52.33497979,4.868437266,4.522060394,0.0,259.8046875,10.0,10.0
21,1.55965357576e+18,52.33497979,4.868437266,4.558315277,0.0,259.8046875,10.0,10.0
22,1.55965357676e+18,52.33497979,4.868437266,4.564907074,0.0,259.8046875,10.0,10.0
23,1.55965357776e+18,52.33497979,4.868437266,4.822658539,0.0,259.8046875,10.0,10.0
24,1.55965357876e+18,52.33497979,4.868437266,4.831691742,0.0,259.8046875,10.0,10.0
25,1.55965357976e+18,52.33497979,4.868437266,4.832485199,0.0,259.8046875,10.0,10.0
26,1.55965358076e+18,52.33497979,4.868437266,4.830898285,0.0,259.8046875,10.0,10.0
27,1.55965358176e+18,52.33497979,4.868437266,4.761440277,0.0,259.8046875,10.0,10.0
28,1.55965358276e+18,52.33498293,4.868428716,4.812038422,0.2099999934,303.046875,10.0,10.0
29,1.55965358376e+18,52.33498293,4.868428716,4.890895844,0.0,80.15625,10.0,10.0
30,1.55965358476e+18,52.33498293,4.868428716,5.18655014,0.0,205.3125,10.0,10.0
31,1.55965358576e+18,52.33498293,4.868428716,5.224452972,0.0,198.28125,10.0,10.0
32,1.55965358676e+18,52.33498293,4.868428716,4.978969574,0.0,27.0703125,10.0,10.0
33,1.55965358776e+18,52.33498293,4.868428716,4.883144379,0.0,71.71875,10.0,10.0
34,1.55965358876e+18,52.33498293,4.868428716,4.695705414,0.0,100.546875,10.0,10.0
35,1.55965358976e+18,52.33498293,4.868428716,4.563259125,0.0,141.6796875,10.0,10.0
36,1.55965359076e+18,52.33498293,4.868428716,4.503505707,0.0,141.6796875,10.0,10.0
37,1.55965359176e+18,52.33498293,4.868428716,4.529689789,0.0,141.6796875,10.0,10.0
38,1.55965359276e+18,52.33498293,4.868428716,4.515956879,0.0,141.6796875,10.0,10.0
39,1.55965359376e+18,52.33498293,4.868428716,4.488368988,0.0,141.6796875,10.0,10.0
40,1.55965359476e+18,52.33498293,4.868428716,4.469814301,0.0,141.6796875,10.0,10.0
41,1.55965359576e+18,52.33498293,4.868428716,4.699367523,0.0,141.6796875,10.0,10.0
42,1.55965359676e+18,52.33498293,4.868428716,4.707485199,0.0,141.6796875,10.0,10.0
43,1.55965359776e+18,52.33498293,4.868428716,4.614650726,0.0,141.6796875,10.0,10.0
44,1.55965359876e+18,52.33498293,4.868428716,4.644618988,0.0,141.6796875,10.0,10.0
45,1.55965359976e+18,52.33498293,4.868428716,4.790431976,0.0,141.6796875,10.0,10.0
46,1.55965360076e+18,52.33498293,4.868428716,4.883266449,0.0,141.6796875,10.0,10.0
47,1.55965360176e+18,52.33498293,4.868428716,5.166652679,0.0,141.6796875,10.0,10.0
48,1.55965360276e+18,52.33498293,4.868428716,5.354824066,0.0,141.6796875,10.0,10.0
49,1.55965360376e+18,52.33498293,4.868428716,5.147914886,0.0,141.6796875,10.0,10.0
50,1.55965360476e+18,52.33498293,4.868428716,5.258815765,0.0,141.6796875,10.0,10.0
51,1.55965360576e+18,52.33498293,4.868428716,5.194484711,0.0,141.6796875,10.0,10.0
52,1.55965360676e+18,52.33498293,4.868428716,5.32125473,0.0,141.6796875,10.0,10.0
53,1.55965360776e+18,52.33498293,4.868428716,5.041347504,0.0,141.6796875,10.0,10.0
54,1.55965360876e+18,52.33498293,4.868428716,5.009548187,0.0,141.6796875,10.0,10.0
55,1.55965360976e+18,52.33498293,4.868428716,5.010951996,0.0,141.6796875,10.0,10.0
56,1.55965361076e+18,52.33498293,4.868428716,4.922756195,0.0,141.6796875,10.0,10.0
57,1.55965361176e+18,52.33498293,4.868428716,4.326442719,0.0,141.6796875,10.0,10.0
58,1.55965361276e+18,52.33498293,4.868428716,4.300930023,0.0,141.6796875,10.0,10.0
59,1.55965361376e+18,52.33498293,4.868428716,4.089809418,0.0,250.6640625,10.0,10.0
60,1.55965361476e+18,52.33498553,4.868431818,4.421596527,0.2700000107,333.6328125,10.0,10.0
61,1.55965361576e+18,52.33498435,4.868425615,3.956020355,0.1899999976,27.421875,10.0,10.0
62,1.55965361676e+18,52.3349815,4.868418491,4.191555023,0.3300000131,162.7734375,10.0,10.0
63,1.55965361776e+18,52.3349815,4.868418491,3.979091644,0.0,238.7109375,10.0,10.0
64,1.55965361876e+18,52.33497082,4.868408097,3.629482269,0.3199999928,191.25,10.0,10.0
65,1.55965361976e+18,52.33497136,4.868402146,3.617336273,0.3199999928,342.7734375,10.0,10.0
66,1.55965362076e+18,52.33497505,4.868397368,3.773403168,0.4099999964,33.75,10.0,10.0
67,1.55965362176e+18,52.33497639,4.86839653,3.695888519,0.4099999964,34.1015625,10.0,10.0
68,1.55965362276e+18,52.33497639,4.86839653,4.059597015,0.0,346.640625,10.0,10.0
69,1.55965362376e+18,52.33497639,4.86839653,4.227016449,0.0,219.7265625,10.0,10.0
70,1.55965362476e+18,52.33497639,4.86839653,3.820339203,0.0,242.9296875,10.0,10.0
71,1.55965362576e+18,52.33497639,4.86839653,3.819606781,0.0,241.875,10.0,10.0
72,1.55965362676e+18,52.33495929,4.868344311,4.002468109,0.1800000072,211.2890625,10.0,10.0
73,1.55965362776e+18,52.33495929,4.868344311,4.209255219,0.0,338.5546875,10.0,10.0
74,1.55965362876e+18,52.33495414,4.868329223,4.03585434,0.150000006,67.8515625,10.0,10.0
75,1.55965362976e+18,52.33495414,4.868329223,4.378017426,0.0,60.46875,10.0,10.0
76,1.55965363076e+18,52.33495414,4.868329223,4.069972992,0.0,168.046875,10.0,10.0
77,1.55965363176e+18,52.33495414,4.868329223,4.343349457,0.0,316.7578125,10.0,10.0
78,1.55965363276e+18,52.33495414,4.868329223,4.764308929,0.0,316.7578125,10.0,10.0
79,1.55965363376e+18,52.33495414,4.868329223,5.061061859,0.0,316.7578125,10.0,10.0
80,1.55965363476e+18,52.33495414,4.868329223,5.061000824,0.0,316.7578125,10.0,10.0
81,1.55965363576e+18,52.33495414,4.868329223,4.797634125,0.0,316.7578125,10.0,10.0
82,1.55965363676e+18,52.33495414,4.868329223,4.826259613,0.0,316.7578125,10.0,10.0
83,1.55965363776e+18,52.33495414,4.868329223,4.984951019,0.0,316.7578125,10.0,10.0
84,1.55965363876e+18,52.33495414,4.868329223,5.268032074,0.0,316.7578125,10.0,10.0
85,1.55965363976e+18,52.33495414,4.868329223,5.210353851,0.0,316.7578125,10.0,10.0
86,1.55965364076e+18,52.33495414,4.868329223,5.210353851,0.0,316.7578125,10.0,10.0
87,1.55965364176e+18,52.33495414,4.868329223,5.24703598,0.0,316.7578125,10.0,10.0
88,1.55965364276e+18,52.33495414,4.868329223,5.374904633,0.0,316.7578125,10.0,10.0
89,1.55965364376e+18,52.33495414,4.868329223,5.384975433,0.0,316.7578125,10.0,10.0
90,1.55965364476e+18,52.33495414,4.868329223,5.385158539,0.0,316.7578125,10.0,10.0
91,1.55965364576e+18,52.33495414,4.868329223,5.344875336,0.0,316.7578125,10.0,10.0
92,1.55965364676e+18,52.33495414,4.868329223,5.187282562,0.0,316.7578125,10.0,10.0
93,1.55965364776e+18,52.33495414,4.868329223,5.187221527,0.0,316.7578125,10.0,10.0
94,1.55965364876e+18,52.33495414,4.868329223,5.365810394,0.0,316.7578125,10.0,10.0
95,1.55965364976e+18,52.33495414,4.868329223,5.365749359,0.0,316.7578125,10.0,10.0
96,1.55965365076e+18,52.33495414,4.868329223,4.12191391,0.0,316.7578125,10.0,10.0
97,1.55965365176e+18,52.33495414,4.868329223,4.12191391,0.0,316.7578125,10.0,10.0
98,1.55965365276e+18,52.33495414,4.868329223,3.91701889,0.0,316.7578125,10.0,10.0
99,1.55965365376e+18,52.33495414,4.868329223,3.893764496,0.0,345.9375,10.0,10.0
100,1.55965365476e+18,52.33495414,4.868329223,3.742946625,0.0,10.1953125,10.0,10.0
101,1.55965365576e+18,52.33495414,4.868329223,3.508876801,0.0,239.765625,10.0,10.0
102,1.55965365676e+18,52.33495414,4.868329223,3.508266449,0.0,239.765625,10.0,10.0
103,1.55965365776e+18,52.33495414,4.868329223,3.687587738,0.0,239.765625,10.0,10.0
104,1.55965365876e+18,52.33495414,4.868329223,3.729213715,0.0,239.765625,10.0,10.0
105,1.55965365976e+18,52.33495414,4.868329223,3.573085785,0.0,-1.0,10.0,10.0
106,1.55965366076e+18,52.33495414,4.868329223,3.324977875,0.0,-1.0,10.0,10.0
107,1.55965366176e+18,52.33495414,4.868329223,3.245571136,0.0,-1.0,10.0,10.0
108,1.55965366276e+18,52.33495414,4.868329223,3.177028656,0.0,-1.0,10.0,10.0
109,1.55965366376e+18,52.33495414,4.868329223,3.199428558,0.0,-1.0,10.0,10.0
110,1.55965366476e+18,52.33495414,4.868329223,3.199062347,0.0,-1.0,10.0,10.0
111,1.55965366576e+18,52.33494018,4.86832168,3.773097992,0.7599999905,350.15625,10.0,10.0
112,1.55965366676e+18,52.33495485,4.868320171,4.609584808,1.299999952,9.84375,10.0,10.0
113,1.55965366776e+18,52.334973,4.868327128,4.371120453,1.299999952,8.7890625,10.0,10.0
114,1.55965366876e+18,52.33498553,4.868327882,4.040981293,1.299999952,333.984375,10.0,10.0
115,1.55965366976e+18,52.33499345,4.868322937,3.154140472,1.539999962,338.90625,10.0,10.0
116,1.55965367076e+18,52.33500954,4.868320003,3.739345551,2.039999962,346.9921875,10.0,10.0
117,1.55965367176e+18,52.3350222,4.86832168,3.490322113,2.039999962,356.484375,10.0,10.0
118,1.55965367276e+18,52.33503222,4.868324948,3.297389984,1.039999962,4.5703125,10.0,10.0
119,1.55965367376e+18,52.33504022,4.868327295,2.760402679,0.8799999952,5.625,10.0,10.0
120,1.55965367476e+18,52.33504785,4.868330732,2.816432953,1.00999999,3.515625,10.0,10.0
121,1.55965367576e+18,52.33505765,4.868335258,3.126003265,1.080000043,2.109375,10.0,10.0
122,1.55965367676e+18,52.33506989,4.868339868,3.072353363,1.49000001,4.21875,10.0,10.0
123,1.55965367776e+18,52.33508381,4.868344814,3.022426605,1.480000019,6.6796875,10.0,10.0
124,1.55965367876e+18,52.33510078,4.868346658,3.236293793,1.49000001,3.8671875,10.0,10.0
125,1.55965367976e+18,52.33511721,4.868353028,3.811244965,1.659999967,4.21875,10.0,10.0
126,1.55965368076e+18,52.33513179,4.86835747,4.488185883,1.409999967,359.296875,10.0,10.0
127,1.55965368176e+18,52.33514545,4.868361829,4.534999847,1.409999967,7.734375,10.0,10.0
128,1.55965368276e+18,52.3351566,4.868368953,4.836940765,1.00999999,19.3359375,10.0,10.0
129,1.55965368376e+18,52.33516716,4.868373731,5.104763031,0.9100000262,350.5078125,10.0,10.0
130,1.55965368476e+18,52.33517781,4.868377754,5.199367523,0.7099999785,339.609375,10.0,10.0
131,1.55965368576e+18,52.33519172,4.868379347,5.428798676,1.049999952,13.7109375,10.0,10.0
132,1.55965368676e+18,52.33520643,4.868382281,5.58889389,1.049999952,8.7890625,10.0,10.0
133,1.55965368776e+18,52.33522039,4.868386304,5.631374359,1.00999999,5.2734375,10.0,10.0
134,1.55965368876e+18,52.33523439,4.868388902,5.995754242,1.00999999,2.8125,10.0,10.0
135,1.55965368976e+18,52.33524725,4.868392004,6.342556,1.149999976,15.46875,10.0,10.0
136,1.55965369076e+18,52.33525823,4.868395273,6.687038422,0.9300000072,5.9765625,10.0,10.0
137,1.55965369176e+18,52.33527164,4.868396781,7.097255707,1.309999943,358.59375,10.0,10.0
138,1.55965369276e+18,52.3352892,4.868396698,6.708095551,1.309999943,350.5078125,10.0,10.0
139,1.55965369376e+18,52.33530609,4.86839477,7.299770355,1.549999952,355.78125,10.0,10.0
140,1.55965369476e+18,52.33532256,4.868392088,7.41878891,1.559999943,346.9921875,10.0,10.0
141,1.55965369576e+18,52.3353379,4.868387477,7.610012054,1.25,341.3671875,10.0,10.0
142,1.55965369676e+18,52.33535219,4.868382029,7.513515472,1.450000048,343.4765625,10.0,10.0
143,1.55965369776e+18,52.33536619,4.868377754,7.306240082,1.25,357.5390625,10.0,10.0
