,Time (s),X (µT),Y (µT),Z (µT)
0,1.559654092e+18,-18.91346741,-20.26633453,-18.21795654
1,1.55965409225e+18,-21.54638672,-18.56656647,-18.32202148
2,1.5596540925e+18,-23.48335266,-17.76062775,-19.54486084
3,1.55965409275e+18,-29.53842163,-14.29322052,-12.39471436
4,1.559654093e+18,-33.5944519,0.4737472534,6.99029541
5,1.55965409325e+18,-30.39772034,17.50009918,11.08624268
6,1.5596540935e+18,-16.89125061,21.15367889,28.58660889
7,1.55965409375e+18,-10.21202087,21.00019073,30.19598389
8,1.559654094e+18,-4.125244141,28.24459076,18.74176025
9,1.55965409425e+18,-13.53137207,22.32077789,15.47857666
10,1.5596540945e+18,-5.352722168,25.86782074,16.06719971
11,1.55965409475e+18,6.870651245,25.51444244,19.24078369
12,1.55965409499e+18,1.106826782,24.95847321,19.03778076
13,1.55965409524e+18,-10.02638245,25.88170624,13.27862549
14,1.55965409549e+18,-16.93560791,18.77178192,15.77636719
15,1.55965409574e+18,2.913024902,29.99662018,14.37225342
16,1.55965409599e+18,5.233566284,29.0704422,16.83850098
17,1.55965409624e+18,-3.530212402,29.74185944,11.68652344
18,1.55965409649e+18,-14.45755005,24.44004059,14.92614746
19,1.55965409674e+18,-3.521774292,29.14078522,14.55584717
20,1.55965409699e+18,0.1581878662,26.45781708,22.47894287
21,1.55965409724e+18,-0.6912231445,29.75643158,17.07116699
22,1.55965409749e+18,-21.25692749,19.96552277,17.26824951
23,1.55965409774e+18,-20.29904175,20.74303436,19.62878418
24,1.55965409799e+18,-19.01916504,22.60987091,20.72271729
25,1.55965409824e+18,-25.8979187,21.68073273,13.03192139
26,1.55965409849e+18,-26.69515991,24.67963409,0.8283691406
27,1.55965409874e+18,-33.16844177,17.34549713,8.061340332
28,1.55965409899e+18,-30.89900208,3.275276184,14.96844482
29,1.55965409924e+18,-30.89556885,9.657264709,11.25299072
30,1.55965409949e+18,-33.70957947,13.23938751,0.05816650391
31,1.55965409974e+18,-25.64199829,24.2453537,-10.3862915
32,1.55965409999e+18,-30.3835907,17.3050766,-11.46862793
33,1.55965410024e+18,-35.20877075,1.021186829,-6.527954102
34,1.55965410049e+18,-29.35852051,18.14069366,-10.38818359
35,1.55965410074e+18,-12.49957275,30.85305023,-13.49523926
36,1.55965410098e+18,-18.23628235,25.43553925,-16.30108643
37,1.55965410123e+18,-31.70649719,8.810264587,-11.84893799
38,1.55965410148e+18,-27.77507019,16.5238266,-13.54467773
39,1.55965410173e+18,-6.306091309,30.58655548,-14.36480713
40,1.55965410198e+18,-6.653686523,28.38552094,-17.53387451
41,1.55965410223e+18,-26.58529663,13.41114044,-15.47644043
42,1.55965410248e+18,-25.41192627,12.99953461,-17.23999023
43,1.55965410273e+18,-6.797622681,28.61910248,-18.90124512
44,1.55965410298e+18,-2.346984863,28.06475067,-21.81085205
45,1.55965410323e+18,-26.16014099,14.34528351,-18.19750977
46,1.55965410348e+18,-26.92903137,8.55644989,-21.56854248
47,1.55965410373e+18,-10.98658752,27.87377167,-20.12335205
48,1.55965410398e+18,1.86315918,30.13036346,-20.42266846
49,1.55965410423e+18,-23.77906799,13.92571259,-26.21112061
50,1.55965410448e+18,-29.4654541,-4.179481506,-25.30340576
51,1.55965410473e+18,-21.19171143,13.59371185,-31.10333252
52,1.55965410498e+18,5.010314941,29.27962494,-27.87939453
53,1.55965410523e+18,4.104171753,25.02571869,-34.48370361
54,1.55965410548e+18,-24.01010132,-4.864494324,-34.20141602
55,1.55965410573e+18,-31.38397217,-4.421363831,-15.63739014
56,1.55965410598e+18,-29.4813385,7.692649841,-17.50738525
57,1.55965410623e+18,-16.48278809,14.53092194,-25.55926514
58,1.55965410648e+18,-7.697784424,21.16538239,-22.31018066
59,1.55965410673e+18,-29.84068298,27.78948212,-9.340332031
60,1.55965410698e+18,-35.30883789,36.37760162,2.747314453
61,1.55965410722e+18,-23.85054016,46.02033234,5.759338379
62,1.55965410747e+18,-31.76869202,49.31981659,5.840209961
63,1.55965410772e+18,-20.56958008,56.18634796,13.51092529
64,1.55965410797e+18,-12.21643066,47.7271347,15.5770874
65,1.55965410822e+18,-23.20918274,33.2767868,17.50970459
66,1.55965410847e+18,-7.193725586,38.65209198,23.74981689
67,1.55965410872e+18,-2.543609619,32.88220978,32.59393311
68,1.55965410897e+18,-2.102172852,36.63690948,18.92681885
69,1.55965410922e+18,-16.6252594,25.10671234,18.12158203
70,1.55965410947e+18,-7.659011841,30.22116852,17.12188721
71,1.55965410972e+18,2.940887451,28.7360611,22.32745361
72,1.55965410997e+18,-3.825149536,29.99408722,6.871948242
73,1.55965411022e+18,-18.96704102,21.2080307,14.21148682
74,1.55965411047e+18,-15.74598694,28.60558319,12.18310547
75,1.55965411072e+18,-0.652130127,35.82936859,13.87701416
76,1.55965411097e+18,-4.627563477,35.63871002,7.178100586
77,1.55965411122e+18,-15.56552124,23.54123688,10.39111328
78,1.55965411147e+18,-23.49415588,21.62873077,8.463195801
79,1.55965411172e+18,-2.651367188,34.46846771,4.518127441
80,1.55965411197e+18,0.5116729736,36.2193222,3.225891113
81,1.55965411222e+18,-22.47338867,29.74774933,3.523254395
82,1.55965411247e+18,-30.48242188,14.57685089,17.96429443
83,1.55965411272e+18,-21.74281311,27.48490143,16.74005127
84,1.55965411297e+18,-32.88464355,21.49263763,8.576599121
85,1.55965411321e+18,-32.75682068,25.03752899,-7.190368652
86,1.55965411346e+18,-36.38952637,21.90981293,-4.793151855
87,1.55965411371e+18,-40.02661133,1.800437927,9.160644531
88,1.55965411396e+18,-39.43914795,3.302207947,10.93688965
89,1.55965411421e+18,-36.14196777,17.61141205,1.265197754
90,1.55965411446e+18,-34.47280884,14.34392548,-15.84820557
91,1.55965411471e+18,-28.96913147,13.6259079,-25.7220459
92,1.55965411496e+18,-35.33299255,11.4832077,-14.89215088
93,1.55965411521e+18,-36.63337708,11.48700714,-3.302062988
94,1.55965411546e+18,-26.62620544,27.48046112,-11.5100708
95,1.55965411571e+18,-15.12045288,36.39136505,-11.06585693
96,1.55965411596e+18,-14.13372803,29.01087189,-4.995056152
97,1.55965411621e+18,-26.88079834,14.28675079,-6.945495605
98,1.55965411646e+18,-26.07946777,12.39315033,-12.75921631
99,1.55965411671e+18,-5.360717773,25.91822052,-12.86724854
100,1.55965411696e+18,-4.665222168,24.07506561,-16.51782227
101,1.55965411721e+18,-20.11166382,15.49240875,-18.97772217
102,1.55965411746e+18,-20.302948,16.46212006,-24.41381836
103,1.55965411771e+18,-4.768692017,25.70543671,-24.75164795
104,1.55965411796e+18,1.413711548,27.94191742,-25.99713135
105,1.55965411821e+18,-25.56851196,19.36511993,-21.48944092
106,1.55965411846e+18,-30.26025391,5.897926331,-21.60241699
107,1.55965411871e+18,-20.92933655,17.66107941,-26.28930664
108,1.55965411896e+18,-1.638168335,25.32100677,-27.31036377
109,1.5596541192e+18,-6.393539429,22.5779953,-29.21990967
110,1.55965411945e+18,-26.35609436,11.8793869,-24.45770264
111,1.5596541197e+18,-30.86683655,7.335884094,-21.85424805
112,1.55965411995e+18,-14.12811279,23.50188446,-28.53851318
113,1.5596541202e+18,4.42036438,28.70305634,-27.90447998
114,1.55965412045e+18,-21.49606323,15.58463287,-36.85675049
115,1.5596541207e+18,-32.32006836,3.849784851,-14.80682373
116,1.55965412095e+18,-29.98377991,11.60903168,-11.2588501
117,1.5596541212e+18,-24.18571472,19.3919754,-14.82397461
118,1.55965412145e+18,-13.59138489,25.75534821,-20.4621582
119,1.5596541217e+18,-7.716659546,28.3780899,-17.88238525
120,1.55965412195e+18,-19.87443542,27.47696686,-2.368408203
121,1.5596541222e+18,-20.21502686,30.43842316,4.987915039
122,1.55965412245e+18,-8.067810059,36.60050201,4.661315918
123,1.5596541227e+18,-15.04316711,34.05571747,9.386657715
124,1.55965412295e+18,-5.106018066,38.2726059,12.36474609
125,1.5596541232e+18,-13.13598633,37.45598602,8.85925293
126,1.55965412345e+18,-24.00039673,29.85262299,12.78582764
127,1.5596541237e+18,-12.53089905,36.07506561,14.45111084
128,1.55965412395e+18,-5.714752197,34.518013,21.65704346
129,1.5596541242e+18,-12.49934387,35.60042572,15.45684814
130,1.55965412445e+18,-24.28894043,23.37186432,17.77166748
131,1.5596541247e+18,-24.79364014,22.29468536,16.28234863
132,1.55965412495e+18,-9.016265869,35.1155777,14.21081543
133,1.55965412519e+18,-5.624053955,34.59343719,16.2699585
134,1.55965412544e+18,-14.03495789,31.98403168,10.51898193
135,1.55965412569e+18,-20.33555603,25.56719208,14.27703857
136,1.55965412594e+18,-22.15600586,24.87998199,14.38952637
137,1.55965412619e+18,-7.097351074,34.31653595,11.02947998
138,1.55965412644e+18,-4.931243896,35.81737518,6.423583984
139,1.55965412669e+18,-21.88879395,21.59078217,15.53814697
140,1.55965412694e+18,-28.19270325,10.11927032,15.88586426
141,1.55965412719e+18,-12.87503052,28.32123566,14.1260376
142,1.55965412744e+18,-9.153640747,32.11704254,6.633361816
143,1.55965412769e+18,-20.10263062,20.24529266,17.23455811
144,1.55965412794e+18,-25.50775146,12.27091217,15.97106934
145,1.55965412819e+18,-15.01377869,25.59947968,13.34368896
146,1.55965412844e+18,-21.1892395,19.19881439,11.79498291
147,1.55965412869e+18,-22.81950378,22.96926117,2.163757324
148,1.55965412894e+18,-24.45098877,21.16519928,-1.514648438
149,1.55965412919e+18,-35.11585999,5.68106842,6.594116211
