,Time (s),X (µT),Y (µT),Z (µT)
0,1.559654527e+18,40.03245544,33.34802246,28.60388184
1,1.55965452725e+18,40.72825623,29.35348511,30.54022217
2,1.5596545275e+18,40.07080078,26.46575928,32.70162964
3,1.55965452775e+18,43.98674011,27.30622864,30.86962891
4,1.559654528e+18,39.14329529,23.07946777,33.44082642
5,1.55965452825e+18,38.2848053,20.20162964,35.01751709
6,1.5596545285e+18,39.26249695,-16.59941101,38.19946289
7,1.55965452875e+18,10.52668762,-44.71932983,37.5526123
8,1.559654529e+18,0.03332519531,-35.38973999,45.82839966
9,1.55965452925e+18,-0.02700805664,-37.77822876,42.24563599
10,1.5596545295e+18,0.6988372803,-32.67184448,46.29779053
11,1.55965452975e+18,4.658233643,-37.16493225,42.64297485
12,1.55965453e+18,-5.31137085,-41.69430542,34.30725098
13,1.55965453025e+18,-4.426223755,-38.69995117,34.98376465
14,1.5596545305e+18,-2.214691162,-38.05143738,33.91629028
15,1.55965453074e+18,-2.202362061,-36.71664429,37.61340332
16,1.55965453099e+18,-0.9488067627,-33.82896423,38.26049805
17,1.55965453124e+18,-1.187210083,-33.9756012,37.93566895
18,1.55965453149e+18,0.446105957,-31.37400818,39.54379272
19,1.55965453174e+18,3.330108643,-29.35987854,38.94528198
20,1.55965453199e+18,8.909408569,-28.75906372,42.67416382
21,1.55965453224e+18,7.935119629,-23.83491516,48.64056396
22,1.55965453249e+18,3.458587646,-32.34292603,36.17108154
23,1.55965453274e+18,1.618804932,-30.6726532,37.09481812
24,1.55965453299e+18,4.92755127,-28.6685791,38.47241211
25,1.55965453324e+18,10.88529968,-25.44866943,51.04379272
26,1.55965453349e+18,5.186386108,-22.62527466,68.11218262
27,1.55965453374e+18,3.424530029,-23.10900879,61.31985474
28,1.55965453399e+18,8.365219116,-23.71099854,63.20211792
29,1.55965453424e+18,9.346755981,-19.30963135,63.99234009
30,1.55965453449e+18,3.287536621,-14.09466553,59.24151611
31,1.55965453474e+18,3.644699097,-18.0821228,43.60919189
32,1.55965453499e+18,7.403320312,-16.04264832,44.78048706
33,1.55965453524e+18,7.615890503,-24.1124115,36.19665527
34,1.55965453549e+18,2.346786499,-26.2567749,37.25024414
