,Time (s),X (µT),Y (µT),Z (µT)
0,1.559653556e+18,-10.25364685,-19.9442749,-38.32226562
1,1.55965355625e+18,-15.50515747,-14.71244812,-39.55847168
2,1.5596535565e+18,-16.99061584,-12.42036438,-40.09460449
3,1.55965355675e+18,-17.51776123,-14.31958008,-39.26391602
4,1.559653557e+18,-16.89582825,-14.15849304,-39.16448975
5,1.55965355725e+18,-22.00445557,-10.31985474,-39.09967041
6,1.5596535575e+18,-22.56481934,-6.449264526,-39.75689697
7,1.55965355775e+18,-19.42649841,-12.40771484,-39.56085205
8,1.559653558e+18,-19.59683228,-16.10171509,-38.05181885
9,1.55965355825e+18,-8.995864868,-26.58056641,-33.91522217
10,1.5596535585e+18,-16.97735596,-13.5684967,-39.90789795
11,1.55965355875e+18,-23.60974121,-8.892532349,-38.4564209
12,1.559653559e+18,-20.44000244,-11.2888031,-39.18981934
13,1.55965355924e+18,-23.6469574,-10.57206726,-37.54095459
14,1.55965355949e+18,-24.36750793,-14.70210266,-36.21661377
15,1.55965355974e+18,-13.86737061,-15.04379272,-40.41943359
16,1.55965355999e+18,-8.271530151,-17.52409363,-40.43859863
17,1.55965356024e+18,-4.301940918,-15.80677795,-41.92700195
18,1.55965356049e+18,-6.67137146,-12.81843567,-43.06939697
19,1.55965356074e+18,-0.7631988525,-11.63296509,-43.58642578
20,1.55965356099e+18,-5.628036499,-19.42910767,-40.70410156
21,1.55965356124e+18,-5.16217041,-19.67785645,-40.8102417
22,1.55965356149e+18,-3.491165161,-17.24707031,-42.22772217
23,1.55965356174e+18,4.548965454,-7.871612549,-44.92456055
24,1.55965356199e+18,11.2571106,-4.300033569,-44.15124512
25,1.55965356224e+18,9.273956299,-4.9140625,-45.15930176
26,1.55965356249e+18,4.058609009,-9.809036255,-45.28704834
27,1.55965356274e+18,6.493835449,-14.94822693,-43.62841797
28,1.55965356299e+18,4.371246338,-14.38183594,-44.31506348
29,1.55965356324e+18,4.911865234,-17.08233643,-43.58227539
30,1.55965356349e+18,11.65275574,-15.23812866,-42.86395264
31,1.55965356374e+18,12.49723816,-16.46481323,-42.17944336
32,1.55965356399e+18,13.18228149,-15.59951782,-42.36816406
33,1.55965356424e+18,11.0897522,-17.29263306,-42.67437744
34,1.55965356449e+18,4.616912842,-20.11584473,-42.88354492
35,1.55965356474e+18,-6.128143311,-20.44229126,-43.65991211
36,1.55965356499e+18,-21.24497986,-25.93360901,-36.15576172
37,1.55965356523e+18,-31.2671051,-12.39346313,-38.4239502
38,1.55965356548e+18,-5.314453125,2.616088867,-49.81109619
39,1.55965356573e+18,-1.515930176,2.379241943,-50.43499756
40,1.55965356598e+18,5.348388672,6.225280762,-49.95678711
41,1.55965356623e+18,2.480957031,3.279846191,-51.11968994
42,1.55965356648e+18,-1.274246216,-3.386444092,-51.56286621
43,1.55965356673e+18,4.246612549,-1.100280762,-51.91381836
44,1.55965356698e+18,4.281021118,-5.654525757,-51.46923828
45,1.55965356723e+18,10.83984375,-0.0107421875,-50.81408691
46,1.55965356748e+18,12.0569458,-0.8477020264,-50.5625
47,1.55965356773e+18,13.43208313,3.098861694,-50.61254883
48,1.55965356798e+18,16.16339111,5.434402466,-49.37689209
49,1.55965356823e+18,20.5955658,7.266098022,-47.64404297
50,1.55965356848e+18,24.74760437,7.589279175,-45.03442383
51,1.55965356873e+18,27.35166931,4.484359741,-41.32843018
52,1.55965356898e+18,26.89109802,0.2004699707,-39.41229248
